fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,goals_assists,goals_total,penalty_won,penalty_commited,offsides
208986,Bayern Munich,157,519,Corentin Tolisso,https://media.api-sports.io/football/players/519.png,14,24,M,6.3,False,True,0,0,0.0,,7,1,77%,0.0,0,0,0,,0,1,0,0,0,0,,,,,,,
208986,Bayern Munich,157,510,Serge Gnabry,https://media.api-sports.io/football/players/510.png,25,22,M,7.2,False,True,4,3,0.0,,18,2,90%,0.0,0,1,1,,0,0,0,0,0,0,,,,,,,
208986,Bayern Munich,157,511,Leon Goretzka,https://media.api-sports.io/football/players/511.png,9,18,M,6.4,False,True,2,1,0.0,,6,0,100%,0.0,0,0,0,,1,0,0,0,0,0,,,,,,,
208986,Union Berlin,182,24837,Rafał Gikiewicz,https://media.api-sports.io/football/players/24837.png,90,1,G,8.3,False,False,0,0,2.0,8.0,31,0,67%,0.0,0,0,0,,0,0,0,0,0,0,0.0,,,,,,
208986,Union Berlin,182,24848,Christopher Trimmel,https://media.api-sports.io/football/players/24848.png,90,28,D,7.2,True,False,0,0,0.0,,17,1,85%,0.0,3,0,0,,0,2,0,0,0,0,,3.0,,,,,
208986,Union Berlin,182,24839,Marvin Friedrich,https://media.api-sports.io/football/players/24839.png,90,5,D,7.2,False,False,1,0,0.0,,29,0,78%,2.0,1,0,0,,1,2,0,0,0,0,,3.0,,,,,
208986,Union Berlin,182,22091,Neven Subotić,https://media.api-sports.io/football/players/22091.png,90,3,D,6.4,False,False,0,0,0.0,,31,0,79%,0.0,1,0,0,1.0,0,0,0,0,0,0,,1.0,,,,,
208986,Union Berlin,182,24841,Christopher Lenz,https://media.api-sports.io/football/players/24841.png,90,25,D,6.8,False,False,1,1,0.0,,34,0,85%,0.0,2,1,1,1.0,0,2,0,0,0,0,,3.0,,,,,
208986,Union Berlin,182,24903,Robert Andrich,https://media.api-sports.io/football/players/24903.png,90,30,M,6.1,False,False,0,0,0.0,,29,0,85%,1.0,1,1,0,1.0,1,2,1,0,0,0,,,,,,,
208986,Union Berlin,182,24851,Felix Kroos,https://media.api-sports.io/football/players/24851.png,60,23,M,6.5,False,False,0,0,0.0,,15,0,83%,0.0,1,0,0,1.0,0,2,0,0,0,0,,2.0,,,,,
208986,Union Berlin,182,1941,Marcus  Ingvartsen,https://media.api-sports.io/football/players/1941.png,66,32,M,6.0,False,False,1,0,0.0,,9,0,56%,0.0,0,1,0,4.0,0,2,0,0,0,0,,2.0,,,,,
208986,Union Berlin,182,26309,Christian Gentner,https://media.api-sports.io/football/players/26309.png,90,34,M,6.3,False,False,1,1,0.0,,29,1,74%,2.0,1,2,1,4.0,3,1,0,0,0,0,,5.0,,,,,
208986,Union Berlin,182,25242,Marius Bülter,https://media.api-sports.io/football/players/25242.png,90,15,M,6.2,False,False,0,0,0.0,,12,0,66%,0.0,0,3,1,3.0,1,1,0,0,0,0,,1.0,,,,,
