fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_assists,goals_total,penalty_commited,penalty_won
37561,Monaco,91,90,Diego Benaglio,https://media.api-sports.io/football/players/90.png,90,16,G,6.6,False,False,0,0,1.0,3.0,16,0.0,66%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,
37561,Monaco,91,99,Ronaël Pierre-Gabriel,https://media.api-sports.io/football/players/99.png,90,18,D,7.0,False,False,0,0,,,20,1.0,76%,0,1,15.0,10.0,1.0,1.0,2,3,0,0,0,0,,2.0,1.0,,,,
37561,Monaco,91,97,Kamil Glik,https://media.api-sports.io/football/players/97.png,90,25,D,6.9,True,False,0,0,,,16,0.0,76%,1,0,7.0,4.0,0.0,0.0,1,0,0,0,0,0,,1.0,1.0,,,,
37561,Monaco,91,96,Jemerson,https://media.api-sports.io/football/players/96.png,90,5,D,6.9,False,False,0,0,,,11,0.0,73%,1,1,11.0,7.0,0.0,0.0,1,2,0,0,0,0,,1.0,,,,,
37561,Monaco,91,18890,Antonio Barreca,https://media.api-sports.io/football/players/18890.png,88,3,D,6.3,False,False,0,0,,,9,0.0,45%,0,4,13.0,5.0,0.0,0.0,1,4,0,0,0,0,,1.0,,,,,
37561,Monaco,91,2926,Youri Tielemans,https://media.api-sports.io/football/players/2926.png,90,8,M,7.1,False,False,0,0,,,20,2.0,66%,0,0,12.0,8.0,1.0,1.0,1,2,0,0,0,0,,2.0,,,,,
37561,Monaco,91,103,Jean-Eudes Aholou,https://media.api-sports.io/football/players/103.png,90,4,M,6.6,False,False,0,0,,,8,0.0,50%,0,2,7.0,3.0,0.0,0.0,1,1,0,0,0,0,,1.0,,,,,
37561,Monaco,91,122,Jordi Mboula,https://media.api-sports.io/football/players/122.png,67,22,F,6.5,False,False,3,1,,,11,0.0,64%,0,0,8.0,3.0,1.0,0.0,1,0,0,0,0,0,,,1.0,,,,
37561,Monaco,91,107,Sofiane Diop,https://media.api-sports.io/football/players/107.png,67,36,M,6.2,False,False,0,0,,,9,0.0,64%,0,0,7.0,3.0,0.0,0.0,0,0,0,0,0,0,,2.0,2.0,,,,
37561,Monaco,91,111,Rony Lopes,https://media.api-sports.io/football/players/111.png,90,7,M,8.3,False,False,2,1,,,10,2.0,62%,0,1,8.0,6.0,4.0,3.0,0,0,0,0,0,0,,2.0,,,1.0,,
37561,Monaco,91,121,Stevan Jovetić,https://media.api-sports.io/football/players/121.png,90,10,F,7.4,False,False,3,2,,,14,2.0,53%,0,0,8.0,3.0,1.0,1.0,0,1,0,0,0,0,,,1.0,,1.0,,
37561,Monaco,91,101,Julien Serrano,https://media.api-sports.io/football/players/101.png,2,21,D,–,False,False,0,0,,,0,0.0,0%,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37561,Monaco,91,22266,Samuel Grandsir,https://media.api-sports.io/football/players/22266.png,23,29,M,6.8,False,False,0,0,,,4,1.0,66%,0,0,3.0,0.0,0.0,0.0,0,2,0,0,0,0,,,,1.0,,,
37561,Monaco,91,119,Radamel Falcao,https://media.api-sports.io/football/players/119.png,23,9,F,8.6,False,False,3,2,,,8,1.0,88%,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,,,,1.0,1.0,,
37556,Angers,77,21136,Ludovic Butelle,https://media.api-sports.io/football/players/21136.png,90,16,G,5.5,False,False,0,0,4.0,1.0,11,0.0,55%,0,0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0,,,,,,
37556,Angers,77,21141,Vincent Manceau,https://media.api-sports.io/football/players/21141.png,90,29,D,6.2,False,False,1,0,,,40,0.0,76%,0,1,12.0,6.0,0.0,0.0,4,5,1,0,0,0,,2.0,,,,,
37556,Angers,77,3237,Ismaël Traoré,https://media.api-sports.io/football/players/3237.png,90,8,D,7.2,True,False,2,2,,,39,0.0,83%,3,1,10.0,7.0,1.0,1.0,0,0,0,0,0,0,,,1.0,,1.0,,
37556,Angers,77,21144,Romain Thomas,https://media.api-sports.io/football/players/21144.png,90,24,D,5.8,False,False,0,0,,,42,0.0,73%,1,0,12.0,5.0,0.0,0.0,0,0,0,0,0,0,,,1.0,,,,
37556,Angers,77,3234,Abdoulaye Bamba,https://media.api-sports.io/football/players/3234.png,90,25,D,5.7,False,False,0,0,,,34,0.0,77%,0,1,8.0,3.0,2.0,1.0,0,2,1,0,0,0,,,1.0,,,,
37556,Angers,77,21150,Vincent Pajot,https://media.api-sports.io/football/players/21150.png,73,6,M,7.1,False,False,2,0,,,35,1.0,79%,0,0,12.0,7.0,0.0,0.0,0,2,0,0,0,0,,3.0,,,,,
37556,Angers,77,21148,Thomas Mangani,https://media.api-sports.io/football/players/21148.png,90,5,M,6.7,False,False,1,1,,,44,0.0,88%,0,0,16.0,7.0,1.0,1.0,0,1,0,0,0,0,,5.0,3.0,,,,
37556,Angers,77,21146,Angelo Fulgini,https://media.api-sports.io/football/players/21146.png,82,10,M,7.7,False,False,1,1,,,26,4.0,76%,0,0,14.0,8.0,3.0,2.0,4,1,0,0,0,0,,1.0,1.0,,1.0,,
37556,Angers,77,21145,Pierrick Capelle,https://media.api-sports.io/football/players/21145.png,71,15,M,7.3,False,False,2,1,,,24,1.0,80%,0,0,13.0,7.0,2.0,2.0,0,2,0,0,0,0,,2.0,,,1.0,,
37556,Angers,77,21154,Flavien Tait,https://media.api-sports.io/football/players/21154.png,90,20,M,6.9,False,False,4,1,,,19,5.0,70%,0,0,17.0,4.0,8.0,2.0,1,2,0,0,0,0,,1.0,1.0,1.0,,,
37556,Angers,77,3407,Stéphane Bahoken,https://media.api-sports.io/football/players/3407.png,90,19,F,7.2,False,False,4,1,,,14,2.0,70%,0,0,14.0,5.0,2.0,2.0,1,3,0,0,0,0,,,,1.0,,,
37556,Angers,77,21153,Baptiste Santamaria,https://media.api-sports.io/football/players/21153.png,17,18,M,6.2,False,True,1,0,,,8,0.0,66%,0,0,4.0,2.0,0.0,0.0,0,0,0,0,0,0,,1.0,,,,,
37556,Angers,77,21152,Jeff Reine-Adélaïde,https://media.api-sports.io/football/players/21152.png,19,22,M,6.2,False,True,0,0,,,8,0.0,100%,0,0,6.0,3.0,3.0,2.0,1,2,0,0,0,0,,,,,,,
37556,Angers,77,84063,Harisson Manzala,https://media.api-sports.io/football/players/84063.png,8,7,M,6.6,False,True,2,0,,,2,0.0,66%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37556,Nimes,92,21425,Paul Bernardoni,https://media.api-sports.io/football/players/21425.png,90,30,G,6.7,False,False,0,0,3.0,4.0,12,1.0,42%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,
37556,Nimes,92,21436,Sofiane Alakouch,https://media.api-sports.io/football/players/21436.png,90,29,D,6.4,False,False,0,0,,,28,0.0,82%,0,2,11.0,6.0,1.0,0.0,0,1,0,0,0,0,,4.0,1.0,,,,
37556,Nimes,92,21438,Anthony Briancon,https://media.api-sports.io/football/players/21438.png,90,23,D,7.2,True,False,0,0,,,20,1.0,62%,2,5,7.0,5.0,0.0,0.0,1,0,0,0,0,0,,1.0,1.0,1.0,,,
37556,Nimes,92,21431,Loïck Landre,https://media.api-sports.io/football/players/21431.png,90,5,D,6.5,False,False,0,0,,,23,0.0,74%,1,4,10.0,5.0,0.0,0.0,1,0,0,0,0,0,,,1.0,,,,
37556,Nimes,92,21433,Florian Miguel,https://media.api-sports.io/football/players/21433.png,79,26,D,5.5,False,False,0,0,,,24,0.0,80%,0,2,7.0,1.0,1.0,0.0,0,3,2,1,0,0,,,2.0,,,,
37556,Nimes,92,2996,Sada Thioub,https://media.api-sports.io/football/players/2996.png,90,22,M,8.3,False,False,1,1,,,25,2.0,96%,0,0,16.0,11.0,7.0,5.0,4,0,0,0,0,0,,1.0,1.0,1.0,1.0,,
37556,Nimes,92,21443,Teji Savanier,https://media.api-sports.io/football/players/21443.png,90,11,M,7.4,False,False,2,1,,,29,3.0,55%,1,1,22.0,13.0,5.0,2.0,3,1,0,0,0,0,,3.0,2.0,1.0,,,
37556,Nimes,92,85039,Moustapha Diallo,https://media.api-sports.io/football/players/85039.png,75,2,M,6.3,False,False,2,0,,,16,0.0,64%,1,0,16.0,8.0,0.0,0.0,1,3,0,0,0,0,,1.0,3.0,,,,
37556,Nimes,92,21437,Denis Bouanga,https://media.api-sports.io/football/players/21437.png,64,10,M,6.6,False,False,2,0,,,9,0.0,75%,0,0,12.0,6.0,2.0,1.0,0,3,0,0,0,0,,3.0,,,,,
37556,Nimes,92,21451,Renaud Ripart,https://media.api-sports.io/football/players/21451.png,90,20,M,7.8,False,False,3,1,,,15,2.0,65%,0,0,19.0,8.0,1.0,0.0,5,1,0,0,0,0,,,,,1.0,,
37556,Nimes,92,21447,Umut Bozok,https://media.api-sports.io/football/players/21447.png,81,19,F,6.4,False,False,1,0,,,10,1.0,62%,0,0,9.0,3.0,1.0,0.0,1,0,0,0,0,0,,,1.0,,,,
37556,Nimes,92,21442,Gaëtan Paquiez,https://media.api-sports.io/football/players/21442.png,9,15,D,6.7,False,False,0,0,,,8,0.0,88%,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,,1.0,,,,,
37556,Nimes,92,21435,Theo Valls,https://media.api-sports.io/football/players/21435.png,26,18,M,6.6,False,False,1,0,,,15,0.0,83%,0,1,4.0,3.0,0.0,0.0,2,0,0,0,0,0,,1.0,1.0,,,,
37556,Nimes,92,21449,Clement Depres,https://media.api-sports.io/football/players/21449.png,15,9,F,8.8,False,False,2,1,,,4,0.0,57%,0,0,5.0,4.0,0.0,0.0,1,0,0,0,0,0,,,,,1.0,,
37557,Lille,79,22221,Mike Maignan,https://media.api-sports.io/football/players/22221.png,90,16,G,6.3,False,False,0,0,1.0,1.0,17,0.0,73%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,
37557,Lille,79,22222,Zeki Çelik,https://media.api-sports.io/football/players/22222.png,86,17,D,6.8,False,False,1,1,,,31,3.0,83%,0,3,12.0,7.0,2.0,2.0,0,1,0,0,0,0,,1.0,2.0,1.0,,,
37557,Lille,79,22223,Kouadio Dabila,https://media.api-sports.io/football/players/22223.png,90,22,D,7.0,False,False,0,0,,,48,0.0,82%,1,3,7.0,5.0,1.0,1.0,0,2,1,0,0,0,,2.0,,,,,
37557,Lille,79,22227,Adama Soumaoro,https://media.api-sports.io/football/players/22227.png,90,5,D,6.6,True,False,1,0,,,41,0.0,89%,1,1,4.0,2.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37557,Lille,79,105,Fodé Ballo-Touré,https://media.api-sports.io/football/players/105.png,90,25,D,6.7,False,False,0,0,,,26,1.0,74%,1,2,9.0,4.0,2.0,1.0,1,1,0,0,0,0,,2.0,1.0,,,,
37557,Lille,79,22232,Thiago Mendes,https://media.api-sports.io/football/players/22232.png,90,23,M,6.5,False,False,1,0,,,47,0.0,79%,2,0,6.0,3.0,0.0,0.0,1,1,0,0,0,0,,1.0,,,,,
37557,Lille,79,22228,Xeka,https://media.api-sports.io/football/players/22228.png,90,8,M,6.9,False,False,2,0,,,48,0.0,90%,0,4,15.0,10.0,2.0,2.0,3,3,0,0,0,0,,4.0,2.0,,,,
37557,Lille,79,3246,Nicolas Pépé,https://media.api-sports.io/football/players/3246.png,90,19,M,8.6,False,False,6,3,,,35,2.0,77%,0,2,13.0,5.0,4.0,2.0,2,0,0,0,0,0,,,,1.0,1.0,,
37557,Lille,79,1371,Yassine Benzia,https://media.api-sports.io/football/players/1371.png,89,10,M,7.8,False,False,2,0,,,44,2.0,78%,0,1,7.0,4.0,1.0,1.0,2,2,0,0,0,0,,,,1.0,,,
37557,Lille,79,22235,Jonathan Bamba,https://media.api-sports.io/football/players/22235.png,90,14,M,8.0,False,False,1,1,,,43,2.0,87%,0,2,7.0,5.0,1.0,1.0,3,0,0,0,0,0,,,,,1.0,,
37557,Lille,79,3292,Lebo Mothiba,https://media.api-sports.io/football/players/3292.png,89,18,F,7.3,False,False,1,1,,,14,1.0,93%,0,0,7.0,2.0,0.0,0.0,0,2,0,0,0,0,,,,,1.0,,
37557,Lille,79,21085,Edgar Ié,https://media.api-sports.io/football/players/21085.png,4,15,D,6.5,False,True,0,0,,,4,0.0,100%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37557,Lille,79,22229,Jonathan Ikoné,https://media.api-sports.io/football/players/22229.png,1,12,M,–,False,True,0,0,,,0,0.0,0%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37557,Lille,79,22234,Arton Zekaj,https://media.api-sports.io/football/players/22234.png,1,21,M,–,False,True,0,0,,,2,0.0,100%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37557,Rennes,94,2192,Tomáš Koubek,https://media.api-sports.io/football/players/2192.png,90,40,G,5.9,False,False,0,0,3.0,3.0,14,0.0,70%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,
37557,Rennes,94,2202,Hamari Traore,https://media.api-sports.io/football/players/2202.png,90,27,D,6.0,False,False,0,0,,,32,1.0,82%,1,1,10.0,2.0,0.0,0.0,0,3,0,0,0,0,,1.0,2.0,,,,
37557,Rennes,94,2199,Jeremy Gelin,https://media.api-sports.io/football/players/2199.png,90,26,D,6.4,False,False,0,0,,,31,0.0,77%,1,1,6.0,4.0,0.0,0.0,1,0,0,0,0,0,,1.0,1.0,,,,
37557,Rennes,94,2201,Edson Mexer,https://media.api-sports.io/football/players/2201.png,90,4,D,6.3,False,False,0,0,,,34,0.0,87%,0,1,2.0,2.0,0.0,0.0,1,0,0,0,0,0,,,,,,,
37557,Rennes,94,2193,Ludovic Baal,https://media.api-sports.io/football/players/2193.png,90,24,D,6.4,False,False,0,0,,,35,0.0,74%,0,1,5.0,5.0,0.0,0.0,2,0,0,0,0,0,,2.0,,,,,
