fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,duels_total,duels_won,fouls_committed,fouls_drawn,tackles_interceptions,shots_total,shots_on,offsides,goals_total,dribbles_attempts,dribbles_success,tackles_blocks,dribbles_past,penalty_won,penalty_commited
923699,Atromitos,12260,353061,Georgios Tzovaras,https://media.api-sports.io/football/players/353061.png,11.0,99,F,6.7,False,True,0,,5.0,2,0,0,0,0,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,
923699,Atromitos,12260,2800,Viðar Örn Kjartansson,https://media.api-sports.io/football/players/2800.png,32.0,11,F,7.3,False,True,0,,2.0,1,0,0,0,0,,,,,3.0,2.0,,2.0,,1.0,1.0,,1.0,,,,,,
923699,OFI,1124,37872,Sonny Stevens,https://media.api-sports.io/football/players/37872.png,90.0,1,G,5.9,False,False,3,2.0,23.0,20,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
923699,OFI,1124,1952,Eric Larsson,https://media.api-sports.io/football/players/1952.png,90.0,2,D,6.2,False,False,0,,28.0,23,0,0,0,0,,,1.0,1.0,8.0,2.0,3.0,1.0,,1.0,,,,2.0,,,,,
923699,OFI,1124,20602,Samuel Yohou,https://media.api-sports.io/football/players/20602.png,57.0,20,D,6.3,False,False,0,,36.0,29,0,0,0,0,,,,2.0,6.0,3.0,2.0,,,,,,,,,1.0,1.0,,1.0
923699,OFI,1124,26883,Konstantinos Giannoulis,https://media.api-sports.io/football/players/26883.png,90.0,18,D,6,True,False,0,,62.0,50,1,0,0,0,,,,,5.0,1.0,2.0,,,,,,,1.0,,,,,
923699,OFI,1124,2367,Konstantinos Balogiannis,https://media.api-sports.io/football/players/2367.png,70.0,38,D,6.2,False,False,0,,29.0,21,1,0,0,0,,,,2.0,4.0,2.0,1.0,,,,,,,,,,,,
923699,OFI,1124,26895,Miguel Mellado,https://media.api-sports.io/football/players/26895.png,70.0,29,M,6.9,False,False,0,,40.0,31,1,0,0,0,,,,2.0,5.0,4.0,,2.0,2.0,,,,,,,,,,
923699,OFI,1124,30748,Assane Dioussé,https://media.api-sports.io/football/players/30748.png,90.0,5,M,7,False,False,0,,60.0,52,0,0,0,0,,,2.0,2.0,6.0,4.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,
923699,OFI,1124,26747,Giannis Bouzoukis,https://media.api-sports.io/football/players/26747.png,56.0,10,M,7,False,False,0,,18.0,15,0,0,0,0,,,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,
923699,OFI,1124,19426,Jon Toral,https://media.api-sports.io/football/players/19426.png,90.0,21,M,6.2,False,False,0,,34.0,24,0,0,0,0,,1.0,1.0,1.0,9.0,1.0,4.0,,,,,,,1.0,,,,,
923699,OFI,1124,26905,Juan Angel Neira,https://media.api-sports.io/football/players/26905.png,90.0,8,M,7.2,False,False,0,,37.0,29,0,0,0,0,,,,,6.0,2.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,,1.0,,
