fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,shots_total,shots_on,dribbles_past,offsides,goals_total,goals_saves,penalty_won,penalty_commited
1391254,Cultural Leonesa,725,46961,Édgar Badía,https://media.api-sports.io/football/players/46961.png,90.0,13,G,6.3,False,False,5,0.0,29.0,15,0,0,0,0,0.0,,,,,1.0,1.0,,,,,,,,,,2.0,,
1391254,Cultural Leonesa,725,41542,Víctor García,https://media.api-sports.io/football/players/41542.png,90.0,24,D,5.2,False,False,0,0.0,35.0,27,0,0,0,0,,,4.0,,2.0,13.0,5.0,1.0,1.0,,1.0,,,,,,,,1.0
1391254,Cultural Leonesa,725,128142,Quique Fornos,https://media.api-sports.io/football/players/128142.png,90.0,5,D,5.3,True,False,0,0.0,39.0,33,0,0,0,0,,1.0,1.0,,,4.0,3.0,1.0,1.0,1.0,,,,,,,,,
1391254,Cultural Leonesa,725,116899,Eneko Satrustegui,https://media.api-sports.io/football/players/116899.png,84.0,3,D,5.3,False,False,0,0.0,32.0,29,0,0,0,0,,,,1.0,,2.0,,,,,,,,1.0,,,,,
1391254,Cultural Leonesa,725,284264,Juan Larios,https://media.api-sports.io/football/players/284264.png,84.0,33,D,5.6,False,False,0,0.0,15.0,15,1,0,0,0,,,1.0,1.0,,10.0,6.0,3.0,2.0,3.0,2.0,,,,,,,,
1391254,Cultural Leonesa,725,307565,Thiago Ojeda,https://media.api-sports.io/football/players/307565.png,90.0,28,M,7,False,False,0,0.0,30.0,19,0,0,0,0,,,2.0,,1.0,19.0,14.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,
1391254,Cultural Leonesa,725,297973,Selu Diallo,https://media.api-sports.io/football/players/297973.png,1.0,27,M,3,False,False,0,0.0,1.0,1,0,1,0,0,,,,,,1.0,,,,,1.0,,,,,,,,1.0
1391254,Cultural Leonesa,725,116919,Agustín Pastoriza Pibe,https://media.api-sports.io/football/players/116919.png,25.0,22,M,6.2,False,False,0,0.0,4.0,1,0,0,0,0,,,,,,4.0,2.0,2.0,1.0,,,1.0,,,,,,,
1391254,Cultural Leonesa,725,179183,Luis Chacón,https://media.api-sports.io/football/players/179183.png,90.0,10,M,6.3,False,False,0,0.0,35.0,32,0,0,0,0,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,2.0,,,,,,,
1391254,Cultural Leonesa,725,182188,Rafa Tresaco,https://media.api-sports.io/football/players/182188.png,72.0,20,M,6.6,False,False,0,0.0,17.0,10,0,0,0,0,,1.0,1.0,,1.0,9.0,6.0,3.0,2.0,2.0,1.0,,,1.0,,,,,
1391254,Cultural Leonesa,725,42754,Daniel Paraschiv,https://media.api-sports.io/football/players/42754.png,72.0,18,F,6.5,False,False,0,0.0,9.0,7,0,0,0,0,,,,,,8.0,3.0,1.0,1.0,1.0,,,,,,,,,
1391254,Cultural Leonesa,725,188350,Bicho,https://media.api-sports.io/football/players/188350.png,66.0,14,M,6.3,False,True,0,0.0,33.0,30,0,0,0,0,,,2.0,,1.0,8.0,3.0,1.0,,1.0,2.0,,,,,,,,
1391254,Cultural Leonesa,725,182685,Diego Collado,https://media.api-sports.io/football/players/182685.png,19.0,7,F,6.3,False,True,0,0.0,4.0,3,0,0,0,0,,,2.0,,,5.0,2.0,,,,1.0,,,1.0,,,,,
1391254,Cultural Leonesa,725,119741,Manu Justo,https://media.api-sports.io/football/players/119741.png,19.0,9,F,6.5,False,True,0,0.0,2.0,2,0,0,0,0,,,,,,1.0,,,,,1.0,,,,,,,,
1391254,Cultural Leonesa,725,366394,Guzman Ortega,https://media.api-sports.io/football/players/366394.png,9.0,2,D,6.9,False,True,0,0.0,6.0,6,0,0,0,0,,,,,,1.0,1.0,,,1.0,,,,,,,,,
1391254,Cultural Leonesa,725,181598,Rodri Suárez,https://media.api-sports.io/football/players/181598.png,9.0,4,D,6.6,False,True,0,0.0,8.0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,167701,Miguel Bañuz,https://media.api-sports.io/football/players/167701.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,329725,Arnau Rafús,https://media.api-sports.io/football/players/329725.png,,26,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,122806,Sergio Maestre,https://media.api-sports.io/football/players/122806.png,,6,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,348536,Nico Toca,https://media.api-sports.io/football/players/348536.png,,31,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,333049,Yayo González,https://media.api-sports.io/football/players/333049.png,,8,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,478376,Alvaro Diez,https://media.api-sports.io/football/players/478376.png,,29,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Cultural Leonesa,725,441836,Juan Sánchez,https://media.api-sports.io/football/players/441836.png,,34,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,125,Jokin Ezkieta,https://media.api-sports.io/football/players/125.png,90.0,1,G,8.3,False,False,1,0.0,17.0,10,0,0,0,0,0.0,,,,,,,,,,,,,,,,7.0,,
1391256,Racing Santander,4665,181685,Alvaro Mantilla,https://media.api-sports.io/football/players/181685.png,78.0,2,D,6.3,False,False,0,0.0,13.0,4,1,0,0,0,,,2.0,1.0,1.0,9.0,6.0,,,1.0,2.0,,,1.0,,,,,
1391256,Racing Santander,4665,165713,Manu Hernando,https://media.api-sports.io/football/players/165713.png,90.0,4,D,7.5,False,False,0,0.0,30.0,25,0,0,0,0,,,2.0,1.0,,3.0,3.0,,,,,,,,,,,,
1391256,Racing Santander,4665,184693,Javier Castro,https://media.api-sports.io/football/players/184693.png,90.0,5,D,6.3,False,False,0,0.0,42.0,39,0,0,0,0,,,1.0,,,2.0,1.0,,,,,,,,,,,,
1391256,Racing Santander,4665,482469,Jorge Salinas,https://media.api-sports.io/football/players/482469.png,90.0,32,D,7.3,False,False,0,0.0,36.0,23,0,0,0,0,,,5.0,1.0,1.0,23.0,15.0,8.0,5.0,2.0,1.0,1.0,1.0,1.0,,,,,
1391256,Racing Santander,4665,183683,Íñigo Sáinz-Maza,https://media.api-sports.io/football/players/183683.png,59.0,6,M,6.5,True,False,0,0.0,12.0,7,0,0,0,0,,,1.0,,1.0,7.0,3.0,1.0,,1.0,1.0,,,1.0,,,,,
1391256,Racing Santander,4665,182622,Aritz Aldasoro,https://media.api-sports.io/football/players/182622.png,78.0,8,M,7.2,False,False,0,0.0,19.0,12,0,0,0,0,,,5.0,,2.0,12.0,8.0,,,2.0,,,,2.0,,,,,
1391256,Racing Santander,4665,47209,Andrés Martín,https://media.api-sports.io/football/players/47209.png,90.0,11,M,7.9,False,False,0,0.0,9.0,6,0,0,1,0,,,,,,10.0,2.0,1.0,,2.0,1.0,4.0,2.0,2.0,2.0,2.0,,,
