fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,home_counter_attacks,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
29297,2019-04-06 13:00:00+00:00,1554555600,FT,90,1554555600,1554559200,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Ennio Tardini,Parma,,"Daniele Doveri, Italy",Parma,523,https://media.api-sports.io/football/teams/523.png,Torino,503,https://media.api-sports.io/football/teams/503.png,0,0,0,0,0,0,1,4,6.0,1,5.0,1.0,20,3,3.0,0.36,4.0,0.0,4,235.0,158.0,0.67,,4,9,16.0,3,10.0,6.0,20,4,0.0,0.64,5.0,0.0,1,424.0,345.0,0.81,2411,3702,2411,3056,3588,2174,2234,2234,589,940,644,882,1001,412,-1177,882,16,7
29294,2019-04-06 16:00:00+00:00,1554566400,FT,90,1554566400,1554570000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Allianz Stadium,Turin,,"Michael Fabbri, Italy",Juventus,496,https://media.api-sports.io/football/teams/496.png,Ac Milan,489,https://media.api-sports.io/football/teams/489.png,2,1,0,1,2,1,5,5,12.0,2,11.0,1.0,21,5,2.0,0.47,2.0,0.0,3,402.0,328.0,0.82,,4,7,16.0,5,9.0,7.0,15,8,1.0,0.53,2.0,0.0,3,450.0,384.0,0.85,5301,3996,4122,3234,1759,2116,2234,2234,1650,1116,351,648,233,470,2363,1118,1,5
29298,2019-04-06 18:30:00+00:00,1554575400,FT,90,1554575400,1554579000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Luigi Ferraris,Genova,,"Paolo Silvio Mazzoleni, Italy",Sampdoria,498,https://media.api-sports.io/football/teams/498.png,As Roma,497,https://media.api-sports.io/football/teams/497.png,0,1,0,0,0,1,2,9,18.0,7,9.0,9.0,12,8,1.0,0.62,2.0,0.0,3,553.0,476.0,0.86,,4,5,16.0,7,9.0,7.0,11,3,2.0,0.38,2.0,0.0,2,325.0,249.0,0.77,3119,3876,3531,3883,2998,2829,2234,2234,883,1057,470,705,881,472,533,1054,9,6
29292,2019-04-07 10:30:00+00:00,1554633000,FT,90,1554633000,1554636600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Stadio Artemio Franchi,Florence,,"Daniele Chiffi, Italy",Fiorentina,502,https://media.api-sports.io/football/teams/502.png,Frosinone,512,https://media.api-sports.io/football/teams/512.png,0,1,0,0,0,1,4,13,18.0,1,11.0,7.0,19,10,0.0,0.62,1.0,0.0,2,481.0,376.0,0.78,,3,4,11.0,4,6.0,5.0,16,7,0.0,0.38,4.0,0.0,4,296.0,186.0,0.63,2417,1470,2772,1706,2648,4058,2234,2234,472,294,1001,588,761,1352,124,-2352,14,19
29291,2019-04-07 13:00:00+00:00,1554642000,FT,90,1554642000,1554645600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Sardegna Arena,Cagliari,883,"Luca Banti, Italy",Cagliari,490,https://media.api-sports.io/football/teams/490.png,Spal,493,https://media.api-sports.io/football/teams/493.png,2,1,1,1,2,1,9,5,16.0,2,13.0,3.0,19,9,0.0,0.54,4.0,0.0,1,483.0,396.0,0.82,,2,3,7.0,2,5.0,2.0,4,4,1.0,0.46,3.0,0.0,7,406.0,310.0,0.76,2411,2468,2116,2579,3174,3290,2234,2234,588,646,647,530,999,1058,-1058,-711,15,13
29299,2019-04-07 13:00:00+00:00,1554642000,FT,90,1554642000,1554645600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Dacia Arena,Udine,928,"Daniele Orsato, Italy",Udinese,494,https://media.api-sports.io/football/teams/494.png,Empoli,511,https://media.api-sports.io/football/teams/511.png,3,2,3,2,3,2,5,9,17.0,3,7.0,10.0,8,6,1.0,0.36,4.0,1.0,3,303.0,228.0,0.75,,6,5,15.0,4,13.0,2.0,9,6,0.0,0.64,4.0,0.0,2,527.0,458.0,0.87,2523,2232,2289,2996,3115,4116,2233,2234,645,587,588,471,1000,1176,-826,-1120,12,18
29293,2019-04-07 16:00:00+00:00,1554652800,FT,90,1554652800,1554656400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,San Siro/Giuseppe Meazza,Milan,,"Massimiliano Irrati, Italy",Inter,505,https://media.api-sports.io/football/teams/505.png,Atalanta,499,https://media.api-sports.io/football/teams/499.png,0,0,0,0,0,0,4,2,10.0,4,7.0,3.0,11,8,2.0,0.55,1.0,0.0,0,512.0,427.0,0.83,,0,5,9.0,4,6.0,3.0,13,4,0.0,0.45,2.0,0.0,4,423.0,342.0,0.81,4058,4053,3353,4530,1939,2709,2234,2234,1177,1175,527,528,530,531,1414,1821,4,3
29295,2019-04-07 16:00:00+00:00,1554652800,FT,90,1554652800,1554656400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Stadio Olimpico,Rome,,"Rosario Abisso, Italy",Lazio,487,https://media.api-sports.io/football/teams/487.png,Sassuolo,488,https://media.api-sports.io/football/teams/488.png,2,2,0,0,2,2,7,11,22.0,4,16.0,6.0,14,11,8.0,0.58,2.0,0.0,0,501.0,423.0,0.84,,2,1,5.0,2,2.0,3.0,9,1,1.0,0.42,1.0,0.0,5,378.0,297.0,0.79,3470,2529,3290,3118,2698,3529,2233,2234,1000,530,470,939,763,765,592,-411,8,11
29296,2019-04-07 18:30:00+00:00,1554661800,FT,90,1554661800,1554665400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Stadio San Paolo,Naples,,"Fabrizio Pasqua, Italy",Napoli,492,https://media.api-sports.io/football/teams/492.png,Genoa,495,https://media.api-sports.io/football/teams/495.png,1,1,1,1,1,1,9,8,23.0,6,10.0,13.0,11,11,0.0,0.74,2.0,0.0,4,694.0,627.0,0.9,,5,7,14.0,2,5.0,9.0,10,6,0.0,0.26,0.0,1.0,8,244.0,167.0,0.68,4645,2237,4349,2296,2114,3354,2234,2234,1411,472,412,821,411,941,2235,-1058,2,17
29290,2019-04-08 18:30:00+00:00,1554748200,FT,90,1554748200,1554751800,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 31,Stadio Renato Dall'Ara,Bologna,881,"Luca J. Pairetto, Italy",Bologna,500,https://media.api-sports.io/football/teams/500.png,Chievo,491,https://media.api-sports.io/football/teams/491.png,3,0,0,0,3,0,11,3,18.0,4,13.0,5.0,10,6,3.0,0.65,1.0,0.0,2,517.0,443.0,0.86,,2,2,8.0,4,5.0,3.0,22,3,0.0,0.35,8.0,1.0,8,277.0,201.0,0.73,2579,1174,2812,1471,3295,4411,2234,2234,644,117,647,823,943,1294,-483,-2940,10,20
