fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,tackles_interceptions,fouls_committed,shots_total,shots_on,passes_key,goals_total,goals_assists,tackles_blocks,penalty_commited,penalty_won,offsides
605156,Real Betis,543,1568,Paul Akouokou,https://media.api-sports.io/football/players/1568.png,,4,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605156,Real Betis,543,1573,Andrés Guardado,https://media.api-sports.io/football/players/1573.png,28.0,18,M,6.6,False,True,0,,26.0,23,0,0,0,0,,,1.0,1.0,,,,,,,,,,,,,,,
605156,Real Betis,543,47119,Aitor Ruibal,https://media.api-sports.io/football/players/47119.png,9.0,24,F,6.7,False,True,0,,4.0,4,0,0,0,0,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,
605156,Real Betis,543,47348,Borja Iglesias,https://media.api-sports.io/football/players/47348.png,28.0,9,F,6.2,False,True,0,,5.0,5,0,0,0,0,,,5.0,,1.0,,1.0,,,,,,,,,,,,
605156,Real Betis,543,1584,Loren Morón,https://media.api-sports.io/football/players/1584.png,29.0,16,F,6.2,False,True,0,,3.0,2,0,0,0,0,,,5.0,,1.0,,,,,,,,,,,,,,
605156,Real Betis,543,47320,Juanmi,https://media.api-sports.io/football/players/47320.png,,7,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47474,Jordi Masip,https://media.api-sports.io/football/players/47474.png,90.0,1,G,6.7,True,False,1,2.0,23.0,6,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47490,Pablo Hervias,https://media.api-sports.io/football/players/47490.png,70.0,11,D,7.3,False,False,0,,25.0,20,0,0,0,0,,,1.0,1.0,1.0,1.0,,,2.0,,,,2.0,,,,,,
605173,Valladolid,720,47487,Joaquin Fernandez,https://media.api-sports.io/football/players/47487.png,90.0,24,D,6.9,False,False,0,,30.0,23,0,0,0,0,,2.0,5.0,3.0,,,,,3.0,2.0,,,1.0,,,,1.0,,
605173,Valladolid,720,47252,Bruno González,https://media.api-sports.io/football/players/47252.png,90.0,6,D,6.7,False,False,0,,20.0,11,0,0,0,0,,,7.0,5.0,,,1.0,1.0,3.0,,,,,,,,,,
605173,Valladolid,720,47481,Nacho Martinez,https://media.api-sports.io/football/players/47481.png,90.0,22,D,6.5,False,False,0,,35.0,20,0,0,0,0,,1.0,4.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,
605173,Valladolid,720,47390,Fabián Orellana,https://media.api-sports.io/football/players/47390.png,90.0,12,M,6.9,False,False,0,,20.0,17,0,0,0,0,,1.0,10.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,,,2.0,,,,,,
605173,Valladolid,720,46691,Fede San Emeterio,https://media.api-sports.io/football/players/46691.png,88.0,20,M,6.6,False,False,0,,20.0,15,0,0,0,0,,3.0,9.0,5.0,,,1.0,1.0,,2.0,,,,,,,,,
605173,Valladolid,720,47485,Rubén Alcaraz,https://media.api-sports.io/football/players/47485.png,90.0,14,M,6.3,False,False,0,,26.0,20,0,0,0,0,,4.0,16.0,6.0,,,3.0,1.0,1.0,4.0,2.0,,,,,,,,
605173,Valladolid,720,47496,Óscar Plano,https://media.api-sports.io/football/players/47496.png,85.0,10,M,7.9,False,False,0,,18.0,14,0,0,0,0,,4.0,14.0,10.0,1.0,1.0,,3.0,2.0,3.0,,,1.0,,1.0,,,,
605173,Valladolid,720,47495,Sergi Guardiola,https://media.api-sports.io/football/players/47495.png,90.0,7,F,6.3,False,False,0,,23.0,15,0,0,0,0,,,13.0,4.0,1.0,,2.0,1.0,,3.0,3.0,1.0,1.0,,,,,,
605173,Valladolid,720,122233,Marcos de Sousa,https://media.api-sports.io/football/players/122233.png,90.0,16,F,7.3,False,False,0,,6.0,4,0,0,0,0,,,14.0,3.0,2.0,2.0,1.0,1.0,,3.0,4.0,2.0,,1.0,,,,,
605173,Valladolid,720,47326,Roberto Jiménez,https://media.api-sports.io/football/players/47326.png,,13,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47506,Raúl García,https://media.api-sports.io/football/players/47506.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47078,Luis Pérez,https://media.api-sports.io/football/players/47078.png,,2,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,19291,Saidy Janko,https://media.api-sports.io/football/players/19291.png,20.0,18,D,6.2,False,True,0,,3.0,,0,0,0,0,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,
605173,Valladolid,720,740,Javi Sánchez,https://media.api-sports.io/football/players/740.png,2.0,5,D,,False,True,0,,2.0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47492,Toni Villa,https://media.api-sports.io/football/players/47492.png,,19,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47498,Waldo Rubio Marin,https://media.api-sports.io/football/players/47498.png,,23,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,107153,Kike,https://media.api-sports.io/football/players/107153.png,,8,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,2053,Roque Mesa,https://media.api-sports.io/football/players/2053.png,,17,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,47489,Míchel Herrero,https://media.api-sports.io/football/players/47489.png,,21,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Valladolid,720,581,Jota,https://media.api-sports.io/football/players/581.png,9.0,40,F,6.9,False,True,0,,,,0,0,0,0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,
605173,Valladolid,720,70339,Shon Weissman,https://media.api-sports.io/football/players/70339.png,,9,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,156488,Dani Cárdenas,https://media.api-sports.io/football/players/156488.png,90.0,34,G,6.9,False,False,1,3.0,25.0,20,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
605173,Levante,539,131538,Son,https://media.api-sports.io/football/players/131538.png,71.0,2,D,6.2,False,False,0,,39.0,20,0,0,0,0,,1.0,5.0,1.0,1.0,,,,,1.0,,,,,,,,,
605173,Levante,539,47458,Sergio Postigo,https://media.api-sports.io/football/players/47458.png,90.0,15,D,6.5,False,False,0,,53.0,44,1,0,0,0,,,6.0,3.0,,,2.0,2.0,2.0,1.0,,,,,,,,,
605173,Levante,539,47457,Rubén Vezo,https://media.api-sports.io/football/players/47457.png,90.0,14,D,7,False,False,0,,48.0,41,0,0,0,0,,1.0,11.0,8.0,,,,2.0,1.0,,,,,,,,,,
605173,Levante,539,46651,Carlos Clerc,https://media.api-sports.io/football/players/46651.png,90.0,19,D,6.9,False,False,0,,41.0,33,0,0,0,0,,1.0,8.0,5.0,3.0,2.0,,1.0,1.0,2.0,,,,,,,,,
605173,Levante,539,47468,Ruben Rochina,https://media.api-sports.io/football/players/47468.png,90.0,16,M,7.9,False,False,0,,53.0,40,0,0,0,0,,3.0,15.0,9.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,,3.0,,,,,,
605173,Levante,539,46714,Mickaël Malsa,https://media.api-sports.io/football/players/46714.png,80.0,12,M,7,False,False,0,,42.0,34,0,0,0,0,,2.0,7.0,5.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,
605173,Levante,539,47576,Gonzalo Melero,https://media.api-sports.io/football/players/47576.png,67.0,22,M,7,False,False,0,,50.0,42,1,0,0,0,,1.0,12.0,8.0,1.0,1.0,,4.0,2.0,1.0,,,1.0,,,,,,
605173,Levante,539,47464,José Campaña,https://media.api-sports.io/football/players/47464.png,90.0,24,M,6.9,False,False,0,,66.0,56,0,0,1,0,,1.0,12.0,4.0,3.0,1.0,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,
605173,Levante,539,47471,Roger Martí,https://media.api-sports.io/football/players/47471.png,80.0,9,F,6.7,False,False,0,,18.0,16,0,0,0,0,,,1.0,,,,,,,,,,,,,,,,
