fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_blocks,duels_total,duels_won,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,shots_total,dribbles_attempts,dribbles_success,offsides,passes_key,shots_on,goals_assists,goals_total,penalty_won,penalty_commited
1049035,RB Leipzig,173,1139,Péter Gulácsi,https://media.api-sports.io/football/players/1139.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,RB Leipzig,173,268571,El Chadaille Bitshiabu,https://media.api-sports.io/football/players/268571.png,,5,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,RB Leipzig,173,24841,Christopher Lenz,https://media.api-sports.io/football/players/24841.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,RB Leipzig,173,404133,Yannick Eduardo,https://media.api-sports.io/football/players/404133.png,,46,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,963,Lukáš Hrádecký,https://media.api-sports.io/football/players/963.png,90.0,1,G,7,True,False,2,4.0,16.0,12,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,125171,Josip Stanišić,https://media.api-sports.io/football/players/125171.png,90.0,2,D,6.9,False,False,0,,69.0,63,1,0,0,0,,3.0,,12.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,
1049035,Bayer Leverkusen,168,972,Jonathan Tah,https://media.api-sports.io/football/players/972.png,90.0,4,D,7,False,False,0,,86.0,81,1,0,0,0,,1.0,,9.0,3.0,1.0,2.0,1.0,,1.0,,,,1.0,1.0,,1.0,,
1049035,Bayer Leverkusen,168,127817,Piero Hincapié,https://media.api-sports.io/football/players/127817.png,90.0,3,D,7.9,False,False,0,,75.0,72,0,0,0,0,,3.0,1.0,6.0,3.0,1.0,,,,3.0,,,,,2.0,,1.0,,
1049035,Bayer Leverkusen,168,152654,Jeremie Frimpong,https://media.api-sports.io/football/players/152654.png,31.0,30,M,6.3,False,False,0,,9.0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,1464,Granit Xhaka,https://media.api-sports.io/football/players/1464.png,90.0,34,M,7.3,False,False,0,,85.0,80,0,0,0,0,,2.0,,9.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,
1049035,Bayer Leverkusen,168,6002,Exequiel Palacios,https://media.api-sports.io/football/players/6002.png,88.0,25,M,7.3,False,False,0,,90.0,80,0,0,0,0,,6.0,,14.0,9.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,,,,,
1049035,Bayer Leverkusen,168,563,Alejandro Grimaldo,https://media.api-sports.io/football/players/563.png,90.0,20,M,8.9,False,False,0,,63.0,55,0,0,0,0,,1.0,,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,,2.0,,,
1049035,Bayer Leverkusen,168,25635,Jonas Hofmann,https://media.api-sports.io/football/players/25635.png,90.0,7,F,7.6,False,False,0,,48.0,38,0,0,0,0,,,,3.0,1.0,1.0,,,1.0,1.0,,,1.0,4.0,,1.0,,,
1049035,Bayer Leverkusen,168,203224,Florian Wirtz,https://media.api-sports.io/football/players/203224.png,90.0,10,F,7.3,False,False,0,,54.0,47,1,0,0,0,,3.0,,15.0,6.0,2.0,1.0,,2.0,2.0,5.0,1.0,,2.0,1.0,,,,
1049035,Bayer Leverkusen,168,794,Patrik Schick,https://media.api-sports.io/football/players/794.png,89.0,14,F,6.9,False,False,0,,25.0,19,0,0,0,0,,1.0,,9.0,5.0,,3.0,,,1.0,1.0,,,1.0,,,,,
1049035,Bayer Leverkusen,168,231029,Nathan Tella,https://media.api-sports.io/football/players/231029.png,59.0,19,M,7.3,False,True,0,,24.0,22,0,0,0,0,,3.0,,11.0,5.0,,2.0,,1.0,1.0,3.0,,,,1.0,,1.0,,
1049035,Bayer Leverkusen,168,24903,Robert Andrich,https://media.api-sports.io/football/players/24903.png,2.0,8,M,,False,True,0,,1.0,1,0,0,0,0,,,,1.0,,,1.0,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,66019,Adam Hložek,https://media.api-sports.io/football/players/66019.png,1.0,23,F,,False,True,0,,1.0,1,0,0,0,0,,,,1.0,,,,,,,,,,,,,,,
