fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
27484,537,Leganes,https://media.api-sports.io/football/teams/537.png,1,7,10.0,2,7.0,3.0,16,4,1,47%,1,,1,369.0,273.0,74%,,,,,,,,,
27484,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,2,4,8.0,2,2.0,6.0,5,6,1,53%,0,,1,422.0,323.0,77%,,,,,,,,,
27481,529,Barcelona,https://media.api-sports.io/football/teams/529.png,12,7,23.0,4,14.0,9.0,17,6,1,62%,4,,2,609.0,530.0,87%,,,,,,,,,
27481,539,Levante,https://media.api-sports.io/football/teams/539.png,2,3,7.0,2,5.0,2.0,12,3,0,38%,3,,11,356.0,283.0,79%,,,,,,,,,
27487,532,Valencia,https://media.api-sports.io/football/teams/532.png,2,3,7.0,2,4.0,3.0,10,7,6,48%,2,,3,411.0,318.0,77%,,,,,,,,,
27487,545,Eibar,https://media.api-sports.io/football/teams/545.png,3,7,13.0,3,7.0,6.0,15,6,1,52%,3,,2,435.0,327.0,75%,,,,,,,,,
27483,547,Girona,https://media.api-sports.io/football/teams/547.png,4,9,15.0,2,9.0,6.0,12,3,5,43%,1,,3,375.0,283.0,75%,,,,,,,,,
27483,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,2,7.0,2,4.0,3.0,18,6,0,57%,2,1.0,3,505.0,411.0,81%,,,,,,,,,
27486,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,7,3,11.0,1,11.0,0.0,17,5,3,50%,2,,2,400.0,281.0,70%,,,,,,,,,
27486,546,Getafe,https://media.api-sports.io/football/teams/546.png,3,2,12.0,7,7.0,5.0,14,7,1,50%,3,,5,379.0,240.0,63%,,,,,,,,,
27488,533,Villarreal,https://media.api-sports.io/football/teams/533.png,5,9,18.0,4,10.0,8.0,15,0,1,46%,5,,2,397.0,304.0,77%,,,,,,,,,
27488,726,Huesca,https://media.api-sports.io/football/teams/726.png,3,8,14.0,3,14.0,0.0,22,1,3,54%,2,1.0,4,438.0,336.0,77%,,,,,,,,,
27485,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,5,3,12.0,4,6.0,6.0,21,6,3,48%,2,,3,377.0,305.0,81%,,,,,,,,,
27485,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,3,3,9.0,3,5.0,4.0,6,6,6,52%,5,,3,401.0,329.0,82%,,,,,,,,,
27482,543,Real Betis,https://media.api-sports.io/football/teams/543.png,5,8,18.0,5,9.0,9.0,16,6,1,53%,4,,2,460.0,390.0,85%,,,,,,,,,
27482,540,Espanyol,https://media.api-sports.io/football/teams/540.png,4,6,10.0,0,7.0,3.0,14,5,2,47%,1,,5,405.0,333.0,82%,,,,,,,,,
27497,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,3,7.0,1,1.0,6.0,11,3,3,64%,1,,2,484.0,388.0,80%,,,,,,,,,
27497,537,Leganes,https://media.api-sports.io/football/teams/537.png,5,3,9.0,1,7.0,2.0,23,4,3,36%,1,,3,276.0,185.0,67%,,,,,,,,,
27495,539,Levante,https://media.api-sports.io/football/teams/539.png,7,4,11.0,0,9.0,2.0,17,6,4,34%,1,,2,225.0,146.0,65%,,,,,,,,,
27495,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,10,20.0,7,13.0,7.0,12,7,0,66%,4,1.0,3,413.0,341.0,83%,,,,,,,,,
