fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_past,tackles_blocks,dribbles_success,fouls_drawn,fouls_committed,shots_on,offsides,goals_assists,goals_total,penalty_commited,penalty_won
719349,Bayern Munich,157,133110,Tanguy Nianzou,https://media.api-sports.io/football/players/133110.png,,23,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Bayern Munich,157,25634,Michaël Cuisance,https://media.api-sports.io/football/players/25634.png,,17,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Bayern Munich,157,508,Kingsley Coman,https://media.api-sports.io/football/players/508.png,15.0,11,F,6.7,False,True,0,,7.0,6,0,0,0,0,,1.0,,,,1.0,,,,,,,,,,,,,
719349,Bayern Munich,157,181812,Jamal Musiala,https://media.api-sports.io/football/players/181812.png,15.0,42,M,7.2,False,True,0,,9.0,7,0,0,0,0,,,1.0,1.0,,4.0,3.0,1.0,,,1.0,1.0,,,,,,,
719349,Bayern Munich,157,275,Eric Maxim Choupo-Moting,https://media.api-sports.io/football/players/275.png,8.0,13,F,6.3,False,True,0,,6.0,4,0,0,0,0,,,,,1.0,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,2918,Koen Casteels,https://media.api-sports.io/football/players/2918.png,90.0,1,G,7.2,True,False,0,1.0,19.0,14,0,0,0,0,0.0,,,,,1.0,1.0,,,,,,,,,,,,
719351,VfL Wolfsburg,161,946,Kevin Mbabu,https://media.api-sports.io/football/players/946.png,90.0,19,D,7.6,False,False,0,,51.0,40,0,0,0,0,,,2.0,2.0,7.0,15.0,6.0,2.0,1.0,,1.0,,3.0,,,,,,
719351,VfL Wolfsburg,161,20995,Maxence Lacroix,https://media.api-sports.io/football/players/20995.png,90.0,4,D,7.2,False,False,0,,90.0,79,0,0,0,0,,,,1.0,1.0,3.0,3.0,1.0,,,1.0,1.0,,,,,,,
719351,VfL Wolfsburg,161,25397,John Brooks,https://media.api-sports.io/football/players/25397.png,90.0,25,D,7.5,False,False,0,,82.0,77,0,0,0,0,,,,,7.0,7.0,3.0,1.0,,1.0,,,,,,,,,
719351,VfL Wolfsburg,161,25404,Jérôme Roussillon,https://media.api-sports.io/football/players/25404.png,87.0,15,D,6.7,False,False,0,,47.0,42,0,0,0,0,,1.0,,1.0,1.0,8.0,3.0,5.0,,,2.0,,1.0,1.0,,,,,
719351,VfL Wolfsburg,161,1095,Xaver Schlager,https://media.api-sports.io/football/players/1095.png,81.0,24,M,7.5,False,False,0,,56.0,46,0,0,0,0,,1.0,1.0,4.0,1.0,11.0,7.0,3.0,2.0,,2.0,1.0,,,,,,,
719351,VfL Wolfsburg,161,25408,Maximilian Arnold,https://media.api-sports.io/football/players/25408.png,90.0,27,M,7,False,False,0,,70.0,63,0,0,0,0,,1.0,,1.0,1.0,7.0,4.0,,1.0,,,2.0,,,,,,,
719351,VfL Wolfsburg,161,25917,Ridle Baku,https://media.api-sports.io/football/players/25917.png,90.0,20,M,5.9,False,False,0,,25.0,18,0,0,0,0,,3.0,1.0,,,8.0,1.0,2.0,1.0,,,,3.0,1.0,,,,,
719351,VfL Wolfsburg,161,24,Maximilian Philipp,https://media.api-sports.io/football/players/24.png,81.0,17,M,7.3,False,False,0,,26.0,25,0,0,0,0,,,4.0,1.0,,4.0,4.0,1.0,,,1.0,2.0,,,1.0,,,,
719351,VfL Wolfsburg,161,2809,Renato Steffen,https://media.api-sports.io/football/players/2809.png,70.0,11,M,7.3,False,False,0,,36.0,34,0,0,0,0,,2.0,2.0,2.0,1.0,4.0,2.0,,,,,,2.0,1.0,,,,,
719351,VfL Wolfsburg,161,25416,Wout Weghorst,https://media.api-sports.io/football/players/25416.png,90.0,9,F,7.5,False,False,0,,18.0,11,0,0,0,1,,7.0,2.0,,,5.0,3.0,1.0,2.0,,1.0,,,6.0,1.0,,1.0,,
719351,VfL Wolfsburg,161,25396,Pavao Pervan,https://media.api-sports.io/football/players/25396.png,,12,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,1408,Sebastiaan Bornauw,https://media.api-sports.io/football/players/1408.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,1084,Marin Pongračić,https://media.api-sports.io/football/players/1084.png,,34,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,25400,Yannick Gerhardt,https://media.api-sports.io/football/players/25400.png,9.0,31,M,6.3,False,True,0,,2.0,1,0,0,0,0,,,,,1.0,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,25410,Josuha Guilavogui,https://media.api-sports.io/football/players/25410.png,9.0,23,M,6.9,False,True,0,,7.0,4,0,0,0,0,,1.0,,,,1.0,,,,1.0,,,,,,,,,
719351,VfL Wolfsburg,161,2808,Admir Mehmedi,https://media.api-sports.io/football/players/2808.png,8.0,14,M,6.3,False,True,0,,5.0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,286702,Gil-Linnart Walther,https://media.api-sports.io/football/players/286702.png,,48,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL Wolfsburg,161,81573,Omar Marmoush,https://media.api-sports.io/football/players/81573.png,20.0,29,F,6.2,False,True,0,,6.0,5,0,0,0,0,,1.0,1.0,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,25058,Manuel Riemann,https://media.api-sports.io/football/players/25058.png,90.0,1,G,8.3,False,False,1,7.0,59.0,34,0,0,0,0,1.0,,,,1.0,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,1109,Cristian Gamboa,https://media.api-sports.io/football/players/1109.png,78.0,2,D,6.3,False,False,0,,31.0,17,0,0,0,0,,,,4.0,,6.0,4.0,1.0,,,,,,,,,,,
719351,VfL BOCHUM,176,594,Vasilis Lampropoulos,https://media.api-sports.io/football/players/594.png,89.0,24,D,6.9,False,False,0,,18.0,15,0,0,0,0,,1.0,,1.0,,4.0,2.0,,,1.0,,,,,,,,,
719351,VfL BOCHUM,176,25066,Maxim Leitsch,https://media.api-sports.io/football/players/25066.png,90.0,29,D,6.6,False,False,0,,43.0,31,1,0,0,0,,,,1.0,2.0,3.0,1.0,,,1.0,,,1.0,,,,,,
719351,VfL BOCHUM,176,25067,Danilo Soares,https://media.api-sports.io/football/players/25067.png,90.0,3,D,6.5,False,False,0,,48.0,35,0,0,0,0,,,,4.0,1.0,15.0,8.0,6.0,1.0,,3.0,1.0,1.0,,,,,,
719351,VfL BOCHUM,176,25074,Anthony Losilla,https://media.api-sports.io/football/players/25074.png,90.0,8,M,6.9,True,False,0,,34.0,27,0,0,0,0,,,1.0,,3.0,1.0,,,,,,,,,,,,,
719351,VfL BOCHUM,176,25078,Robert Tesche,https://media.api-sports.io/football/players/25078.png,4.0,23,M,3,False,False,0,,1.0,1,0,1,0,0,,,,,,,,,,,,,1.0,,,,,1.0,
719351,VfL BOCHUM,176,25413,Elvis Rexhbeçaj,https://media.api-sports.io/football/players/25413.png,90.0,20,M,7.7,False,False,0,,32.0,21,1,0,0,0,,2.0,3.0,2.0,3.0,11.0,9.0,4.0,,,3.0,3.0,,,,,,,
719351,VfL BOCHUM,176,25375,Takuma Asano,https://media.api-sports.io/football/players/25375.png,45.0,10,F,6.5,False,False,0,,7.0,6,0,0,0,0,,,,1.0,,9.0,3.0,1.0,4.0,,,1.0,,,,,,,
719351,VfL BOCHUM,176,25084,Simon Zoller,https://media.api-sports.io/football/players/25084.png,90.0,9,F,6.9,False,False,0,,23.0,22,0,0,0,0,,1.0,1.0,,,4.0,1.0,1.0,,,1.0,,2.0,,,,,,
719351,VfL BOCHUM,176,24815,Christopher Antwi-Adjei,https://media.api-sports.io/football/players/24815.png,90.0,22,F,6.5,False,False,0,,18.0,16,0,0,0,0,,,,3.0,,15.0,5.0,2.0,3.0,,,2.0,1.0,,1.0,,,,
719351,VfL BOCHUM,176,25363,Michael Esser,https://media.api-sports.io/football/players/25363.png,,21,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,25061,Armel Bella-Kotchap,https://media.api-sports.io/football/players/25061.png,,37,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,61411,Erhan Mašović,https://media.api-sports.io/football/players/61411.png,,4,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,119158,Herbert Bockhorn,https://media.api-sports.io/football/players/119158.png,12.0,11,D,6.7,False,True,0,,7.0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,31082,Raman Chibsah,https://media.api-sports.io/football/players/31082.png,,13,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,163022,Patrick Osterhage,https://media.api-sports.io/football/players/163022.png,,6,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719351,VfL BOCHUM,176,25079,Silvère Ganvoula,https://media.api-sports.io/football/players/25079.png,1.0,35,F,,False,True,0,,3.0,1,0,0,0,0,,,,,,4.0,3.0,,,,,,,,,,,,
719351,VfL BOCHUM,176,25081,Miloš Pantović,https://media.api-sports.io/football/players/25081.png,45.0,27,F,6.9,False,True,0,,20.0,13,0,0,0,0,,1.0,1.0,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,
719355,FC Augsburg,170,24837,Rafał Gikiewicz,https://media.api-sports.io/football/players/24837.png,90.0,1,G,6,False,False,4,4.0,35.0,29,0,0,0,0,0.0,,,,,1.0,,,1.0,,,,,,,,,,
719355,FC Augsburg,170,3001,Robert Gumny,https://media.api-sports.io/football/players/3001.png,90.0,2,D,6.5,False,False,0,,28.0,19,0,0,0,0,,1.0,,2.0,,8.0,5.0,,,1.0,,1.0,1.0,,,,,,
719355,FC Augsburg,170,25290,Jeffrey Gouweleeuw,https://media.api-sports.io/football/players/25290.png,90.0,6,D,5.9,True,False,0,,49.0,35,1,0,0,0,,,,,3.0,7.0,4.0,3.0,,,1.0,2.0,1.0,,,,,,
719355,FC Augsburg,170,25406,Felix Uduokhai,https://media.api-sports.io/football/players/25406.png,90.0,19,D,6.9,False,False,0,,58.0,46,0,0,0,0,,1.0,,1.0,2.0,9.0,7.0,,,2.0,,,,,,,,,
