fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited
21350,Genoa,495,91308,Nicolás Burdisso,https://media.api-sports.io/football/players/91308.png,90,8,D,6.6,True,False,0,0,,,22,0,73%,3,5,5,0,0,0,1,1,0,0,0,,,,,,1.0
21350,Genoa,495,46705,Santiago Gentiletti,https://media.api-sports.io/football/players/46705.png,90,3,D,6.8,False,False,1,0,,,25,0,78%,2,3,1,0,0,0,1,0,0,0,0,,,,,,
21350,Genoa,495,2822,Darko Lazović,https://media.api-sports.io/football/players/2822.png,90,22,M,7.0,False,False,1,0,,,20,1,74%,1,12,6,7,5,0,1,0,0,0,0,,,1.0,,,
21350,Genoa,495,1130,Olivier Ntcham,https://media.api-sports.io/football/players/1130.png,90,10,M,6.5,False,False,3,1,,,33,1,91%,1,12,5,0,0,2,1,0,0,0,0,,5.0,,,,
21350,Genoa,495,30781,Miguel Veloso,https://media.api-sports.io/football/players/30781.png,61,44,M,7.3,False,False,1,1,,,20,1,60%,1,4,3,0,0,0,1,0,0,0,0,,,,,,
21350,Genoa,495,1643,Diego Laxalt,https://media.api-sports.io/football/players/1643.png,90,93,M,7.2,False,False,1,0,,,20,0,52%,1,14,10,4,4,2,2,0,0,0,0,,1.0,,,,
21350,Genoa,495,31025,Luca Rigoni,https://media.api-sports.io/football/players/31025.png,73,30,M,7.2,False,False,1,0,,,22,0,84%,0,14,10,0,0,1,4,1,0,0,0,,,,,,
21350,Genoa,495,30414,Giovanni Simeone,https://media.api-sports.io/football/players/30414.png,89,9,F,6.9,False,False,1,1,,,6,1,40%,0,14,5,2,1,3,1,0,0,0,0,,1.0,,1.0,,
21350,Genoa,495,31469,Raffaele Palladino,https://media.api-sports.io/football/players/31469.png,90,11,F,7.2,False,False,1,1,,,23,1,74%,0,9,6,4,3,1,2,1,0,0,0,,,,,,
21350,Genoa,495,30779,Oscar Hiljemark,https://media.api-sports.io/football/players/30779.png,1,15,M,6.4,False,True,0,0,,,3,0,75%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21350,Genoa,495,1852,Danilo Cataldi,https://media.api-sports.io/football/players/1852.png,17,94,M,6.7,False,True,0,0,,,9,1,90%,0,2,1,0,0,0,0,0,0,0,0,,,,,,
21350,Genoa,495,30791,Goran Pandev,https://media.api-sports.io/football/players/30791.png,29,27,F,7.0,False,True,3,2,,,12,2,85%,0,6,3,0,0,1,0,1,0,0,0,,1.0,,1.0,,
21350,Lazio,487,1835,Thomas Strakosha,https://media.api-sports.io/football/players/1835.png,90,1,G,5.9,False,False,0,0,2.0,4.0,16,0,80%,0,1,1,0,0,0,0,0,0,0,0,1.0,,,,,
21350,Lazio,487,1838,Dušan Basta,https://media.api-sports.io/football/players/1838.png,90,8,M,6.5,False,False,1,0,,,29,0,74%,1,9,6,0,0,4,1,1,0,0,0,,2.0,,,,
21350,Lazio,487,194,Stefan de Vrij,https://media.api-sports.io/football/players/194.png,90,3,D,7.5,False,False,0,0,,,60,1,82%,3,5,3,1,1,0,0,0,0,0,0,,,,,,
21350,Lazio,487,47430,Wesley Hoedt,https://media.api-sports.io/football/players/47430.png,90,2,D,6.2,False,False,2,1,,,40,0,83%,2,9,2,0,0,0,3,0,0,0,0,,1.0,,,,
21350,Lazio,487,1846,Ştefan Radu,https://media.api-sports.io/football/players/1846.png,73,26,D,6.1,False,False,0,0,,,22,0,95%,0,7,3,1,1,1,0,0,0,0,0,,2.0,,,,
21350,Lazio,487,1857,Marco Parolo,https://media.api-sports.io/football/players/1857.png,81,16,M,6.8,False,False,0,0,,,36,1,81%,2,6,3,0,0,0,3,1,0,0,0,,,,,,
21350,Lazio,487,1637,Lucas Biglia,https://media.api-sports.io/football/players/1637.png,90,20,M,7.3,True,False,4,2,,,64,2,82%,2,6,1,0,0,1,1,0,0,0,1,,2.0,,1.0,,
21350,Lazio,487,1856,Sergej Milinković-Savić,https://media.api-sports.io/football/players/1856.png,90,21,M,6.5,False,False,3,0,,,27,1,64%,1,12,6,1,0,1,1,1,0,0,0,,,,,,
21350,Lazio,487,2412,Felipe Anderson,https://media.api-sports.io/football/players/2412.png,67,10,M,6.8,False,False,3,0,,,26,3,74%,2,15,5,6,3,1,0,0,0,0,0,,1.0,,,,
21350,Lazio,487,1863,Ciro Immobile,https://media.api-sports.io/football/players/1863.png,90,17,F,6.4,False,False,3,1,,,15,1,60%,0,9,3,3,1,1,0,0,0,0,0,,,,,,
21350,Lazio,487,213,Keita Baldé,https://media.api-sports.io/football/players/213.png,90,14,F,7.3,False,False,2,1,,,24,2,68%,0,12,6,5,2,4,1,0,0,0,0,,,,,,
21350,Lazio,487,1843,Jordan Lukaku,https://media.api-sports.io/football/players/1843.png,17,6,D,6.6,False,False,0,0,,,4,0,100%,0,6,3,0,0,0,2,0,0,0,0,,1.0,,,,
21350,Lazio,487,31377,Cristiano Lombardi,https://media.api-sports.io/football/players/31377.png,23,25,F,6.0,False,False,1,0,,,4,0,100%,0,6,1,0,0,0,1,1,0,0,0,,3.0,,,,
