fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_past,fouls_drawn,fouls_committed,shots_total,shots_on,goals_total,offsides,dribbles_success,penalty_won,penalty_commited,goals_assists
720743,Levante,539,47460,Róber Pier,https://media.api-sports.io/football/players/47460.png,90.0,4,D,6.7,False,False,0,,47.0,38,5.0,2.0,0,0,0,0,,,,1.0,,,,1.0,2.0,,,,,,,,
720743,Levante,539,46651,Carlos Clerc,https://media.api-sports.io/football/players/46651.png,90.0,19,D,6.6,False,False,0,,25.0,22,4.0,2.0,0,0,0,0,,,2.0,,5.0,,1.0,,1.0,,,,,,,,
720743,Levante,539,128582,Jorge de Frutos,https://media.api-sports.io/football/players/128582.png,90.0,18,M,6.2,False,False,0,,17.0,16,20.0,7.0,0,0,0,0,,,2.0,,1.0,3.0,7.0,3.0,2.0,3.0,1.0,,,2.0,,,
720743,Levante,539,47464,José Campaña,https://media.api-sports.io/football/players/47464.png,81.0,24,M,7.9,False,False,0,,65.0,61,12.0,8.0,1,0,0,0,,4.0,3.0,,2.0,3.0,,2.0,1.0,1.0,,,,3.0,,,
720743,Levante,539,47576,Gonzalo Melero,https://media.api-sports.io/football/players/47576.png,63.0,22,M,6.9,False,False,0,,42.0,40,7.0,3.0,1,0,0,0,,1.0,1.0,,,,,,1.0,,,,,,,,1.0
720743,Levante,539,47467,José Luis Morales,https://media.api-sports.io/football/players/47467.png,90.0,11,M,7,True,False,0,,24.0,18,9.0,5.0,1,0,0,0,,,1.0,,,2.0,,1.0,1.0,3.0,1.0,1.0,,,,,
720743,Levante,539,47471,Roger Martí,https://media.api-sports.io/football/players/47471.png,63.0,9,F,6.6,False,False,0,,11.0,6,5.0,1.0,0,0,0,0,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,
720743,Levante,539,1375,Roberto Soldado,https://media.api-sports.io/football/players/1375.png,51.0,16,F,6.6,False,False,0,,10.0,6,4.0,2.0,1,0,0,0,,,,,,,,1.0,1.0,2.0,1.0,,,,,,
720743,Levante,539,156488,Dani Cárdenas,https://media.api-sports.io/football/players/156488.png,,34,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,47568,Jorge Miramón,https://media.api-sports.io/football/players/47568.png,10.0,20,D,5.7,False,True,0,,3.0,2,5.0,,0,0,0,0,,,,,,,1.0,,1.0,,,,,,,,
720743,Levante,539,47457,Rúben Vezo,https://media.api-sports.io/football/players/47457.png,,14,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,47451,Coke,https://media.api-sports.io/football/players/47451.png,,23,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,129657,Enric Franquesa,https://media.api-sports.io/football/players/129657.png,,3,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,47461,Enis Bardhi,https://media.api-sports.io/football/players/47461.png,27.0,10,M,6.2,False,True,0,,5.0,4,3.0,,0,0,0,0,,,,,,,,,1.0,1.0,,,,,,,
720743,Levante,539,47441,Nemanja Radoja,https://media.api-sports.io/football/players/47441.png,,5,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,104949,Pablo Martínez,https://media.api-sports.io/football/players/104949.png,27.0,25,M,6,False,True,0,,15.0,14,4.0,,0,0,0,0,,,,,,1.0,1.0,,,,,,,,,,
720743,Levante,539,46714,Mickaël Malsa,https://media.api-sports.io/football/players/46714.png,9.0,12,M,6.6,False,True,0,,7.0,4,4.0,3.0,0,0,0,0,,,1.0,,,,,,,,,,,,,,
720743,Levante,539,47469,Nikola Vukčević,https://media.api-sports.io/football/players/47469.png,,17,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,182671,Álejandro Cantero,https://media.api-sports.io/football/players/182671.png,,29,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,119232,Dani Gómez,https://media.api-sports.io/football/players/119232.png,29.0,21,F,6.3,False,True,0,,4.0,4,1.0,,0,0,0,0,,,,,,,,,,,,,,,,,
720742,Mallorca,798,46729,Manolo Reina,https://media.api-sports.io/football/players/46729.png,90.0,1,G,6.2,True,False,1,,22.0,16,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,
