fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,dribbles_attempts,dribbles_success,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,fouls_drawn,fouls_committed,goals_assists,tackles_blocks,goals_total,dribbles_past,offsides,penalty_commited,penalty_won
1126339,Maccabi Haifa,4195,12939,Dia Saba,https://media.api-sports.io/football/players/12939.png,45.0,91,M,6.6,False,True,0,,13.0,11,1.0,,,,0,0,0,0,,,,1.0,,,,,,,,1.0,,,
1126339,Maccabi Haifa,4195,105846,Maor Kandil,https://media.api-sports.io/football/players/105846.png,28.0,23,D,6.3,False,True,0,,10.0,8,3.0,2.0,,,1,0,0,0,,,,,,,2.0,1.0,,,,,,,
1126339,Maccabi Haifa,4195,126500,Ali Mohamed,https://media.api-sports.io/football/players/126500.png,28.0,4,M,6.7,False,True,0,,12.0,10,4.0,1.0,,,1,0,0,0,,,,,1.0,1.0,,1.0,,,,2.0,,,
1126339,Maccabi Haifa,4195,30862,Lorenco Šimić,https://media.api-sports.io/football/players/30862.png,18.0,44,D,6.7,False,True,0,,13.0,10,2.0,1.0,,,0,0,0,0,,,,,,,1.0,1.0,,,,,,,
1126339,Maccabi Haifa,4195,260871,Erik Shuranov,https://media.api-sports.io/football/players/260871.png,9.0,19,F,6.3,False,True,0,,,,2.0,,,,0,0,0,0,,,,,,1.0,,,,,,1.0,,,
1126339,Maccabi Haifa,4195,163580,Shareef Keouf,https://media.api-sports.io/football/players/163580.png,,40,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126339,Maccabi Haifa,4195,56005,Rami Gershon,https://media.api-sports.io/football/players/56005.png,,55,D,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126339,Maccabi Haifa,4195,338794,Ilay Feingold,https://media.api-sports.io/football/players/338794.png,,22,D,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126339,Maccabi Haifa,4195,304334,Ilay Hajaj,https://media.api-sports.io/football/players/304334.png,,28,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126339,Maccabi Haifa,4195,386313,Hamza Shibli,https://media.api-sports.io/football/players/386313.png,,34,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126339,Maccabi Haifa,4195,110541,Goni Naor,https://media.api-sports.io/football/players/110541.png,,18,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126339,Maccabi Haifa,4195,163338,Suf Podgoreanu,https://media.api-sports.io/football/players/163338.png,,17,F,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,Bayer Leverkusen,168,138804,Matej Kovar,https://media.api-sports.io/football/players/138804.png,90.0,17,G,8.3,False,False,0,6.0,29.0,25,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,
1126342,Bayer Leverkusen,168,125171,Josip Stanišić,https://media.api-sports.io/football/players/125171.png,72.0,2,D,6.9,False,False,0,,40.0,40,10.0,5.0,1.0,1.0,0,0,0,0,,,,,4.0,,,1.0,,1.0,,4.0,,,
1126342,Bayer Leverkusen,168,972,Jonathan Tah,https://media.api-sports.io/football/players/972.png,90.0,4,D,7.3,True,False,0,,78.0,77,5.0,3.0,,,0,0,0,0,,,,,2.0,1.0,,,,1.0,,1.0,,,
1126342,Bayer Leverkusen,168,41150,Edmond Tapsoba,https://media.api-sports.io/football/players/41150.png,72.0,12,D,6.9,False,False,0,,74.0,73,3.0,1.0,,,1,0,0,0,,,,,1.0,1.0,,1.0,,,,1.0,,,
