fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
29020,489,AC Milan,https://media.api-sports.io/football/teams/489.png,6,7,21.0,8,14.0,7.0,12,8,1,64%,1,0.0,1,643.0,578.0,90%,,,,,,,,,
29028,493,Spal,https://media.api-sports.io/football/teams/493.png,5,9,17.0,3,12.0,5.0,16,4,,42%,3,0.0,1,344.0,258.0,75%,,,,,,,,,
29028,499,Atalanta,https://media.api-sports.io/football/teams/499.png,1,9,13.0,3,4.0,9.0,19,4,,58%,5,0.0,3,466.0,390.0,84%,,,,,,,,,
28997,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,4,6,10.0,0,2.0,8.0,14,4,3,60%,3,0.0,8,502.0,406.0,81%,,,,,,,,,
28997,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,9,5,15.0,1,10.0,5.0,15,6,1,40%,2,0.0,3,321.0,237.0,74%,,,,,,,,,
29038,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,7,11,23.0,5,12.0,11.0,14,5,0,60%,1,0.0,1,628.0,576.0,92%,,,,,,,,,
29038,511,Empoli,https://media.api-sports.io/football/teams/511.png,2,5,15.0,8,12.0,3.0,10,4,3,40%,4,1.0,4,405.0,341.0,84%,,,,,,,,,
29036,523,Parma,https://media.api-sports.io/football/teams/523.png,6,8,18.0,4,16.0,2.0,15,4,2,28%,2,0.0,2,235.0,178.0,76%,,,,,,,,,
29036,490,Cagliari,https://media.api-sports.io/football/teams/490.png,2,7,16.0,7,9.0,7.0,5,11,3,72%,1,0.0,4,591.0,523.0,88%,,,,,,,,,
29033,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,5,9,17.0,3,12.0,5.0,8,11,4,52%,1,0.0,2,435.0,375.0,86%,,,,,,,,,
29033,493,Spal,https://media.api-sports.io/football/teams/493.png,2,3,7.0,2,2.0,5.0,12,1,0,48%,2,0.0,2,396.0,334.0,84%,,,,,,,,,
29037,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,3,4,9.0,2,4.0,5.0,15,3,2,47%,3,0.0,2,462.0,375.0,81%,,,,,,,,,
29037,505,Inter,https://media.api-sports.io/football/teams/505.png,3,8,16.0,5,12.0,4.0,15,12,2,53%,2,0.0,3,471.0,390.0,83%,,,,,,,,,
29039,503,Torino,https://media.api-sports.io/football/teams/503.png,2,5,10.0,3,5.0,5.0,18,4,2,47%,2,0.0,3,435.0,371.0,85%,,,,,,,,,
29039,492,Napoli,https://media.api-sports.io/football/teams/492.png,6,7,16.0,3,9.0,7.0,16,6,2,53%,3,0.0,1,481.0,406.0,84%,,,,,,,,,
29035,487,Lazio,https://media.api-sports.io/football/teams/487.png,7,8,20.0,5,15.0,5.0,10,5,0,56%,1,0.0,3,497.0,431.0,87%,,,,,,,,,
29035,495,Genoa,https://media.api-sports.io/football/teams/495.png,4,4,11.0,3,4.0,7.0,7,3,2,44%,2,0.0,3,382.0,319.0,84%,,,,,,,,,
29032,491,Chievo,https://media.api-sports.io/football/teams/491.png,5,7,14.0,2,9.0,5.0,18,7,0,59%,1,0.0,3,504.0,424.0,84%,,,,,,,,,
29032,494,Udinese,https://media.api-sports.io/football/teams/494.png,5,4,11.0,2,9.0,2.0,10,3,4,41%,1,0.0,5,344.0,276.0,80%,,,,,,,,,
29031,500,Bologna,https://media.api-sports.io/football/teams/500.png,2,7,11.0,2,4.0,7.0,7,1,3,27%,2,0.0,8,224.0,151.0,67%,,,,,,,,,
29031,497,AS Roma,https://media.api-sports.io/football/teams/497.png,8,12,26.0,6,22.0,4.0,13,10,0,73%,4,0.0,0,566.0,499.0,88%,,,,,,,,,
29030,489,AC Milan,https://media.api-sports.io/football/teams/489.png,5,8,17.0,4,10.0,7.0,7,4,5,55%,2,0.0,3,550.0,468.0,85%,,,,,,,,,
29030,499,Atalanta,https://media.api-sports.io/football/teams/499.png,6,6,15.0,3,11.0,4.0,5,3,2,45%,1,0.0,3,435.0,359.0,83%,,,,,,,,,
29034,512,Frosinone,https://media.api-sports.io/football/teams/512.png,0,3,3.0,0,1.0,2.0,16,3,1,27%,3,0.0,5,229.0,173.0,76%,,,,,,,,,
29034,496,Juventus,https://media.api-sports.io/football/teams/496.png,8,10,29.0,11,17.0,12.0,9,5,1,73%,1,0.0,0,624.0,561.0,90%,,,,,,,,,
29044,505,Inter,https://media.api-sports.io/football/teams/505.png,3,7,13.0,3,10.0,3.0,18,6,1,49%,1,0.0,4,393.0,302.0,77%,,,,,,,,,
29044,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,4,4,16.0,8,8.0,8.0,23,3,2,51%,3,0.0,1,411.0,317.0,77%,,,,,,,,,
29049,494,Udinese,https://media.api-sports.io/football/teams/494.png,5,6,12.0,1,5.0,7.0,9,6,1,51%,2,0.0,0,475.0,380.0,80%,,,,,,,,,
29049,487,Lazio,https://media.api-sports.io/football/teams/487.png,2,3,10.0,5,4.0,6.0,18,4,1,49%,6,0.0,5,456.0,379.0,83%,,,,,,,,,
29041,490,Cagliari,https://media.api-sports.io/football/teams/490.png,1,12,14.0,1,10.0,4.0,17,7,5,46%,1,0.0,3,454.0,337.0,74%,,,,,,,,,
29041,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,3,9,13.0,1,6.0,7.0,22,3,2,54%,3,0.0,1,525.0,397.0,76%,,,,,,,,,
29046,492,Napoli,https://media.api-sports.io/football/teams/492.png,7,15,26.0,4,12.0,14.0,9,2,1,66%,0,0.0,0,764.0,701.0,92%,,,,,,,,,
29046,523,Parma,https://media.api-sports.io/football/teams/523.png,0,3,3.0,0,0.0,3.0,14,2,5,34%,3,0.0,4,380.0,306.0,81%,,,,,,,,,
29043,495,Genoa,https://media.api-sports.io/football/teams/495.png,4,9,18.0,5,11.0,7.0,13,7,0,49%,4,0.0,2,470.0,374.0,80%,,,,,,,,,
29043,491,Chievo,https://media.api-sports.io/football/teams/491.png,2,7,10.0,1,8.0,2.0,17,4,2,51%,4,0.0,2,479.0,386.0,81%,,,,,,,,,
29045,496,Juventus,https://media.api-sports.io/football/teams/496.png,8,6,15.0,1,8.0,7.0,12,3,2,76%,2,0.0,2,826.0,760.0,92%,,,,,,,,,
29045,500,Bologna,https://media.api-sports.io/football/teams/500.png,2,3,5.0,0,4.0,1.0,14,0,0,24%,3,0.0,6,244.0,173.0,71%,,,,,,,,,
29047,497,AS Roma,https://media.api-sports.io/football/teams/497.png,10,4,18.0,4,10.0,8.0,13,4,1,68%,0,0.0,1,812.0,756.0,93%,,,,,,,,,
29047,512,Frosinone,https://media.api-sports.io/football/teams/512.png,1,7,11.0,3,6.0,5.0,9,3,0,32%,1,0.0,6,366.0,289.0,79%,,,,,,,,,
29040,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,7,13.0,3,9.0,4.0,13,11,2,57%,2,0.0,0,472.0,347.0,74%,,,,,,,,,
29040,503,Torino,https://media.api-sports.io/football/teams/503.png,0,3,7.0,4,1.0,6.0,17,1,1,43%,1,0.0,3,365.0,234.0,64%,,,,,,,,,
29048,493,Spal,https://media.api-sports.io/football/teams/493.png,2,7,12.0,3,6.0,6.0,15,6,5,51%,1,0.0,4,442.0,377.0,85%,,,,,,,,,
29048,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,6,5,12.0,1,6.0,6.0,13,7,4,49%,0,0.0,2,429.0,364.0,85%,,,,,,,,,
29042,511,Empoli,https://media.api-sports.io/football/teams/511.png,3,0,3.0,0,2.0,1.0,13,3,6,46%,2,0.0,10,454.0,374.0,82%,,,,,,,,,
29042,489,AC Milan,https://media.api-sports.io/football/teams/489.png,10,7,24.0,7,15.0,9.0,9,10,0,54%,2,0.0,2,502.0,427.0,85%,,,,,,,,,
29057,497,AS Roma,https://media.api-sports.io/football/teams/497.png,7,4,17.0,6,10.0,7.0,11,8,0,44%,3,0.0,3,340.0,274.0,81%,,,,,,,,,
29057,487,Lazio,https://media.api-sports.io/football/teams/487.png,4,7,16.0,5,11.0,5.0,11,9,5,56%,1,0.0,4,430.0,349.0,81%,,,,,,,,,
29055,496,Juventus,https://media.api-sports.io/football/teams/496.png,9,6,17.0,2,9.0,8.0,15,7,3,51%,3,0.0,3,540.0,460.0,85%,,,,,,,,,
29055,492,Napoli,https://media.api-sports.io/football/teams/492.png,4,4,14.0,6,4.0,10.0,11,4,0,49%,5,1.0,6,516.0,429.0,83%,,,,,,,,,
29054,505,Inter,https://media.api-sports.io/football/teams/505.png,6,6,16.0,4,10.0,6.0,13,9,1,50%,1,0.0,2,477.0,400.0,84%,,,,,,,,,
29054,490,Cagliari,https://media.api-sports.io/football/teams/490.png,2,2,6.0,2,4.0,2.0,11,4,2,50%,4,0.0,4,482.0,400.0,83%,,,,,,,,,
29050,500,Bologna,https://media.api-sports.io/football/teams/500.png,6,8,21.0,7,8.0,13.0,7,3,,45%,2,0.0,1,376.0,307.0,82%,,,,,,,,,
29050,494,Udinese,https://media.api-sports.io/football/teams/494.png,2,7,14.0,5,4.0,10.0,12,4,,55%,4,0.0,4,456.0,396.0,87%,,,,,,,,,
29051,491,Chievo,https://media.api-sports.io/football/teams/491.png,1,6,9.0,2,2.0,7.0,15,3,2,35%,3,0.0,4,309.0,206.0,67%,,,,,,,,,
29051,503,Torino,https://media.api-sports.io/football/teams/503.png,5,7,19.0,7,13.0,6.0,16,8,1,65%,3,0.0,1,561.0,471.0,84%,,,,,,,,,
29052,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,4,2,7.0,1,3.0,4.0,13,5,1,34%,3,0.0,3,262.0,173.0,66%,,,,,,,,,
29052,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,7,17.0,7,11.0,6.0,12,6,1,66%,3,0.0,2,498.0,416.0,84%,,,,,,,,,
29053,512,Frosinone,https://media.api-sports.io/football/teams/512.png,5,8,17.0,4,8.0,9.0,21,5,1,49%,3,0.0,2,410.0,325.0,79%,,,,,,,,,
29053,495,Genoa,https://media.api-sports.io/football/teams/495.png,4,4,10.0,2,8.0,2.0,20,2,1,51%,2,0.0,3,441.0,350.0,79%,,,,,,,,,
29056,523,Parma,https://media.api-sports.io/football/teams/523.png,3,4,11.0,4,6.0,5.0,13,2,2,31%,2,0.0,2,296.0,213.0,72%,,,,,,,,,
29056,511,Empoli,https://media.api-sports.io/football/teams/511.png,2,7,18.0,9,12.0,6.0,9,11,1,69%,3,0.0,2,631.0,550.0,87%,,,,,,,,,
29059,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,2,7,12.0,3,6.0,6.0,13,9,0,60%,1,0.0,3,586.0,534.0,91%,,,,,,,,,
29059,489,AC Milan,https://media.api-sports.io/football/teams/489.png,8,1,12.0,3,4.0,8.0,13,5,1,40%,1,0.0,1,396.0,329.0,83%,,,,,,,,,
29058,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,9,2,15.0,4,9.0,6.0,13,6,5,46%,3,0.0,3,390.0,299.0,77%,,,,,,,,,
29058,493,Spal,https://media.api-sports.io/football/teams/493.png,4,2,9.0,3,8.0,1.0,18,5,1,54%,3,0.0,7,441.0,360.0,82%,,,,,,,,,
29068,503,Torino,https://media.api-sports.io/football/teams/503.png,9,6,17.0,2,10.0,7.0,16,2,2,62%,3,0.0,3,501.0,416.0,83%,,,,,,,,,
29068,512,Frosinone,https://media.api-sports.io/football/teams/512.png,5,4,12.0,3,9.0,3.0,18,4,1,38%,3,0.0,6,288.0,202.0,70%,,,,,,,,,
29062,490,Cagliari,https://media.api-sports.io/football/teams/490.png,5,3,11.0,3,6.0,5.0,8,4,0,52%,2,0.0,4,431.0,351.0,81%,,,,,,,,,
29062,500,Bologna,https://media.api-sports.io/football/teams/500.png,4,7,12.0,1,5.0,7.0,16,4,1,48%,4,0.0,3,379.0,294.0,78%,,,,,,,,,
29069,494,Udinese,https://media.api-sports.io/football/teams/494.png,3,3,9.0,3,2.0,7.0,14,4,,40%,3,0.0,6,421.0,356.0,85%,,,,,,,,,
29069,496,Juventus,https://media.api-sports.io/football/teams/496.png,7,8,21.0,6,16.0,5.0,15,8,,60%,1,0.0,2,629.0,562.0,89%,,,,,,,,,
29063,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,10,20.0,6,11.0,9.0,13,4,10,43%,2,0.0,1,400.0,334.0,84%,,,,,,,,,
29063,497,AS Roma,https://media.api-sports.io/football/teams/497.png,3,2,10.0,5,5.0,5.0,10,3,0,57%,1,0.0,4,519.0,441.0,85%,,,,,,,,,
29064,495,Genoa,https://media.api-sports.io/football/teams/495.png,10,12,29.0,7,16.0,13.0,9,9,2,60%,1,0.0,2,498.0,406.0,82%,,,,,,,,,
29064,523,Parma,https://media.api-sports.io/football/teams/523.png,5,1,7.0,1,6.0,1.0,8,7,3,40%,1,0.0,9,343.0,238.0,69%,,,,,,,,,
29065,487,Lazio,https://media.api-sports.io/football/teams/487.png,6,6,13.0,1,9.0,4.0,18,5,4,39%,5,0.0,5,325.0,246.0,76%,,,,,,,,,
29065,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,5,6,15.0,4,11.0,4.0,10,6,2,61%,3,0.0,5,496.0,394.0,79%,,,,,,,,,
29060,489,AC Milan,https://media.api-sports.io/football/teams/489.png,6,9,20.0,5,12.0,8.0,9,12,3,68%,1,0.0,1,746.0,679.0,91%,,,,,,,,,
29060,491,Chievo,https://media.api-sports.io/football/teams/491.png,1,4,13.0,8,5.0,8.0,13,7,0,32%,1,0.0,3,337.0,281.0,83%,,,,,,,,,
29061,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2,12,21.0,7,17.0,4.0,18,9,3,57%,2,0.0,2,569.0,485.0,85%,,,,,,,,,
29061,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,3,4,9.0,2,7.0,2.0,14,4,0,43%,4,0.0,2,432.0,339.0,78%,,,,,,,,,
29066,492,Napoli,https://media.api-sports.io/football/teams/492.png,7,7,15.0,1,11.0,4.0,12,4,3,44%,2,0.0,7,523.0,451.0,86%,,,,,,,,,
29066,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,7,4,12.0,1,6.0,6.0,8,4,1,56%,2,1.0,5,639.0,561.0,88%,,,,,,,,,
29067,493,Spal,https://media.api-sports.io/football/teams/493.png,5,7,14.0,2,11.0,3.0,13,10,0,51%,6,0.0,1,436.0,379.0,87%,,,,,,,,,
29067,505,Inter,https://media.api-sports.io/football/teams/505.png,3,5,13.0,5,9.0,4.0,21,9,2,49%,2,0.0,4,411.0,344.0,84%,,,,,,,,,
