fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,duels_total,duels_won,tackles_blocks,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,dribbles_attempts,shots_total,shots_on,dribbles_success,goals_total,offsides,penalty_commited,penalty_won
1323910,AS Roma,497,323936,Matías Soulé,https://media.api-sports.io/football/players/323936.png,,18,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,46988,Josep Martínez,https://media.api-sports.io/football/players/46988.png,90.0,13,G,8.9,False,False,0,0.0,6.0,47.0,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1325897,Inter,505,2725,Benjamin Pavard,https://media.api-sports.io/football/players/2725.png,90.0,28,D,7.7,False,False,0,0.0,,58.0,49,0,0,0,0,,,4.0,9.0,7.0,1.0,,1.0,,1.0,,,,,,,,
1325897,Inter,505,194,Stefan de Vrij,https://media.api-sports.io/football/players/194.png,90.0,6,D,7,True,False,0,0.0,,70.0,64,0,0,0,0,,,1.0,4.0,2.0,,,,1.0,,1.0,,,,,,,
1325897,Inter,505,24953,Yann Bisseck,https://media.api-sports.io/football/players/24953.png,90.0,31,D,8.2,False,False,0,0.0,,75.0,70,0,0,0,0,,,4.0,9.0,7.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,
1325897,Inter,505,887,Matteo Darmian,https://media.api-sports.io/football/players/887.png,24.0,36,M,6.7,False,False,0,0.0,,9.0,7,0,0,0,0,,,,1.0,,,,,,,,,,,,,,
1325897,Inter,505,31173,Davide Frattesi,https://media.api-sports.io/football/players/31173.png,84.0,16,M,6.7,False,False,0,0.0,,15.0,12,0,0,0,0,,1.0,1.0,5.0,2.0,,1.0,,,1.0,,,,,,,,
1325897,Inter,505,275776,Kristjan Asllani,https://media.api-sports.io/football/players/275776.png,63.0,21,M,6.9,False,False,0,0.0,,51.0,48,1,0,0,0,,,1.0,4.0,3.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,
1325897,Inter,505,329,Piotr Zieliński,https://media.api-sports.io/football/players/329.png,90.0,7,M,6.7,False,False,0,0.0,,49.0,45,0,0,0,0,,,1.0,3.0,2.0,,,,,,2.0,,,1.0,,,,
1325897,Inter,505,31010,Federico Dimarco,https://media.api-sports.io/football/players/31010.png,64.0,32,M,6.9,False,False,0,0.0,,31.0,28,0,0,0,0,,,2.0,4.0,3.0,,,,1.0,,1.0,,,1.0,,,,
1325897,Inter,505,42315,Mehdi Taremi,https://media.api-sports.io/football/players/42315.png,90.0,99,F,6.3,False,False,0,0.0,,10.0,6,0,0,0,0,,,2.0,11.0,3.0,1.0,2.0,,,,1.0,,,,,,,
1325897,Inter,505,18830,Marko Arnautović,https://media.api-sports.io/football/players/18830.png,64.0,8,F,7.5,False,False,0,0.0,,9.0,7,0,0,0,0,,,2.0,4.0,2.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,
1325897,Inter,505,226,Denzel Dumfries,https://media.api-sports.io/football/players/226.png,66.0,2,D,7,False,True,0,0.0,,18.0,15,1,0,0,0,,1.0,2.0,12.0,7.0,,,3.0,1.0,2.0,2.0,,,1.0,,,,
1325897,Inter,505,1640,Hakan Çalhanoğlu,https://media.api-sports.io/football/players/1640.png,27.0,20,M,7.3,False,True,0,0.0,,18.0,13,0,0,1,0,,,1.0,2.0,2.0,,,,1.0,,,1.0,1.0,,1.0,,,
1325897,Inter,505,31009,Alessandro Bastoni,https://media.api-sports.io/football/players/31009.png,26.0,95,D,6.7,False,True,0,0.0,,18.0,14,0,0,0,0,,,,1.0,1.0,,,,,,,,,,,,,
1325897,Inter,505,1854,Joaquín Correa,https://media.api-sports.io/football/players/1854.png,26.0,11,F,7.5,False,True,0,0.0,,4.0,4,0,0,0,0,,,2.0,7.0,6.0,,1.0,,,3.0,1.0,1.0,,1.0,,,,1.0
1325897,Inter,505,30558,Nicolò Barella,https://media.api-sports.io/football/players/30558.png,11.0,23,M,6.3,False,True,0,0.0,,7.0,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,336707,Alessandro Calligaris,https://media.api-sports.io/football/players/336707.png,,40,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,449683,Alain Taho,https://media.api-sports.io/football/players/449683.png,,60,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,1836,Francesco Acerbi,https://media.api-sports.io/football/players/1836.png,,15,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,392493,Matteo Cocchi,https://media.api-sports.io/football/players/392493.png,,58,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,343345,Christos Alexiou,https://media.api-sports.io/football/players/343345.png,,51,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,1457,Henrikh Mkhitaryan,https://media.api-sports.io/football/players/1457.png,,22,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,367878,Luka Topalović,https://media.api-sports.io/football/players/367878.png,,53,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,395849,Thomas Berenbruch,https://media.api-sports.io/football/players/395849.png,,52,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
