fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_interceptions,duels_total,duels_won,dribbles_attempts,fouls_committed,shots_total,tackles_total,dribbles_success,dribbles_past,fouls_drawn,tackles_blocks,shots_on,offsides,goals_total,goals_assists,penalty_commited,penalty_won
748123,PSV Eindhoven,197,1085,André Ramalho,https://media.api-sports.io/football/players/1085.png,90.0,5,D,8.2,False,False,0,,99.0,85,0,0,0,0,,1.0,2.0,9.0,5.0,1.0,,,3.0,1.0,,,,,,,1.0,,
748123,PSV Eindhoven,197,228,Armando Obispo,https://media.api-sports.io/football/players/228.png,90.0,24,D,7.5,False,False,0,,68.0,62,0,0,0,0,,1.0,2.0,5.0,3.0,,1.0,1.0,1.0,,,,,,,,,,
748123,PSV Eindhoven,197,25292,Philipp Max,https://media.api-sports.io/football/players/25292.png,90.0,31,D,7.3,False,False,0,,50.0,44,0,0,0,0,,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
748123,PSV Eindhoven,197,22149,Ibrahim Sangaré,https://media.api-sports.io/football/players/22149.png,90.0,6,M,7.2,False,False,0,,86.0,73,0,0,0,0,,,2.0,10.0,5.0,,2.0,2.0,2.0,,1.0,1.0,,,,,,,
748123,PSV Eindhoven,197,16,Mario Götze,https://media.api-sports.io/football/players/16.png,90.0,27,M,7.9,False,False,0,,68.0,52,0,0,0,0,,3.0,1.0,12.0,6.0,1.0,1.0,2.0,,,1.0,5.0,,2.0,,1.0,,,
748123,PSV Eindhoven,197,93587,Marco van Ginkel,https://media.api-sports.io/football/players/93587.png,70.0,8,M,7.3,True,False,0,,53.0,44,0,0,0,0,,,1.0,9.0,8.0,3.0,,2.0,2.0,3.0,,2.0,,2.0,,,,,
748123,PSV Eindhoven,197,136723,Noni Madueke,https://media.api-sports.io/football/players/136723.png,89.0,23,F,8.5,False,False,0,,38.0,32,0,0,0,0,,1.0,1.0,14.0,8.0,8.0,,3.0,1.0,6.0,2.0,1.0,,1.0,,1.0,,,
748123,PSV Eindhoven,197,12943,Eran Zahavi,https://media.api-sports.io/football/players/12943.png,90.0,7,F,6.9,False,False,0,,29.0,22,0,0,0,0,,2.0,,14.0,4.0,3.0,1.0,2.0,2.0,1.0,,,,,,,2.0,,
748123,PSV Eindhoven,197,247,Cody Gakpo,https://media.api-sports.io/football/players/247.png,87.0,11,F,7.2,False,False,0,,32.0,25,0,0,0,0,,1.0,,7.0,4.0,3.0,1.0,2.0,,2.0,,,,2.0,,1.0,,,
748123,PSV Eindhoven,197,125713,Vincent Müller,https://media.api-sports.io/football/players/125713.png,,13,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,1142,Yvon Mvogo,https://media.api-sports.io/football/players/1142.png,,38,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,232,Nick Viergever,https://media.api-sports.io/football/players/232.png,,4,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,231,Jordan Teze,https://media.api-sports.io/football/players/231.png,20.0,3,D,6.9,False,True,0,,19.0,16,0,0,0,0,,,,4.0,2.0,,,,1.0,,,,,,,,,,
748123,PSV Eindhoven,197,233,Mauro Júnior,https://media.api-sports.io/football/players/233.png,,17,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,215827,Fredrik Oppegard,https://media.api-sports.io/football/players/215827.png,,35,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,18975,Davy Pröpper,https://media.api-sports.io/football/players/18975.png,20.0,14,M,6.7,False,True,0,,21.0,16,0,0,0,0,,1.0,1.0,6.0,3.0,1.0,,,,1.0,1.0,,,,,,,,
748123,PSV Eindhoven,197,1163,Bruma,https://media.api-sports.io/football/players/1163.png,1.0,19,F,,False,True,0,,2.0,2,0,0,0,0,,1.0,1.0,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,241,Michal Sadílek,https://media.api-sports.io/football/players/241.png,,32,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,129072,Yorbe Vertessen,https://media.api-sports.io/football/players/129072.png,8.0,53,F,6.9,False,True,0,,4.0,2,0,0,0,0,,1.0,,2.0,2.0,1.0,,,,1.0,,,,,,,,,
748123,PSV Eindhoven,197,290540,Fodé Fofana,https://media.api-sports.io/football/players/290540.png,,42,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,FC Midtjylland,397,2727,Jonas Lössl,https://media.api-sports.io/football/players/2727.png,90.0,1,G,6.5,False,False,3,4.0,32.0,16,0,0,0,0,0.0,,,1.0,1.0,,,,,,,,,,,,,,
748123,FC Midtjylland,397,162219,Raphael Onyedika,https://media.api-sports.io/football/players/162219.png,90.0,37,D,5.9,False,False,0,,20.0,15,1,0,0,0,,,,12.0,4.0,,4.0,1.0,3.0,,3.0,1.0,,,,,,,
748123,FC Midtjylland,397,15796,Erik Sviatchenko,https://media.api-sports.io/football/players/15796.png,90.0,28,D,6.9,True,False,0,,30.0,18,0,0,0,0,,,1.0,17.0,10.0,2.0,2.0,1.0,2.0,1.0,,,2.0,,,,,,
748123,FC Midtjylland,397,15793,Rasmus Nicolaisen,https://media.api-sports.io/football/players/15793.png,90.0,20,D,6.3,False,False,0,,41.0,21,0,0,0,0,,,4.0,12.0,7.0,2.0,,,1.0,2.0,2.0,,,,,,,,
748123,FC Midtjylland,397,15788,Joel Andersson,https://media.api-sports.io/football/players/15788.png,90.0,6,M,7.3,False,False,0,,20.0,12,0,0,0,0,,2.0,,3.0,3.0,,,,3.0,,,,,,,,,,
748123,FC Midtjylland,397,9577,Charles,https://media.api-sports.io/football/players/9577.png,45.0,35,M,6,False,False,0,,16.0,13,0,0,0,0,,,,6.0,1.0,,3.0,,1.0,,,,,,,,,,
