fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Substitutions
38297,518,Brescia,https://media.api-sports.io/football/teams/518.png,5,11,16.0,,,,19,2,4,54%,1,0.0,4.0,,,,
38297,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,4,9.0,,,,21,6,2,46%,3,0.0,3.0,,,,
38298,519,Carpi,https://media.api-sports.io/football/teams/519.png,1,4,5.0,,,,20,3,0,53%,1,0.0,4.0,,,,
38298,868,Livorno,https://media.api-sports.io/football/teams/868.png,8,5,13.0,,,,20,4,4,47%,3,0.0,0.0,,,,
38304,525,Pescara,https://media.api-sports.io/football/teams/525.png,4,4,8.0,,,,11,11,2,52%,,0.0,4.0,,,,
38304,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,6,10.0,,,,13,4,2,48%,,0.0,3.0,,,,
38300,501,Crotone,https://media.api-sports.io/football/teams/501.png,4,5,9.0,,,,17,6,2,55%,2,0.0,2.0,,,,
38300,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,7,12.0,,,,10,3,3,45%,2,0.0,4.0,,,,
38305,504,Verona,https://media.api-sports.io/football/teams/504.png,5,3,8.0,,,,10,3,2,52%,0,0.0,10.0,,,,
38305,510,Cittadella,https://media.api-sports.io/football/teams/510.png,9,4,13.0,,,,14,6,7,48%,2,0.0,1.0,,,,
38302,522,Palermo,https://media.api-sports.io/football/teams/522.png,5,8,13.0,,,,13,7,1,57%,1,0.0,3.0,,,,
38302,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,14,17.0,,,,6,3,0,43%,1,0.0,3.0,,,,
38303,524,Perugia,https://media.api-sports.io/football/teams/524.png,6,6,12.0,,,,17,5,2,43%,3,0.0,1.0,,,,
38303,521,Foggia,https://media.api-sports.io/football/teams/521.png,1,8,9.0,,,,11,3,0,57%,3,0.0,3.0,,,,
