fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Substitutions
38202,515,Spezia,https://media.api-sports.io/football/teams/515.png,6,2,8.0,,,,19,5,1,44%,4,0.0,5.0,,,,
38203,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,13,17.0,,,,16,3,6,59%,3,0.0,2.0,,,,
38203,501,Crotone,https://media.api-sports.io/football/teams/501.png,2,4,6.0,,,,15,1,1,41%,1,0.0,3.0,,,,
38214,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,7,12.0,,,,14,10,1,60%,1,0.0,1.0,,,,
38214,525,Pescara,https://media.api-sports.io/football/teams/525.png,4,5,9.0,,,,16,4,3,40%,2,0.0,4.0,,,,
38207,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,6,9.0,,,,18,5,1,60%,5,0.0,2.0,,,,
38207,519,Carpi,https://media.api-sports.io/football/teams/519.png,2,5,7.0,,,,29,4,1,40%,5,0.0,3.0,,,,
38209,510,Cittadella,https://media.api-sports.io/football/teams/510.png,2,9,11.0,,,,25,6,4,54%,3,0.0,2.0,,,,
38209,518,Brescia,https://media.api-sports.io/football/teams/518.png,4,6,10.0,,,,14,3,4,46%,4,0.0,1.0,,,,
38210,864,Cosenza,https://media.api-sports.io/football/teams/864.png,4,5,9.0,,,,18,6,4,53%,2,0.0,1.0,,,,
38210,521,Foggia,https://media.api-sports.io/football/teams/521.png,1,2,3.0,,,,9,9,3,47%,3,0.0,2.0,,,,
38211,501,Crotone,https://media.api-sports.io/football/teams/501.png,4,5,9.0,,,,16,2,3,55%,1,0.0,5.0,,,,
38211,870,Padova,https://media.api-sports.io/football/teams/870.png,6,7,13.0,,,,15,1,0,45%,2,1.0,2.0,,,,
38213,514,Salernitana,https://media.api-sports.io/football/teams/514.png,5,4,9.0,,,,12,5,0,42%,3,0.0,6.0,,,,
38213,524,Perugia,https://media.api-sports.io/football/teams/524.png,7,3,10.0,,,,14,5,2,58%,3,1.0,3.0,,,,
38215,517,Venezia,https://media.api-sports.io/football/teams/517.png,5,5,10.0,,,,17,5,2,40%,1,0.0,2.0,,,,
38215,504,Verona,https://media.api-sports.io/football/teams/504.png,3,4,7.0,,,,10,4,2,60%,3,0.0,4.0,,,,
38212,867,Lecce,https://media.api-sports.io/football/teams/867.png,6,7,13.0,,,,16,6,3,48%,1,0.0,2.0,,,,
38212,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,8,12.0,,,,23,3,2,52%,4,0.0,5.0,,,,
38208,506,Benevento,https://media.api-sports.io/football/teams/506.png,12,5,17.0,,,,12,12,3,60%,2,0.0,2.0,,,,
38208,868,Livorno,https://media.api-sports.io/football/teams/868.png,2,3,5.0,,,,21,1,6,40%,4,0.0,11.0,,,,
38222,522,Palermo,https://media.api-sports.io/football/teams/522.png,8,13,21.0,,,,19,5,2,59%,4,1.0,1.0,,,,
38222,517,Venezia,https://media.api-sports.io/football/teams/517.png,2,0,2.0,,,,18,6,0,41%,2,0.0,7.0,,,,
38216,506,Benevento,https://media.api-sports.io/football/teams/506.png,5,7,12.0,,,,14,8,0,50%,4,0.0,0.0,,,,
38216,520,Cremonese,https://media.api-sports.io/football/teams/520.png,2,7,9.0,,,,13,6,3,50%,4,0.0,3.0,,,,
38217,518,Brescia,https://media.api-sports.io/football/teams/518.png,4,5,9.0,,,,16,5,2,52%,3,0.0,4.0,,,,
38217,864,Cosenza,https://media.api-sports.io/football/teams/864.png,4,2,6.0,,,,17,7,1,48%,3,0.0,3.0,,,,
38219,521,Foggia,https://media.api-sports.io/football/teams/521.png,5,8,13.0,,,,11,1,2,53%,1,0.0,2.0,,,,
38219,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,3,7.0,,,,16,4,5,47%,0,0.0,3.0,,,,
38223,525,Pescara,https://media.api-sports.io/football/teams/525.png,1,2,3.0,,,,15,4,6,49%,3,0.0,6.0,,,,
38223,510,Cittadella,https://media.api-sports.io/football/teams/510.png,7,5,12.0,,,,20,6,4,51%,3,0.0,2.0,,,,
38220,868,Livorno,https://media.api-sports.io/football/teams/868.png,4,4,8.0,,,,13,6,2,49%,2,0.0,3.0,,,,
38220,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,3,6.0,,,,12,10,1,51%,2,0.0,3.0,,,,
38221,870,Padova,https://media.api-sports.io/football/teams/870.png,2,6,8.0,,,,13,4,2,43%,3,0.0,1.0,,,,
38221,515,Spezia,https://media.api-sports.io/football/teams/515.png,1,6,7.0,,,,16,3,0,57%,2,0.0,2.0,,,,
38224,504,Verona,https://media.api-sports.io/football/teams/504.png,4,6,10.0,,,,14,10,1,58%,1,0.0,7.0,,,,
38224,524,Perugia,https://media.api-sports.io/football/teams/524.png,8,7,15.0,,,,15,5,5,42%,1,0.0,3.0,,,,
38218,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,2,5.0,,,,4,4,1,55%,0,0.0,1.0,,,,
38218,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,5,7.0,,,,9,2,1,45%,2,0.0,2.0,,,,
38225,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,4,7.0,,,,20,6,3,48%,3,0.0,0.0,,,,
38225,504,Verona,https://media.api-sports.io/football/teams/504.png,0,4,4.0,,,,22,5,9,52%,1,0.0,2.0,,,,
38227,510,Cittadella,https://media.api-sports.io/football/teams/510.png,2,3,5.0,,,,26,5,7,55%,3,1.0,1.0,,,,
38227,521,Foggia,https://media.api-sports.io/football/teams/521.png,2,2,4.0,,,,14,5,1,45%,1,0.0,1.0,,,,
38226,519,Carpi,https://media.api-sports.io/football/teams/519.png,0,4,4.0,,,,22,3,5,34%,2,1.0,4.0,,,,
38226,522,Palermo,https://media.api-sports.io/football/teams/522.png,7,8,15.0,,,,16,5,2,66%,3,1.0,0.0,,,,
38229,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,5,8.0,,,,16,1,0,44%,1,0.0,1.0,,,,
38229,517,Venezia,https://media.api-sports.io/football/teams/517.png,2,5,7.0,,,,6,4,2,56%,0,0.0,3.0,,,,
38231,524,Perugia,https://media.api-sports.io/football/teams/524.png,3,3,6.0,,,,5,7,3,54%,2,0.0,4.0,,,,
38231,870,Padova,https://media.api-sports.io/football/teams/870.png,6,1,7.0,,,,7,5,1,46%,4,0.0,1.0,,,,
38228,864,Cosenza,https://media.api-sports.io/football/teams/864.png,2,4,6.0,,,,10,1,0,55%,2,0.0,2.0,,,,
38228,525,Pescara,https://media.api-sports.io/football/teams/525.png,3,11,14.0,,,,18,5,2,45%,3,0.0,1.0,,,,
38232,514,Salernitana,https://media.api-sports.io/football/teams/514.png,8,5,13.0,,,,8,7,2,49%,2,0.0,1.0,,,,
38232,868,Livorno,https://media.api-sports.io/football/teams/868.png,2,6,8.0,,,,18,4,2,51%,3,0.0,3.0,,,,
38230,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,5,9.0,,,,10,4,6,45%,2,0.0,8.0,,,,
38230,501,Crotone,https://media.api-sports.io/football/teams/501.png,8,7,15.0,,,,11,8,2,55%,1,0.0,4.0,,,,
38242,504,Verona,https://media.api-sports.io/football/teams/504.png,4,4,8.0,,,,14,4,3,48%,3,0.0,2.0,,,,
38242,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,5,8.0,,,,15,7,3,52%,3,0.0,3.0,,,,
38236,521,Foggia,https://media.api-sports.io/football/teams/521.png,4,8,12.0,,,,13,4,1,51%,2,1.0,5.0,,,,
38236,518,Brescia,https://media.api-sports.io/football/teams/518.png,7,4,11.0,,,,14,12,7,49%,3,0.0,2.0,,,,
38239,522,Palermo,https://media.api-sports.io/football/teams/522.png,2,13,15.0,,,,13,4,3,60%,4,0.0,1.0,,,,
38239,864,Cosenza,https://media.api-sports.io/football/teams/864.png,2,7,9.0,,,,13,3,0,40%,3,1.0,0.0,,,,
38238,870,Padova,https://media.api-sports.io/football/teams/870.png,4,7,11.0,,,,15,4,1,45%,3,0.0,4.0,,,,
38238,510,Cittadella,https://media.api-sports.io/football/teams/510.png,4,6,10.0,,,,30,8,2,55%,6,0.0,3.0,,,,
38234,506,Benevento,https://media.api-sports.io/football/teams/506.png,5,3,8.0,,,,18,11,,63%,1,0.0,3.0,,,,
38234,507,Ascoli,https://media.api-sports.io/football/teams/507.png,4,5,9.0,,,,22,1,,37%,4,0.0,4.0,,,,
38235,501,Crotone,https://media.api-sports.io/football/teams/501.png,5,11,16.0,,,,16,7,0,52%,4,1.0,3.0,,,,
38235,519,Carpi,https://media.api-sports.io/football/teams/519.png,5,0,5.0,,,,16,4,3,48%,1,1.0,3.0,,,,
38241,517,Venezia,https://media.api-sports.io/football/teams/517.png,2,6,8.0,,,,13,5,2,54%,3,0.0,4.0,,,,
38241,514,Salernitana,https://media.api-sports.io/football/teams/514.png,4,3,7.0,,,,20,2,1,46%,3,0.0,1.0,,,,
38237,868,Livorno,https://media.api-sports.io/football/teams/868.png,5,4,9.0,,,,18,6,0,46%,4,1.0,3.0,,,,
38237,524,Perugia,https://media.api-sports.io/football/teams/524.png,7,2,9.0,,,,22,2,3,54%,3,0.0,3.0,,,,
38240,525,Pescara,https://media.api-sports.io/football/teams/525.png,4,5,9.0,,,,21,3,,51%,4,0.0,2.0,,,,
38240,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,4,8.0,,,,15,5,,49%,2,2.0,0.0,,,,
38250,524,Perugia,https://media.api-sports.io/football/teams/524.png,5,3,8.0,,,,13,5,5,49%,2,0.0,6.0,,,,
38250,501,Crotone,https://media.api-sports.io/football/teams/501.png,7,3,10.0,,,,11,7,3,51%,2,0.0,4.0,,,,
38243,507,Ascoli,https://media.api-sports.io/football/teams/507.png,7,5,12.0,,,,14,5,0,43%,4,0.0,3.0,,,,
38243,870,Padova,https://media.api-sports.io/football/teams/870.png,5,3,8.0,,,,17,4,2,57%,2,0.0,4.0,,,,
38251,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,2,4.0,,,,24,4,2,40%,1,0.0,4.0,,,,
38251,515,Spezia,https://media.api-sports.io/football/teams/515.png,4,3,7.0,,,,19,10,1,60%,1,1.0,1.0,,,,
38245,519,Carpi,https://media.api-sports.io/football/teams/519.png,7,4,11.0,,,,11,6,4,52%,4,0.0,5.0,,,,
38245,506,Benevento,https://media.api-sports.io/football/teams/506.png,7,6,13.0,,,,15,6,0,48%,5,0.0,5.0,,,,
38248,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,4,9.0,,,,8,12,2,54%,1,0.0,4.0,,,,
38248,868,Livorno,https://media.api-sports.io/football/teams/868.png,4,5,9.0,,,,11,3,2,46%,3,0.0,4.0,,,,
38247,864,Cosenza,https://media.api-sports.io/football/teams/864.png,6,2,8.0,,,,6,9,2,54%,3,0.0,1.0,,,,
38247,867,Lecce,https://media.api-sports.io/football/teams/867.png,3,3,6.0,,,,1,5,1,46%,2,0.0,4.0,,,,
38246,510,Cittadella,https://media.api-sports.io/football/teams/510.png,6,7,13.0,,,,21,13,1,63%,5,0.0,0.0,,,,
38246,517,Venezia,https://media.api-sports.io/football/teams/517.png,1,1,2.0,,,,15,3,2,37%,3,0.0,1.0,,,,
38244,518,Brescia,https://media.api-sports.io/football/teams/518.png,6,6,12.0,,,,16,3,1,57%,4,0.0,1.0,,,,
38244,504,Verona,https://media.api-sports.io/football/teams/504.png,3,3,6.0,,,,14,3,0,43%,2,0.0,3.0,,,,
38249,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,10,14.0,,,,12,3,,48%,2,0.0,2.0,,,,
38249,525,Pescara,https://media.api-sports.io/football/teams/525.png,2,4,6.0,,,,10,11,,52%,2,0.0,1.0,,,,
38233,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,5,10.0,,,,16,3,2,45%,3,0.0,2.0,,,,
38233,506,Benevento,https://media.api-sports.io/football/teams/506.png,3,7,10.0,,,,14,4,1,55%,3,0.0,2.0,,,,
38260,504,Verona,https://media.api-sports.io/football/teams/504.png,2,2,4.0,,,,13,4,1,47%,1,0.0,3.0,,,,
38260,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,6,10.0,,,,16,7,0,53%,1,0.0,1.0,,,,
38259,517,Venezia,https://media.api-sports.io/football/teams/517.png,3,1,4.0,,,,5,6,4,31%,2,1.0,5.0,,,,
38259,518,Brescia,https://media.api-sports.io/football/teams/518.png,6,6,12.0,,,,19,6,4,69%,4,0.0,1.0,,,,
38255,868,Livorno,https://media.api-sports.io/football/teams/868.png,4,8,12.0,,,,9,9,4,48%,0,0.0,1.0,,,,
38255,510,Cittadella,https://media.api-sports.io/football/teams/510.png,1,9,10.0,,,,13,4,0,52%,5,1.0,4.0,,,,
38256,870,Padova,https://media.api-sports.io/football/teams/870.png,2,11,13.0,,,,13,4,0,52%,1,1.0,0.0,,,,
38256,519,Carpi,https://media.api-sports.io/football/teams/519.png,1,5,6.0,,,,22,7,3,48%,4,0.0,2.0,,,,
38252,506,Benevento,https://media.api-sports.io/football/teams/506.png,8,8,16.0,,,,14,3,0,48%,2,0.0,1.0,,,,
38252,524,Perugia,https://media.api-sports.io/football/teams/524.png,2,2,4.0,,,,14,1,2,52%,2,1.0,5.0,,,,
38258,515,Spezia,https://media.api-sports.io/football/teams/515.png,4,10,14.0,,,,18,10,0,46%,2,0.0,0.0,,,,
38258,521,Foggia,https://media.api-sports.io/football/teams/521.png,0,4,4.0,,,,10,5,5,54%,4,1.0,5.0,,,,
38257,525,Pescara,https://media.api-sports.io/football/teams/525.png,6,6,12.0,,,,19,5,1,51%,5,0.0,4.0,,,,
38257,507,Ascoli,https://media.api-sports.io/football/teams/507.png,5,7,12.0,,,,11,6,0,49%,2,1.0,5.0,,,,
38254,867,Lecce,https://media.api-sports.io/football/teams/867.png,6,4,10.0,,,,13,10,1,56%,1,0.0,4.0,,,,
38254,520,Cremonese,https://media.api-sports.io/football/teams/520.png,4,2,6.0,,,,17,2,1,44%,2,0.0,4.0,,,,
38253,501,Crotone,https://media.api-sports.io/football/teams/501.png,2,6,8.0,,,,20,2,3,59%,4,1.0,1.0,,,,
38253,864,Cosenza,https://media.api-sports.io/football/teams/864.png,2,3,5.0,,,,15,9,1,41%,4,1.0,2.0,,,,
38268,522,Palermo,https://media.api-sports.io/football/teams/522.png,2,6,8.0,,,,18,5,2,53%,3,0.0,3.0,,,,
38268,506,Benevento,https://media.api-sports.io/football/teams/506.png,3,6,9.0,,,,13,5,0,47%,2,0.0,2.0,,,,
38264,510,Cittadella,https://media.api-sports.io/football/teams/510.png,8,3,11.0,,,,15,7,0,57%,3,0.0,1.0,,,,
38264,514,Salernitana,https://media.api-sports.io/football/teams/514.png,3,3,6.0,,,,12,2,3,43%,1,0.0,5.0,,,,
38266,520,Cremonese,https://media.api-sports.io/football/teams/520.png,2,8,10.0,,,,12,6,4,50%,2,0.0,4.0,,,,
38266,501,Crotone,https://media.api-sports.io/football/teams/501.png,5,0,5.0,,,,12,2,2,50%,2,1.0,0.0,,,,
38265,864,Cosenza,https://media.api-sports.io/football/teams/864.png,6,3,9.0,,,,7,8,,61%,3,0.0,0.0,,,,
38265,870,Padova,https://media.api-sports.io/football/teams/870.png,1,0,1.0,,,,5,2,,39%,1,1.0,4.0,,,,
38261,507,Ascoli,https://media.api-sports.io/football/teams/507.png,4,1,5.0,,,,12,2,2,40%,4,1.0,3.0,,,,
38261,515,Spezia,https://media.api-sports.io/football/teams/515.png,4,6,10.0,,,,16,9,2,60%,1,1.0,1.0,,,,
38262,518,Brescia,https://media.api-sports.io/football/teams/518.png,3,2,5.0,,,,15,4,4,52%,2,1.0,2.0,,,,
38262,868,Livorno,https://media.api-sports.io/football/teams/868.png,2,6,8.0,,,,15,6,0,48%,2,0.0,1.0,,,,
38263,519,Carpi,https://media.api-sports.io/football/teams/519.png,0,3,3.0,,,,20,2,1,46%,4,0.0,2.0,,,,
38263,867,Lecce,https://media.api-sports.io/football/teams/867.png,3,4,7.0,,,,11,6,1,54%,2,0.0,0.0,,,,
38269,524,Perugia,https://media.api-sports.io/football/teams/524.png,4,5,9.0,,,,8,3,4,45%,1,0.0,2.0,,,,
38269,525,Pescara,https://media.api-sports.io/football/teams/525.png,3,4,7.0,,,,9,7,1,55%,0,0.0,2.0,,,,
38267,521,Foggia,https://media.api-sports.io/football/teams/521.png,3,5,8.0,,,,14,1,1,58%,2,0.0,3.0,,,,
38267,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,8,12.0,,,,19,6,2,42%,3,0.0,2.0,,,,
38275,525,Pescara,https://media.api-sports.io/football/teams/525.png,3,8,11.0,,,,14,8,4,54%,1,0.0,5.0,,,,
38275,519,Carpi,https://media.api-sports.io/football/teams/519.png,5,3,8.0,,,,13,3,2,46%,2,0.0,2.0,,,,
38274,870,Padova,https://media.api-sports.io/football/teams/870.png,5,7,12.0,,,,21,4,1,43%,3,0.0,1.0,,,,
38274,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,1,5.0,,,,19,6,5,57%,3,0.0,4.0,,,,
38277,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,7,12.0,,,,13,3,,54%,1,0.0,1.0,,,,
38277,864,Cosenza,https://media.api-sports.io/football/teams/864.png,1,8,9.0,,,,10,10,,46%,2,0.0,1.0,,,,
38278,517,Venezia,https://media.api-sports.io/football/teams/517.png,5,4,9.0,,,,15,3,4,58%,3,0.0,2.0,,,,
38278,507,Ascoli,https://media.api-sports.io/football/teams/507.png,2,4,6.0,,,,20,2,6,42%,3,1.0,4.0,,,,
38272,867,Lecce,https://media.api-sports.io/football/teams/867.png,2,1,3.0,,,,12,6,1,51%,1,0.0,4.0,,,,
38272,524,Perugia,https://media.api-sports.io/football/teams/524.png,4,7,11.0,,,,12,2,1,49%,2,0.0,2.0,,,,
38271,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,4,7.0,,,,13,5,0,47%,3,0.0,1.0,,,,
38271,510,Cittadella,https://media.api-sports.io/football/teams/510.png,2,4,6.0,,,,20,6,4,53%,2,0.0,3.0,,,,
38273,868,Livorno,https://media.api-sports.io/football/teams/868.png,9,3,12.0,,,,20,3,1,55%,3,0.0,4.0,,,,
38273,521,Foggia,https://media.api-sports.io/football/teams/521.png,5,4,9.0,,,,10,5,2,45%,2,0.0,6.0,,,,
38270,506,Benevento,https://media.api-sports.io/football/teams/506.png,2,6,8.0,,,,16,8,2,51%,3,1.0,3.0,,,,
38270,504,Verona,https://media.api-sports.io/football/teams/504.png,4,3,7.0,,,,21,5,4,49%,4,1.0,2.0,,,,
38276,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,4,6.0,,,,14,5,1,42%,2,0.0,4.0,,,,
38276,518,Brescia,https://media.api-sports.io/football/teams/518.png,7,10,17.0,,,,13,5,0,58%,0,0.0,1.0,,,,
38284,521,Foggia,https://media.api-sports.io/football/teams/521.png,7,2,9.0,,,,16,1,6,43%,3,0.0,4.0,,,,
38284,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,3,8.0,,,,17,6,4,57%,4,0.0,4.0,,,,
38279,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,3,6.0,,,,12,8,4,44%,1,0.0,2.0,,,,
38279,510,Cittadella,https://media.api-sports.io/football/teams/510.png,3,3,6.0,,,,18,4,1,56%,3,0.0,2.0,,,,
38285,522,Palermo,https://media.api-sports.io/football/teams/522.png,6,9,15.0,,,,20,3,2,55%,2,0.0,4.0,,,,
38285,868,Livorno,https://media.api-sports.io/football/teams/868.png,5,2,7.0,,,,19,3,0,45%,3,0.0,5.0,,,,
38286,524,Perugia,https://media.api-sports.io/football/teams/524.png,2,5,7.0,,,,13,4,1,45%,1,0.0,4.0,,,,
38286,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,6,11.0,,,,10,10,0,55%,3,0.0,1.0,,,,
38283,501,Crotone,https://media.api-sports.io/football/teams/501.png,7,7,14.0,,,,21,4,,55%,4,0.0,2.0,,,,
38283,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,4,8.0,,,,4,5,,45%,3,0.0,6.0,,,,
38281,519,Carpi,https://media.api-sports.io/football/teams/519.png,4,3,7.0,,,,14,4,2,44%,3,0.0,6.0,,,,
38281,514,Salernitana,https://media.api-sports.io/football/teams/514.png,8,6,14.0,,,,14,7,3,56%,2,0.0,1.0,,,,
38282,864,Cosenza,https://media.api-sports.io/football/teams/864.png,3,5,8.0,,,,17,4,0,52%,1,0.0,4.0,,,,
38282,506,Benevento,https://media.api-sports.io/football/teams/506.png,4,4,8.0,,,,17,5,4,48%,3,0.0,3.0,,,,
38280,518,Brescia,https://media.api-sports.io/football/teams/518.png,7,8,15.0,,,,18,10,5,53%,3,0.0,1.0,,,,
38280,867,Lecce,https://media.api-sports.io/football/teams/867.png,2,5,7.0,,,,16,2,6,47%,2,0.0,5.0,,,,
38287,504,Verona,https://media.api-sports.io/football/teams/504.png,5,1,6.0,,,,14,1,1,52%,2,0.0,4.0,,,,
38287,525,Pescara,https://media.api-sports.io/football/teams/525.png,5,5,10.0,,,,18,4,2,48%,2,0.0,2.0,,,,
38288,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,9,12.0,,,,15,2,1,49%,2,0.0,4.0,,,,
38288,518,Brescia,https://media.api-sports.io/football/teams/518.png,5,5,10.0,,,,17,3,2,51%,3,0.0,2.0,,,,
38291,520,Cremonese,https://media.api-sports.io/football/teams/520.png,2,11,13.0,,,,14,14,0,60%,1,0.0,1.0,,,,
38291,519,Carpi,https://media.api-sports.io/football/teams/519.png,3,3,6.0,,,,18,1,1,40%,3,1.0,1.0,,,,
38293,868,Livorno,https://media.api-sports.io/football/teams/868.png,3,5,8.0,,,,23,7,0,46%,2,0.0,3.0,,,,
38293,504,Verona,https://media.api-sports.io/football/teams/504.png,3,4,7.0,,,,12,2,2,54%,3,0.0,3.0,,,,
38290,510,Cittadella,https://media.api-sports.io/football/teams/510.png,3,4,7.0,,,,14,13,0,50%,5,0.0,2.0,,,,
38290,524,Perugia,https://media.api-sports.io/football/teams/524.png,4,0,4.0,,,,10,2,3,50%,2,0.0,1.0,,,,
38296,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,3,7.0,,,,16,2,,63%,2,0.0,1.0,,,,
38296,864,Cosenza,https://media.api-sports.io/football/teams/864.png,2,8,10.0,,,,30,1,,37%,3,0.0,5.0,,,,
38292,867,Lecce,https://media.api-sports.io/football/teams/867.png,5,4,9.0,,,,7,4,3,55%,2,0.0,2.0,,,,
38292,870,Padova,https://media.api-sports.io/football/teams/870.png,4,5,9.0,,,,11,4,1,45%,1,0.0,2.0,,,,
38295,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,4,9.0,,,,10,5,0,46%,2,0.0,5.0,,,,
38295,522,Palermo,https://media.api-sports.io/football/teams/522.png,6,6,12.0,,,,12,7,2,54%,4,0.0,4.0,,,,
38289,506,Benevento,https://media.api-sports.io/football/teams/506.png,5,7,12.0,,,,12,1,2,49%,1,0.0,0.0,,,,
38289,501,Crotone,https://media.api-sports.io/football/teams/501.png,0,9,9.0,,,,24,3,2,51%,4,0.0,2.0,,,,
