fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,penalty_commited,penalty_won,offsides
232602,Inter,505,188,Samir Handanovič,https://media.api-sports.io/football/players/188.png,90,1,G,5.9,True,False,0,0,3.0,1.0,22,0,81%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
232602,Inter,505,198,Milan Škriniar,https://media.api-sports.io/football/players/198.png,90,37,D,6.8,False,False,0,0,0.0,,36,0,97%,1.0,2,0,0,1,0,0,0,0,0,,2.0,1.0,,,,,
232602,Inter,505,194,Stefan de Vrij,https://media.api-sports.io/football/players/194.png,90,6,D,7.0,False,False,0,0,0.0,,43,2,87%,1.0,1,1,1,0,5,1,0,0,0,,2.0,,,1.0,,,
232602,Inter,505,31009,Alessandro Bastoni,https://media.api-sports.io/football/players/31009.png,90,95,D,6.3,False,False,0,0,0.0,,50,1,90%,0.0,1,1,1,0,2,1,0,0,0,,,,,,,,
232602,Inter,505,202,Antonio Candreva,https://media.api-sports.io/football/players/202.png,73,87,M,7.0,False,False,1,1,0.0,,15,1,78%,0.0,2,0,0,3,0,0,0,0,0,,1.0,1.0,,,,,
232602,Inter,505,203,Roberto Gagliardini,https://media.api-sports.io/football/players/203.png,90,5,M,7.1,False,False,0,0,0.0,,35,1,89%,0.0,3,0,0,2,0,0,0,0,0,,1.0,1.0,,,,,
232602,Inter,505,201,Marcelo Brozović,https://media.api-sports.io/football/players/201.png,90,77,M,7.3,False,False,2,0,0.0,,39,3,86%,0.0,1,1,1,0,1,0,0,0,0,,4.0,3.0,,1.0,,,
232602,Inter,505,30558,Nicolò Barella,https://media.api-sports.io/football/players/30558.png,90,23,M,6.4,False,False,0,0,0.0,,31,0,81%,0.0,0,4,1,4,3,0,0,0,0,,3.0,,,,,1.0,
232602,Inter,505,30396,Cristiano Biraghi,https://media.api-sports.io/football/players/30396.png,90,34,M,7.4,False,False,1,0,0.0,,20,1,71%,0.0,0,2,2,2,0,0,0,0,0,,4.0,,,,,,
232602,Inter,505,907,Romelu Lukaku,https://media.api-sports.io/football/players/907.png,89,9,F,8.2,False,False,3,2,0.0,,19,0,76%,0.0,0,1,1,0,3,0,0,1,0,,3.0,2.0,2.0,,,,
