fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_past,fouls_drawn,penalty_won,tackles_blocks,fouls_committed,dribbles_attempts,dribbles_success,shots_total,shots_on,goals_total,penalty_commited,offsides
881812,Monza,1579,30934,Luca Marrone,https://media.api-sports.io/football/players/30934.png,45.0,34,D,6.2,False,False,0,,31.0,29,0,0,0,0,,,,,,4.0,1.0,,1.0,,,,,,,,,,
881812,Monza,1579,30615,Luca Caldirola,https://media.api-sports.io/football/players/30615.png,90.0,5,D,7.3,False,False,0,,84.0,79,0,0,0,0,,,1.0,3.0,,6.0,5.0,,1.0,,2.0,1.0,,,1.0,,,,
881812,Monza,1579,30708,Samuele Birindelli,https://media.api-sports.io/football/players/30708.png,90.0,19,M,7.2,False,False,0,,35.0,29,0,0,0,0,,,3.0,2.0,1.0,5.0,4.0,,1.0,,,,2.0,1.0,,,,,
881812,Monza,1579,30436,Matteo Pessina,https://media.api-sports.io/football/players/30436.png,62.0,32,M,6.5,True,False,0,,44.0,44,0,0,0,0,,,1.0,,1.0,7.0,3.0,2.0,2.0,,,,1.0,1.0,,,,,
881812,Monza,1579,30535,Stefano Sensi,https://media.api-sports.io/football/players/30535.png,84.0,12,M,7.2,False,False,0,,81.0,75,0,0,0,0,,,4.0,1.0,2.0,9.0,4.0,2.0,2.0,,,1.0,2.0,1.0,,,,,
881812,Monza,1579,31024,José Machín,https://media.api-sports.io/football/players/31024.png,90.0,7,M,6.2,False,False,0,,62.0,54,1,0,0,0,,,,2.0,2.0,10.0,3.0,1.0,,,,1.0,4.0,1.0,1.0,,,,
881812,Monza,1579,10238,Carlos Augusto,https://media.api-sports.io/football/players/10238.png,90.0,30,M,6.5,False,False,0,,38.0,36,0,0,0,0,,,,,1.0,4.0,2.0,1.0,,,,,2.0,1.0,,,,,
881812,Monza,1579,30460,Gianluca Caprari,https://media.api-sports.io/football/players/30460.png,62.0,17,F,6.7,False,False,0,,34.0,29,0,0,0,0,,,,,,5.0,3.0,,3.0,,,,2.0,,2.0,,,,1.0
881812,Monza,1579,30879,Andrea Petagna,https://media.api-sports.io/football/players/30879.png,62.0,37,F,6.7,False,False,0,,17.0,12,0,0,0,0,,,,1.0,,6.0,3.0,,,,,,1.0,,1.0,,,,
881812,Monza,1579,30546,Alessio Cragno,https://media.api-sports.io/football/players/30546.png,,89,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,129553,Alessandro Sorrentino,https://media.api-sports.io/football/players/129553.png,,91,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,193270,Andrea Carboni,https://media.api-sports.io/football/players/193270.png,,44,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,10997,Valentin Antov,https://media.api-sports.io/football/players/10997.png,,26,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,30994,Salvatore Molina,https://media.api-sports.io/football/players/30994.png,45.0,79,D,7,False,True,0,,20.0,19,0,0,0,0,,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,
881812,Monza,1579,30431,Andrea Colpani,https://media.api-sports.io/football/players/30431.png,28.0,28,M,6.6,False,True,0,,22.0,22,0,0,0,0,,,1.0,,1.0,4.0,2.0,,,,,,2.0,2.0,,,,,
881812,Monza,1579,30875,Mattia Valoti,https://media.api-sports.io/football/players/30875.png,,10,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,312985,Samuele Vignato,https://media.api-sports.io/football/players/312985.png,,80,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,266813,Warren Bondo,https://media.api-sports.io/football/players/266813.png,10.0,38,M,6.3,False,True,0,,10.0,10,0,0,0,0,,,,,,2.0,1.0,,,,,,2.0,1.0,,,,,
881812,Monza,1579,31402,Filippo Ranocchia,https://media.api-sports.io/football/players/31402.png,,22,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,30989,Andrea Barberis,https://media.api-sports.io/football/players/30989.png,,8,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881812,Monza,1579,31532,Patrick Ciurria,https://media.api-sports.io/football/players/31532.png,28.0,84,F,6.6,False,True,0,,16.0,14,1,0,0,0,,,,,,1.0,,,,,,1.0,,,2.0,1.0,,,
881812,Monza,1579,30603,Dany Mota,https://media.api-sports.io/football/players/30603.png,28.0,47,F,6.6,False,True,0,,12.0,9,0,0,0,0,,,,1.0,,3.0,1.0,,,,,,,,1.0,,,,
881812,Monza,1579,2738,Christian Gytkjær,https://media.api-sports.io/football/players/2738.png,,9,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,188,Samir Handanović,https://media.api-sports.io/football/players/188.png,90.0,1,G,6.9,True,False,1,3.0,43.0,40,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
881811,Inter,505,198,Milan Škriniar,https://media.api-sports.io/football/players/198.png,90.0,37,D,6.3,False,False,0,,41.0,35,0,0,0,0,,,,,1.0,4.0,1.0,1.0,1.0,,2.0,2.0,,,,,,,
