fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_accuracy,tackles_interceptions,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,goals_total,tackles_blocks,tackles_total,penalty_won,penalty_commited,games_rating,passes_key,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past
39199,Paris Saint Germain,85,254,Gianluigi Buffon,https://media.api-sports.io/football/players/254.png,90,1,G,False,False,0,0,1.0,4.0,16,76%,0,0,1,0,0,0,0,0.0,,,0.0,,,,6.4,0.0,1.0,0.0,0.0,0.0,
39199,Paris Saint Germain,85,257,Marquinhos,https://media.api-sports.io/football/players/257.png,90,5,D,False,False,0,0,,,58,92%,1,0,0,0,0,0,0,,,,0.0,2.0,,,6.7,0.0,3.0,2.0,0.0,0.0,1.0
39199,Paris Saint Germain,85,259,Thiago Silva,https://media.api-sports.io/football/players/259.png,90,2,D,True,False,0,0,,,85,93%,1,0,0,0,0,0,0,,,,4.0,,,,7.6,0.0,3.0,3.0,0.0,0.0,
39199,Paris Saint Germain,85,261,Thilo Kehrer,https://media.api-sports.io/football/players/261.png,89,4,D,False,False,1,0,,,58,93%,1,0,1,1,0,0,0,,,,1.0,1.0,,,7.0,1.0,9.0,6.0,1.0,1.0,
39199,Paris Saint Germain,85,264,Thomas Meunier,https://media.api-sports.io/football/players/264.png,73,12,D,False,False,0,0,,,31,79%,1,0,2,0,0,0,0,,,,0.0,1.0,,,6.5,0.0,8.0,3.0,1.0,0.0,1.0
39199,Paris Saint Germain,85,266,Ángel Di María,https://media.api-sports.io/football/players/266.png,77,11,F,False,False,1,1,,,26,89%,2,0,0,0,0,0,0,,,,0.0,,,,7.0,0.0,1.0,1.0,0.0,0.0,
39199,Paris Saint Germain,85,273,Marco Verratti,https://media.api-sports.io/football/players/273.png,90,6,M,False,False,1,0,,,76,92%,0,3,5,1,0,0,0,,,,0.0,,,,6.0,0.0,16.0,7.0,2.0,1.0,1.0
39199,Paris Saint Germain,85,267,Julian Draxler,https://media.api-sports.io/football/players/267.png,90,23,M,False,False,0,0,,,91,95%,0,0,2,0,0,0,0,,,,0.0,2.0,,,6.6,0.0,10.0,4.0,3.0,1.0,3.0
39199,Paris Saint Germain,85,258,Juan Bernat,https://media.api-sports.io/football/players/258.png,90,14,D,False,False,1,1,,,41,83%,2,1,3,0,0,0,0,,,1.0,0.0,,,,6.8,1.0,15.0,4.0,0.0,0.0,2.0
39199,Paris Saint Germain,85,278,Kylian Mbappé,https://media.api-sports.io/football/players/278.png,90,7,F,False,False,3,0,,,24,88%,0,1,1,1,0,0,0,,1.0,,0.0,,,,6.7,2.0,12.0,4.0,7.0,3.0,1.0
39199,Paris Saint Germain,85,276,Neymar,https://media.api-sports.io/football/players/276.png,90,10,F,False,False,2,1,,,48,82%,1,6,0,1,0,0,0,,,,1.0,,,,7.7,4.0,20.0,13.0,8.0,7.0,1.0
39199,Paris Saint Germain,85,262,Presnel Kimpembe,https://media.api-sports.io/football/players/262.png,17,3,D,False,False,0,0,,,13,86%,1,1,0,0,0,0,0,,,,0.0,1.0,,,6.9,0.0,3.0,3.0,1.0,1.0,
39199,Paris Saint Germain,85,275,Eric Maxim Choupo-Moting,https://media.api-sports.io/football/players/275.png,1,17,F,False,False,0,0,,,0,0%,0,0,0,0,0,0,0,,,,0.0,,,,–,0.0,1.0,1.0,0.0,0.0,
39199,Paris Saint Germain,85,274,Edinson Cavani,https://media.api-sports.io/football/players/274.png,13,9,F,False,False,0,0,,,3,75%,1,0,0,0,0,0,0,,,,0.0,,,,6.5,0.0,0.0,0.0,0.0,0.0,
39197,Inter,505,188,Samir Handanovič,https://media.api-sports.io/football/players/188.png,90,1,G,False,False,0,0,1.0,7.0,26,76%,0,0,0,0,0,0,0,0.0,,,0.0,,,,8.3,0.0,0.0,0.0,0.0,0.0,
39197,Inter,505,199,Šime Vrsaljko,https://media.api-sports.io/football/players/199.png,90,2,D,False,False,0,0,,,33,82%,3,1,0,0,0,0,0,,,,0.0,,,,7.2,0.0,4.0,4.0,0.0,0.0,
39197,Inter,505,194,Stefan de Vrij,https://media.api-sports.io/football/players/194.png,90,6,D,False,False,1,0,,,47,87%,2,0,1,0,0,0,0,,,,4.0,1.0,,,7.2,0.0,5.0,3.0,0.0,0.0,
39197,Inter,505,198,Milan Škriniar,https://media.api-sports.io/football/players/198.png,90,37,D,False,False,0,0,,,26,83%,0,0,0,0,0,0,0,,,,1.0,4.0,,,7.1,0.0,10.0,8.0,2.0,1.0,1.0
39197,Inter,505,191,Kwadwo Asamoah,https://media.api-sports.io/football/players/191.png,90,18,D,False,False,1,0,,,26,92%,1,1,3,0,0,0,0,,,,0.0,1.0,,,6.9,0.0,8.0,5.0,0.0,0.0,
39197,Inter,505,211,Matías Vecino,https://media.api-sports.io/football/players/211.png,90,8,M,False,False,2,0,,,28,70%,1,0,3,0,0,0,0,,,,1.0,,,,6.5,1.0,10.0,3.0,1.0,1.0,1.0
39197,Inter,505,201,Marcelo Brozović,https://media.api-sports.io/football/players/201.png,85,77,M,False,False,0,0,,,58,93%,1,0,2,1,0,0,0,,,,0.0,4.0,,,7.3,2.0,13.0,7.0,0.0,0.0,3.0
39197,Inter,505,219,Matteo Politano,https://media.api-sports.io/football/players/219.png,81,16,F,False,False,2,0,,,15,71%,0,3,0,0,0,0,0,,,,0.0,,,,6.2,0.0,17.0,7.0,5.0,2.0,2.0
39197,Inter,505,205,Radja Nainggolan,https://media.api-sports.io/football/players/205.png,63,14,M,False,False,0,0,,,16,80%,0,2,0,0,0,0,0,,,,0.0,,,,6.7,1.0,3.0,2.0,0.0,0.0,1.0
39197,Inter,505,207,Ivan Perišić,https://media.api-sports.io/football/players/207.png,90,44,M,False,False,2,0,,,13,61%,4,1,2,1,0,0,0,,,,0.0,2.0,,,6.9,1.0,19.0,7.0,3.0,1.0,5.0
39197,Inter,505,216,Mauro Icardi,https://media.api-sports.io/football/players/216.png,90,9,F,True,False,2,1,,,12,75%,1,0,0,0,0,0,0,,,1.0,0.0,,,,7.2,0.0,3.0,3.0,0.0,0.0,
39197,Inter,505,202,Antonio Candreva,https://media.api-sports.io/football/players/202.png,9,87,M,False,True,0,0,,,0,0%,0,0,0,0,0,0,0,,,,0.0,,,,6.2,0.0,1.0,0.0,0.0,0.0,1.0
39197,Inter,505,210,Borja Valero,https://media.api-sports.io/football/players/210.png,27,20,M,False,True,0,0,,,9,100%,0,0,0,0,0,0,0,,,,0.0,,,,6.4,1.0,2.0,0.0,0.0,0.0,1.0
39197,Inter,505,217,Lautaro Martínez,https://media.api-sports.io/football/players/217.png,5,10,F,False,True,0,0,,,0,0%,0,0,0,0,0,0,0,,,,0.0,,,,6.7,0.0,2.0,2.0,2.0,2.0,
39197,Barcelona,529,127,Marc-André ter Stegen,https://media.api-sports.io/football/players/127.png,90,1,G,False,False,0,0,1.0,0.0,25,92%,0,0,0,0,0,0,0,0.0,,,0.0,,,,6.3,0.0,0.0,0.0,0.0,0.0,
39197,Barcelona,529,137,Sergi Roberto,https://media.api-sports.io/football/players/137.png,90,20,D,False,False,0,0,,,58,84%,0,0,1,0,0,0,0,,,,0.0,1.0,,,6.4,0.0,9.0,4.0,4.0,3.0,
39197,Barcelona,529,136,Gerard Piqué,https://media.api-sports.io/football/players/136.png,90,3,D,False,False,0,0,,,66,93%,0,1,0,0,0,0,0,,,,2.0,,,,6.7,1.0,12.0,5.0,2.0,2.0,2.0
39197,Barcelona,529,133,Clément Lenglet,https://media.api-sports.io/football/players/133.png,90,15,D,False,False,1,0,,,51,89%,1,0,1,0,0,0,0,,,,0.0,1.0,,,6.6,0.0,4.0,2.0,0.0,0.0,
39197,Barcelona,529,128,Jordi Alba,https://media.api-sports.io/football/players/128.png,90,18,D,False,False,0,0,,,74,85%,1,0,2,0,0,0,0,,,,0.0,,,,6.6,3.0,10.0,4.0,2.0,1.0,2.0
39197,Barcelona,529,149,Ivan Rakitić,https://media.api-sports.io/football/players/149.png,90,4,M,False,False,4,1,,,94,87%,2,1,2,1,0,0,0,,,,1.0,1.0,,,7.4,2.0,7.0,4.0,0.0,0.0,
