fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,offsides,penalty_commited,penalty_won
104,Watford,38,2777,Isaac Success,https://media.api-sports.io/football/players/2777.png,20,10,F,6.3,False,True,0,0,0.0,,6,0.0,75%,0,0,6.0,1.0,1.0,0.0,0,2,1,0,0,0,,,,,,,,
104,Tottenham,47,160,Michel Vorm,https://media.api-sports.io/football/players/160.png,90,13,G,6.1,False,False,0,0,2.0,1.0,12,0.0,75%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,,
104,Tottenham,47,162,Toby Alderweireld,https://media.api-sports.io/football/players/162.png,81,4,D,6.7,False,False,0,0,0.0,,57,1.0,87%,0,0,12.0,5.0,1.0,0.0,0,0,0,0,0,0,,2.0,1.0,,,,,
104,Tottenham,47,168,Davinson Sánchez,https://media.api-sports.io/football/players/168.png,90,6,D,6.3,False,False,1,0,0.0,,47,0.0,85%,0,2,19.0,7.0,0.0,0.0,0,2,0,0,0,0,,4.0,2.0,,,,,
104,Tottenham,47,170,Jan Vertonghen,https://media.api-sports.io/football/players/170.png,90,5,D,6.9,False,False,0,0,0.0,,56,1.0,82%,0,1,12.0,10.0,3.0,2.0,2,0,0,0,0,0,,4.0,1.0,,,,,
104,Tottenham,47,2921,Mousa Dembélé,https://media.api-sports.io/football/players/2921.png,86,19,M,6.2,False,False,0,0,0.0,,38,0.0,79%,0,0,5.0,2.0,1.0,1.0,0,2,1,0,0,0,,1.0,,,,,,
104,Tottenham,47,169,Kieran Trippier,https://media.api-sports.io/football/players/169.png,90,2,M,7.8,False,False,0,0,0.0,,45,2.0,73%,0,0,9.0,7.0,2.0,1.0,1,0,0,0,0,0,,5.0,1.0,,,,,
104,Tottenham,47,174,Christian Eriksen,https://media.api-sports.io/football/players/174.png,90,23,M,7.1,False,False,4,2,0.0,,55,0.0,79%,0,1,11.0,6.0,1.0,0.0,2,0,0,0,0,0,,3.0,2.0,,,,,
104,Tottenham,47,172,Dele Alli,https://media.api-sports.io/football/players/172.png,90,20,M,6.6,False,False,1,0,0.0,,40,1.0,81%,1,1,7.0,2.0,2.0,1.0,0,1,0,0,0,0,,1.0,,,,1.0,,
104,Tottenham,47,164,Ben Davies,https://media.api-sports.io/football/players/164.png,89,33,M,6.9,False,False,1,0,0.0,,31,1.0,73%,0,1,4.0,2.0,1.0,1.0,0,1,0,0,0,0,,,,,,,,
