fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,offsides,goals_assists,penalty_commited,penalty_won
313430,AS Roma,497,9948,Bruno Peres,https://media.api-sports.io/football/players/9948.png,11,33,D,6.7,False,False,0,0,0,,5,0,71%,0,1,0,0,0,0,0,0,0,0,,,,,,,,
313430,AS Roma,497,30409,Jordan Veretout,https://media.api-sports.io/football/players/30409.png,8,21,M,6.9,False,False,0,0,0,,6,1,100%,0,0,0,0,0,0,0,0,0,0,,2.0,,,,,,
313430,AS Roma,497,792,Justin Kluivert,https://media.api-sports.io/football/players/792.png,20,99,F,7.0,False,False,2,2,0,,7,0,87%,0,0,3,2,0,0,0,0,0,0,,,,,,,,
315971,Napoli,492,313,David Ospina,https://media.api-sports.io/football/players/313.png,90,25,G,7.9,False,False,0,0,0,5.0,30,0,58%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
315971,Napoli,492,317,Elseid Hysaj,https://media.api-sports.io/football/players/317.png,19,23,D,3.0,False,False,1,0,0,,13,0,92%,0,0,0,0,0,2,2,1,0,0,,,,,,,1.0,
315971,Napoli,492,772,Konstantinos Manolas,https://media.api-sports.io/football/players/772.png,90,44,D,7.4,False,False,0,0,0,,31,0,88%,2,1,0,0,1,0,0,0,0,0,,2.0,1.0,,,,,
315971,Napoli,492,31042,Giovanni Di Lorenzo,https://media.api-sports.io/football/players/31042.png,90,22,D,7.2,False,False,1,0,0,,63,0,100%,0,2,1,1,1,0,0,0,0,0,,,2.0,,,,,
315971,Napoli,492,322,Mário Rui,https://media.api-sports.io/football/players/322.png,90,6,D,7.3,False,False,1,0,0,,33,1,75%,0,0,0,0,1,1,0,0,0,0,,1.0,,,,,,
315971,Napoli,492,47439,Stanislav Lobotka,https://media.api-sports.io/football/players/47439.png,22,68,M,6.5,False,False,0,0,0,,8,0,88%,0,0,0,0,0,0,0,0,0,0,,,,,,,,
315971,Napoli,492,1151,Diego Demme,https://media.api-sports.io/football/players/1151.png,90,4,M,6.7,False,False,0,0,0,,71,1,88%,0,4,0,0,1,3,0,0,0,0,,1.0,4.0,,,,,
315971,Napoli,492,329,Piotr Zieliński,https://media.api-sports.io/football/players/329.png,90,20,M,6.7,False,False,0,0,0,,41,2,89%,0,1,3,1,3,0,0,0,0,0,,,1.0,,,1.0,,
315971,Napoli,492,330,José Callejón,https://media.api-sports.io/football/players/330.png,68,7,F,6.8,False,False,0,0,0,,27,0,90%,0,1,0,0,2,0,0,0,0,0,,,,,,,,
315971,Napoli,492,333,Arkadiusz Milik,https://media.api-sports.io/football/players/333.png,90,99,F,7.1,False,False,2,1,0,,20,2,80%,1,0,0,0,2,1,0,0,0,0,,1.0,1.0,,1.0,,,
315971,Napoli,492,331,Lorenzo Insigne,https://media.api-sports.io/football/players/331.png,77,24,F,7.5,True,False,3,1,0,,28,0,82%,0,0,10,6,0,0,0,0,0,0,,1.0,,1.0,,,,
315971,Napoli,492,319,Sebastiano Luperto,https://media.api-sports.io/football/players/319.png,68,13,D,6.9,False,True,0,0,0,,26,0,89%,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,
315971,Napoli,492,1358,Eljif Elmas,https://media.api-sports.io/football/players/1358.png,22,12,M,6.6,False,True,0,0,0,,14,0,87%,0,0,0,0,0,0,0,0,0,0,,,,,,,,
315971,Napoli,492,328,Fabián Ruiz,https://media.api-sports.io/football/players/328.png,13,8,M,6.6,False,True,0,0,0,,10,0,71%,0,0,1,1,0,0,0,0,0,0,,,,,,,,
315971,Lazio,487,1835,Thomas Strakosha,https://media.api-sports.io/football/players/1835.png,90,1,G,6.5,False,False,0,0,1,1.0,22,0,78%,0,0,0,0,1,0,0,0,0,0,0.0,,,,,,,
315971,Lazio,487,1847,Luiz Felipe,https://media.api-sports.io/football/players/1847.png,90,3,D,6.9,False,False,1,0,0,,56,0,83%,0,2,0,0,0,1,0,0,0,0,,4.0,2.0,,,,,
315971,Lazio,487,1836,Francesco Acerbi,https://media.api-sports.io/football/players/1836.png,90,33,D,7.1,False,False,0,0,0,,73,1,91%,1,2,2,1,0,3,1,0,0,0,,2.0,1.0,,1.0,,,
315971,Lazio,487,1846,Ştefan Radu,https://media.api-sports.io/football/players/1846.png,70,26,D,7.0,False,False,0,0,0,,46,0,85%,1,1,0,0,0,2,0,0,0,0,,1.0,,,,,,
315971,Lazio,487,30866,Manuel Lazzari,https://media.api-sports.io/football/players/30866.png,90,29,M,7.3,False,False,2,0,0,,21,3,91%,0,2,2,1,1,0,0,0,0,0,,2.0,1.0,,,,,
315971,Lazio,487,1856,Sergej Milinković-Savić,https://media.api-sports.io/football/players/1856.png,90,21,M,7.1,False,False,2,2,0,,48,3,82%,0,1,2,2,1,3,0,0,0,0,,,3.0,,,,,
315971,Lazio,487,1858,Lucas Leiva,https://media.api-sports.io/football/players/1858.png,25,6,M,4.2,False,False,0,0,0,,14,1,100%,0,1,0,0,0,1,1,1,0,0,,,1.0,,,,,
315971,Lazio,487,1857,Marco Parolo,https://media.api-sports.io/football/players/1857.png,90,16,M,6.9,False,False,2,0,0,,50,1,89%,1,0,0,0,0,1,0,0,0,0,,,1.0,,,,,
315971,Lazio,487,1855,Senad Lulić,https://media.api-sports.io/football/players/1855.png,76,19,M,6.5,True,False,0,0,0,,31,0,83%,0,0,1,1,0,1,0,0,0,0,,1.0,,,,,,
315971,Lazio,487,1861,Felipe Caicedo,https://media.api-sports.io/football/players/1861.png,55,20,F,7.2,False,False,1,1,0,,7,1,77%,0,0,1,1,1,0,0,0,0,0,,,,,,,,1.0
315971,Lazio,487,1863,Ciro Immobile,https://media.api-sports.io/football/players/1863.png,90,17,F,6.8,False,False,7,1,0,,17,1,77%,0,0,1,1,1,0,0,0,0,1,,,,,3.0,,,
315971,Lazio,487,1841,Patric,https://media.api-sports.io/football/players/1841.png,20,4,D,6.8,False,False,0,0,0,,25,0,92%,0,1,0,0,0,0,0,0,0,0,,1.0,,,,,,
315971,Lazio,487,1854,Joaquín Correa,https://media.api-sports.io/football/players/1854.png,35,11,M,6.9,False,False,2,1,0,,13,1,81%,0,0,2,2,1,0,0,0,0,0,,,,,,,,
315971,Lazio,487,47366,Jony,https://media.api-sports.io/football/players/47366.png,14,22,F,7.1,False,False,0,0,0,,6,2,85%,0,0,0,0,1,0,0,0,0,0,,,,,,,,
317125,Juventus,496,254,Gianluigi Buffon,https://media.api-sports.io/football/players/254.png,90,77,G,7.0,False,False,0,0,1,4.0,29,0,87%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
317125,Juventus,496,618,Danilo,https://media.api-sports.io/football/players/618.png,41,13,D,6.9,False,False,1,0,0,,24,0,82%,0,0,1,1,0,0,0,0,0,0,,1.0,,,,,,
317125,Juventus,496,861,Daniele Rugani,https://media.api-sports.io/football/players/861.png,90,24,D,6.4,False,False,0,0,0,,61,0,88%,0,1,0,0,0,2,0,0,0,0,,,1.0,,,,,
317125,Juventus,496,853,Leonardo Bonucci,https://media.api-sports.io/football/players/853.png,90,19,D,7.4,True,False,1,1,0,,80,1,86%,0,1,0,0,0,0,0,0,0,0,,,,1.0,,,,
317125,Juventus,496,860,Alex Sandro,https://media.api-sports.io/football/players/860.png,90,12,D,6.7,False,False,0,0,0,,59,0,88%,0,1,0,0,0,0,0,0,0,0,,,,,,,,
317125,Juventus,496,863,Rodrigo Bentancur,https://media.api-sports.io/football/players/863.png,90,30,M,7.9,False,False,1,1,0,,48,0,92%,1,3,2,2,2,2,0,0,0,0,,3.0,1.0,1.0,,,,
317125,Juventus,496,872,Miralem Pjanić,https://media.api-sports.io/football/players/872.png,90,5,M,7.2,False,False,2,0,0,,62,1,86%,0,2,0,0,1,1,0,0,0,0,,3.0,2.0,,,,,
317125,Juventus,496,272,Adrien Rabiot,https://media.api-sports.io/football/players/272.png,76,25,M,6.6,False,False,0,0,0,,36,0,97%,0,0,4,3,2,3,0,0,0,0,,1.0,2.0,,,,,
317125,Juventus,496,865,Douglas Costa,https://media.api-sports.io/football/players/865.png,67,11,F,7.5,False,False,1,1,0,,23,2,69%,0,1,0,0,3,1,0,0,0,0,,,,,1.0,1.0,,
317125,Juventus,496,2297,Gonzalo Higuaín,https://media.api-sports.io/football/players/2297.png,90,21,F,7.1,False,False,2,1,0,,30,3,78%,0,3,2,1,2,2,1,0,0,0,,2.0,,,,1.0,,
317125,Juventus,496,874,Cristiano Ronaldo,https://media.api-sports.io/football/players/874.png,90,7,F,7.7,False,False,4,1,0,,38,2,92%,0,0,0,0,1,0,0,0,0,0,,,,1.0,1.0,,,
317125,Juventus,496,866,Juan Cuadrado,https://media.api-sports.io/football/players/866.png,49,16,M,7.1,False,True,0,0,0,,45,1,90%,0,0,2,2,0,0,0,0,0,0,,,,,,,,
317125,Juventus,496,869,Blaise Matuidi,https://media.api-sports.io/football/players/869.png,14,14,M,6.4,False,True,0,0,0,,6,0,85%,0,0,0,0,1,1,1,0,0,0,,1.0,1.0,,,,,
317125,Juventus,496,1459,Aaron Ramsey,https://media.api-sports.io/football/players/1459.png,23,8,M,6.7,False,True,1,0,0,,14,0,87%,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,
317125,AS Roma,497,1557,Pau López,https://media.api-sports.io/football/players/1557.png,90,13,G,6.1,False,False,0,0,3,2.0,27,0,87%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
317125,AS Roma,497,769,Alessandro Florenzi,https://media.api-sports.io/football/players/769.png,68,24,D,6.3,True,False,2,1,0,,30,1,83%,0,1,0,0,1,0,0,0,0,0,,,1.0,,,,,
317125,AS Roma,497,30425,Gianluca Mancini,https://media.api-sports.io/football/players/30425.png,90,23,D,6.9,False,False,1,0,0,,56,1,88%,1,1,0,0,0,1,0,0,0,0,,4.0,2.0,,,,,
317125,AS Roma,497,892,Chris Smalling,https://media.api-sports.io/football/players/892.png,90,6,D,6.7,False,False,0,0,0,,62,0,88%,1,7,0,0,0,1,0,0,0,0,,,,,,,,
317125,AS Roma,497,771,Aleksandar Kolarov,https://media.api-sports.io/football/players/771.png,90,11,D,6.7,False,False,2,1,0,,63,1,86%,0,3,2,1,3,0,0,0,0,0,,,,,,,,
317125,AS Roma,497,778,Bryan Cristante,https://media.api-sports.io/football/players/778.png,90,4,M,6.7,False,False,0,0,0,,62,0,86%,1,1,2,2,0,6,1,0,0,0,,2.0,,,,,,
317125,AS Roma,497,324,Amadou Diawara,https://media.api-sports.io/football/players/324.png,76,42,M,6.9,False,False,1,0,0,,62,1,91%,0,1,1,1,1,3,0,0,0,0,,1.0,,,,,,
317125,AS Roma,497,785,Cengiz Ünder,https://media.api-sports.io/football/players/785.png,90,17,M,6.9,False,False,1,0,0,,25,1,80%,0,1,2,1,1,0,0,0,0,0,,1.0,,,,,,
317125,AS Roma,497,782,Lorenzo Pellegrini,https://media.api-sports.io/football/players/782.png,90,7,M,6.9,False,False,2,1,0,,40,3,80%,0,1,0,0,1,1,0,0,0,0,,,2.0,,,,,
317125,AS Roma,497,792,Justin Kluivert,https://media.api-sports.io/football/players/792.png,45,99,M,5.4,False,False,1,0,0,,5,0,100%,0,0,1,0,1,1,0,0,0,0,,,2.0,,,,,
317125,AS Roma,497,57,Nikola Kalinić,https://media.api-sports.io/football/players/57.png,90,19,F,6.7,False,False,1,1,0,,18,1,90%,0,0,2,2,2,1,0,0,0,0,,,,,,,,
317125,AS Roma,497,775,Davide Santon,https://media.api-sports.io/football/players/775.png,45,18,D,6.7,False,False,1,0,0,,23,0,79%,1,2,1,0,0,0,0,0,0,0,,1.0,1.0,,,,,
317125,AS Roma,497,9948,Bruno Peres,https://media.api-sports.io/football/players/9948.png,14,33,D,6.4,False,False,1,0,0,,10,0,100%,0,0,0,0,0,0,0,0,0,0,,,1.0,,,,,
317125,AS Roma,497,30409,Jordan Veretout,https://media.api-sports.io/football/players/30409.png,22,21,M,6.6,False,False,0,0,0,,24,0,100%,0,0,0,0,2,0,0,0,0,0,,,,,,,,
315972,AC Milan,489,1622,Gianluigi Donnarumma,https://media.api-sports.io/football/players/1622.png,120,99,G,6.4,False,False,0,0,2,2.0,13,0,56%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
315972,AC Milan,489,1629,Andrea Conti,https://media.api-sports.io/football/players/1629.png,120,12,D,6.8,False,False,0,0,0,,43,0,79%,0,4,0,0,2,4,1,0,0,0,,5.0,4.0,,,,,
315972,AC Milan,489,2045,Simon Kjær,https://media.api-sports.io/football/players/2045.png,120,24,D,7.8,False,False,0,0,0,,63,0,86%,4,0,0,0,1,2,1,0,0,0,,2.0,,,,,,
315972,AC Milan,489,1632,Alessio Romagnoli,https://media.api-sports.io/football/players/1632.png,120,13,D,6.6,True,False,1,0,0,,52,1,82%,0,4,0,0,1,0,0,0,0,0,,,1.0,,,,,
315972,AC Milan,489,47300,Theo Hernández,https://media.api-sports.io/football/players/47300.png,120,19,D,7.5,False,False,3,2,0,,56,3,87%,0,0,3,2,2,1,1,0,0,0,,3.0,,,,,,
315972,AC Milan,489,1641,Samu Castillejo,https://media.api-sports.io/football/players/1641.png,120,7,M,7.9,False,False,1,1,0,,47,6,85%,0,1,5,3,3,2,0,0,0,0,,3.0,4.0,,,1.0,,
315972,AC Milan,489,31054,Rade Krunić,https://media.api-sports.io/football/players/31054.png,82,33,M,6.2,False,False,3,0,0,,22,0,81%,0,2,2,1,6,2,1,0,0,0,,,2.0,,,,,
315972,AC Milan,489,3173,Ismaël Bennacer,https://media.api-sports.io/football/players/3173.png,120,4,M,7.5,False,False,0,0,0,,70,3,84%,1,3,2,2,2,0,0,0,0,0,,2.0,,,,,,
315972,AC Milan,489,1638,Giacomo Bonaventura,https://media.api-sports.io/football/players/1638.png,76,5,M,7.1,False,False,1,1,0,,23,0,76%,0,0,1,1,1,0,0,0,0,0,,1.0,1.0,1.0,,,,
315972,AC Milan,489,1651,Krzysztof Piątek,https://media.api-sports.io/football/players/1651.png,65,9,F,6.6,False,False,1,0,0,,8,1,72%,0,0,0,0,1,4,0,0,0,0,,,,,,,,
315972,AC Milan,489,1831,Ante Rebić,https://media.api-sports.io/football/players/1831.png,105,18,F,7.5,False,False,5,1,0,,18,3,60%,0,0,4,4,1,1,1,0,0,0,,,2.0,,1.0,1.0,,
315972,AC Milan,489,1642,Franck Kessié,https://media.api-sports.io/football/players/1642.png,15,79,M,6.9,False,True,0,0,0,,10,1,90%,0,1,1,1,0,0,0,0,0,0,,,,,,1.0,,
315972,AC Milan,489,1640,Hakan Çalhanoğlu,https://media.api-sports.io/football/players/1640.png,38,10,M,8.1,False,True,4,3,0,,33,2,86%,0,0,2,1,0,1,0,0,0,0,,1.0,2.0,2.0,,,,
315972,AC Milan,489,51070,Zlatan Ibrahimović,https://media.api-sports.io/football/players/51070.png,55,21,F,7.2,False,True,6,3,0,,12,0,70%,0,0,1,0,1,2,1,0,0,0,,1.0,,1.0,1.0,,,
315972,AC Milan,489,22236,Rafael Leão,https://media.api-sports.io/football/players/22236.png,44,17,F,7.7,False,True,0,0,0,,13,3,100%,0,0,2,2,0,0,0,0,0,0,,1.0,,,,1.0,,
315972,Torino,503,30495,Salvatore Sirigu,https://media.api-sports.io/football/players/30495.png,120,39,G,7.3,False,False,0,0,4,7.0,20,0,50%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
315972,Torino,503,30501,Armando Izzo,https://media.api-sports.io/football/players/30501.png,120,5,D,6.3,False,False,0,0,0,,33,1,78%,1,1,0,0,2,0,1,0,0,0,,3.0,2.0,,,,,
315972,Torino,503,30503,Nicolas N'Koulou,https://media.api-sports.io/football/players/30503.png,120,33,D,6.5,False,False,1,0,0,,41,1,83%,1,4,2,1,1,1,0,0,0,0,,,,,,,,
315972,Torino,503,30497,Gleison Bremer,https://media.api-sports.io/football/players/30497.png,82,36,D,8.6,False,False,2,2,0,,30,0,76%,0,1,1,1,0,0,0,0,0,0,,1.0,1.0,2.0,,,,
315972,Torino,503,30498,Lorenzo De Silvestri,https://media.api-sports.io/football/players/30498.png,112,29,M,6.3,False,False,1,0,0,,17,1,73%,0,1,0,0,0,1,0,0,0,0,,1.0,3.0,,,,,
315972,Torino,503,2452,Tomás Rincón,https://media.api-sports.io/football/players/2452.png,112,88,M,6.9,False,False,0,0,0,,33,2,82%,1,1,2,2,3,2,1,0,0,0,,2.0,2.0,,,,,
315972,Torino,503,2823,Saša Lukić,https://media.api-sports.io/football/players/2823.png,120,7,M,6.3,False,False,0,0,0,,31,0,73%,0,4,1,1,2,5,0,0,0,0,,1.0,2.0,,,,,
315972,Torino,503,2771,Ola Aina,https://media.api-sports.io/football/players/2771.png,120,34,M,7.4,False,False,2,1,0,,30,1,75%,0,1,4,4,1,3,0,0,0,0,,3.0,1.0,,,1.0,,
315972,Torino,503,334,Simone Verdi,https://media.api-sports.io/football/players/334.png,120,24,F,7.5,False,False,0,0,0,,24,3,85%,0,0,3,2,3,2,0,0,0,0,,1.0,4.0,,,1.0,,
315972,Torino,503,30510,Alex Berenguer,https://media.api-sports.io/football/players/30510.png,90,21,F,6.6,False,False,2,0,0,,12,0,63%,0,0,5,3,2,6,0,0,0,0,,2.0,2.0,,1.0,,,
315972,Torino,503,30509,Andrea Belotti,https://media.api-sports.io/football/players/30509.png,120,9,F,7.2,True,False,3,2,0,,25,3,67%,0,0,2,1,2,2,0,0,0,0,,2.0,,,1.0,,,
315972,Torino,503,30499,Koffi Djidji,https://media.api-sports.io/football/players/30499.png,38,30,D,6.2,False,False,0,0,0,,4,0,57%,0,0,1,1,0,0,0,0,0,0,,1.0,,,,,,
315972,Torino,503,30476,Lyanco,https://media.api-sports.io/football/players/30476.png,8,4,D,6.7,False,False,1,0,0,,2,0,66%,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,
315972,Torino,503,1643,Diego Laxalt,https://media.api-sports.io/football/players/1643.png,8,93,M,6.8,False,False,0,0,0,,1,0,50%,0,0,0,0,0,0,0,0,0,0,,2.0,,,,,,
315972,Torino,503,30514,Vincenzo Millico,https://media.api-sports.io/football/players/30514.png,30,22,F,6.4,False,False,1,0,0,,5,1,83%,0,0,1,0,0,0,0,0,0,0,,,,,1.0,,,
315973,Inter,505,188,Samir Handanovič,https://media.api-sports.io/football/players/188.png,90,1,G,6.8,True,False,0,0,1,2.0,16,0,94%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
315973,Inter,505,32,Diego Godín,https://media.api-sports.io/football/players/32.png,90,2,D,7.2,False,False,1,0,0,,59,0,81%,0,4,0,0,1,2,0,0,0,0,,3.0,,,,,,
315973,Inter,505,197,Andrea Ranocchia,https://media.api-sports.io/football/players/197.png,90,13,D,6.8,False,False,0,0,0,,59,0,86%,0,1,0,0,2,2,0,0,0,0,,1.0,,,,,,
315973,Inter,505,31009,Alessandro Bastoni,https://media.api-sports.io/football/players/31009.png,90,95,D,6.9,False,False,1,0,0,,62,1,87%,0,1,1,1,1,1,0,0,0,0,,,1.0,,,,,
315973,Inter,505,202,Antonio Candreva,https://media.api-sports.io/football/players/202.png,74,87,M,7.7,False,False,2,1,0,,45,3,80%,0,0,1,1,1,0,0,0,0,0,,,1.0,1.0,,,,
315973,Inter,505,211,Matías Vecino,https://media.api-sports.io/football/players/211.png,90,8,M,7.1,False,False,4,2,0,,49,1,84%,1,0,1,1,0,3,0,0,0,0,,,3.0,,,,,
315973,Inter,505,30558,Nicolò Barella,https://media.api-sports.io/football/players/30558.png,90,23,M,8.0,False,False,2,1,0,,53,2,86%,0,1,3,2,1,0,0,0,0,0,,5.0,3.0,1.0,,,,
315973,Inter,505,894,Ashley Young,https://media.api-sports.io/football/players/894.png,90,15,M,7.0,False,False,0,0,0,,32,2,86%,0,1,1,1,1,0,0,0,0,0,,,1.0,,,,,
315973,Inter,505,910,Alexis Sánchez,https://media.api-sports.io/football/players/910.png,66,7,F,6.7,False,False,1,0,0,,23,0,82%,0,0,3,2,3,2,0,0,0,0,,3.0,1.0,,,,,
315973,Inter,505,217,Lautaro Martínez,https://media.api-sports.io/football/players/217.png,90,10,F,6.7,False,False,4,0,0,,14,2,66%,0,0,1,1,3,2,0,0,0,0,,,2.0,,2.0,1.0,,
315973,Inter,505,907,Romelu Lukaku,https://media.api-sports.io/football/players/907.png,88,9,F,6.6,False,False,0,0,0,,18,0,81%,0,0,1,1,3,0,0,0,0,0,,1.0,1.0,,1.0,,,
315973,Inter,505,1347,Victor Moses,https://media.api-sports.io/football/players/1347.png,16,11,M,6.7,False,True,0,0,0,,8,1,88%,0,0,0,0,0,0,0,0,0,0,,,,,1.0,,,
315973,Inter,505,174,Christian Eriksen,https://media.api-sports.io/football/players/174.png,24,24,M,6.5,False,True,1,1,0,,14,0,77%,0,0,0,0,0,0,0,0,0,0,,1.0,1.0,,,,,
315973,Inter,505,215,Sebastiano Esposito,https://media.api-sports.io/football/players/215.png,2,30,F,–,False,True,1,0,0,,1,0,100%,0,0,1,0,1,1,0,0,0,0,,,,,,,,
315973,Fiorentina,502,30394,Pietro Terracciano,https://media.api-sports.io/football/players/30394.png,90,1,G,6.4,False,False,0,0,2,4.0,13,0,59%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
315973,Fiorentina,502,2817,Nikola Milenković,https://media.api-sports.io/football/players/2817.png,90,4,D,6.4,False,False,0,0,0,,15,0,68%,1,0,0,0,0,3,0,0,0,0,,1.0,,,,,,
315973,Fiorentina,502,30397,Federico Ceccherini,https://media.api-sports.io/football/players/30397.png,90,17,D,7.0,False,False,0,0,0,,20,0,74%,2,2,1,1,0,1,0,0,0,0,,1.0,,,,,,
315973,Fiorentina,502,854,Martín Cáceres,https://media.api-sports.io/football/players/854.png,90,22,D,7.2,False,False,1,1,0,,14,0,70%,1,3,0,0,1,2,1,0,0,0,,3.0,1.0,1.0,,,,
315973,Fiorentina,502,30525,Pol Lirola,https://media.api-sports.io/football/players/30525.png,85,21,M,6.7,False,False,2,0,0,,19,1,59%,0,2,4,4,0,1,0,0,0,0,,1.0,1.0,,,,,
315973,Fiorentina,502,2560,Erick Pulgar,https://media.api-sports.io/football/players/2560.png,90,78,M,7.2,False,False,0,0,0,,23,3,79%,0,1,2,2,1,0,0,0,0,0,,1.0,5.0,,,1.0,,
315973,Fiorentina,502,1850,Milan Badelj,https://media.api-sports.io/football/players/1850.png,56,5,M,6.6,True,False,0,0,0,,22,0,75%,0,0,3,2,2,2,0,0,0,0,,1.0,,,,,,
315973,Fiorentina,502,30403,Marco Benassi,https://media.api-sports.io/football/players/30403.png,90,24,M,6.4,False,False,1,0,0,,21,0,75%,0,1,0,0,0,1,0,0,0,0,,1.0,1.0,,,,,
315973,Fiorentina,502,192,Dalbert,https://media.api-sports.io/football/players/192.png,90,29,M,6.7,False,False,0,0,0,,19,1,55%,0,1,2,2,2,3,1,0,0,0,,1.0,1.0,,,,,
315973,Fiorentina,502,30415,Dušan Vlahović,https://media.api-sports.io/football/players/30415.png,90,28,F,6.0,False,False,2,1,0,,7,1,53%,0,0,1,1,5,3,0,0,0,0,,,1.0,,2.0,,,
315973,Fiorentina,502,30410,Federico Chiesa,https://media.api-sports.io/football/players/30410.png,80,25,F,7.0,False,False,2,0,0,,12,2,75%,0,0,3,2,0,1,0,0,0,0,,,,,,,,
315973,Fiorentina,502,31507,Riccardo Sottil,https://media.api-sports.io/football/players/31507.png,10,11,F,6.8,False,False,1,1,0,,4,0,100%,0,0,0,0,1,0,1,0,0,0,,1.0,,,,,,
