fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_total,duels_won,fouls_committed,penalty_commited,fouls_drawn,penalty_won,passes_key,dribbles_attempts,dribbles_success,tackles_blocks,dribbles_past,shots_total,shots_on,goals_total,offsides
1360737,Lamia,956,27310,Vasilios Vitlis,https://media.api-sports.io/football/players/27310.png,90.0,21,D,6.2,False,False,0,0.0,,46.0,36,0,0,0,0,,1.0,2.0,10.0,5.0,1.0,,2.0,,,,,,,,,,
1360737,Lamia,956,182717,Carles Soria,https://media.api-sports.io/football/players/182717.png,90.0,30,M,6.2,False,False,0,1.0,,35.0,27,0,0,0,0,,,1.0,9.0,4.0,,,3.0,,1.0,2.0,,,1.0,1.0,,,
1360737,Lamia,956,161958,Vasilios Sourlis,https://media.api-sports.io/football/players/161958.png,88.0,8,M,6.5,False,False,0,0.0,,28.0,27,1,0,0,0,,3.0,1.0,12.0,6.0,3.0,,1.0,,,1.0,1.0,,1.0,,,,
1360737,Lamia,956,44791,Aaron Tshibola,https://media.api-sports.io/football/players/44791.png,90.0,36,M,7,False,False,0,0.0,,54.0,48,0,0,0,0,,1.0,1.0,16.0,12.0,2.0,,9.0,,,2.0,2.0,,2.0,,,,
1360737,Lamia,956,17843,Sebastian Ring,https://media.api-sports.io/football/players/17843.png,90.0,19,M,6.9,False,False,0,1.0,,30.0,22,0,0,0,0,,2.0,,9.0,5.0,,,3.0,,1.0,1.0,,,1.0,,,,
1360737,Lamia,956,327629,Toshio Lake,https://media.api-sports.io/football/players/327629.png,75.0,26,F,6.6,False,False,0,0.0,,22.0,17,0,0,0,0,,,,8.0,4.0,1.0,,3.0,,,2.0,1.0,,,,,,1.0
1360737,Lamia,956,26746,Andreas Athanasakopoulos,https://media.api-sports.io/football/players/26746.png,90.0,20,F,7.3,False,False,0,0.0,,27.0,24,0,0,0,0,,1.0,,5.0,2.0,,,,,,1.0,1.0,,1.0,3.0,1.0,1.0,
1360737,Lamia,956,158096,Anestis Vlachomitros,https://media.api-sports.io/football/players/158096.png,90.0,11,F,6.9,True,False,0,0.0,,17.0,14,0,0,0,0,,1.0,,14.0,4.0,2.0,,1.0,,,,,,,1.0,1.0,1.0,
1360737,Lamia,956,27228,Dimitris Chantakias,https://media.api-sports.io/football/players/27228.png,24.0,33,D,6.6,False,True,0,0.0,,11.0,6,0,0,0,0,,,1.0,4.0,3.0,1.0,,1.0,,,,,,,,,,
1360737,Lamia,956,46659,Rober Ibáñez,https://media.api-sports.io/football/players/46659.png,15.0,7,M,6.9,False,True,0,0.0,,2.0,1,0,0,0,0,,,,4.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,
1360737,Lamia,956,351156,Bilal Mazhar,https://media.api-sports.io/football/players/351156.png,11.0,16,F,6.3,False,True,0,0.0,,1.0,,0,0,0,0,,,,1.0,,,,,,,,,,,,,,
1360737,Lamia,956,519526,Angelos Syritoudis,https://media.api-sports.io/football/players/519526.png,,28,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Lamia,956,27002,Antonis Dentakis,https://media.api-sports.io/football/players/27002.png,,2,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Lamia,956,482603,Konstantinos Gyftomitros,https://media.api-sports.io/football/players/482603.png,,41,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Lamia,956,135857,Alexandros Tereziou,https://media.api-sports.io/football/players/135857.png,,77,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Lamia,956,14700,Vedad Radonja,https://media.api-sports.io/football/players/14700.png,,27,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Levadiakos,957,181526,Lucas Anacker,https://media.api-sports.io/football/players/181526.png,90.0,88,G,6.2,False,False,2,0.0,1.0,20.0,14,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1360737,Levadiakos,957,26948,Panagiotis Liagas,https://media.api-sports.io/football/players/26948.png,90.0,24,D,7.5,True,False,0,1.0,,70.0,60,0,0,0,0,,2.0,,7.0,3.0,3.0,,,,1.0,,,,,,,,
1360737,Levadiakos,957,26591,Joel Abu Hanna,https://media.api-sports.io/football/players/26591.png,90.0,4,D,6.6,False,False,0,0.0,,79.0,73,0,0,0,0,,1.0,1.0,12.0,7.0,3.0,,,,,,,,,1.0,,,
1360737,Levadiakos,957,7294,Maximiliano Moreira,https://media.api-sports.io/football/players/7294.png,90.0,69,D,6.3,False,False,0,0.0,,51.0,45,1,0,0,0,,2.0,2.0,7.0,4.0,1.0,,2.0,,,,,,1.0,,,,
1360737,Levadiakos,957,204290,Triantafyllos Tsapras,https://media.api-sports.io/football/players/204290.png,45.0,6,M,6.7,False,False,0,0.0,,19.0,15,0,0,0,0,,,,2.0,1.0,,,,,,,,,,1.0,1.0,,
1360737,Levadiakos,957,15347,Ioannis Kosti,https://media.api-sports.io/football/players/15347.png,76.0,18,M,7.3,False,False,0,0.0,,55.0,50,0,0,0,0,,,,10.0,6.0,2.0,,4.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,
1360737,Levadiakos,957,3575,Enis Çokaj,https://media.api-sports.io/football/players/3575.png,90.0,23,M,6.9,False,False,0,0.0,,60.0,56,1,0,0,0,,2.0,1.0,10.0,4.0,3.0,,2.0,,1.0,,,,2.0,1.0,,,
1360737,Levadiakos,957,2183,Benjamin Verbič,https://media.api-sports.io/football/players/2183.png,76.0,7,M,7,False,False,0,1.0,,22.0,19,1,0,0,0,,1.0,,6.0,1.0,2.0,,,,1.0,2.0,,,,1.0,,,
1360737,Levadiakos,957,59233,Fabricio Pedrozo,https://media.api-sports.io/football/players/59233.png,89.0,15,F,7.3,False,False,0,1.0,,33.0,31,0,0,0,0,,3.0,2.0,15.0,8.0,3.0,,1.0,,4.0,3.0,1.0,,,1.0,,,
1360737,Levadiakos,957,237121,Zini,https://media.api-sports.io/football/players/237121.png,90.0,90,F,8.2,False,False,0,0.0,,30.0,20,0,0,0,0,,1.0,,14.0,5.0,3.0,,1.0,,1.0,6.0,3.0,1.0,,2.0,2.0,2.0,
1360737,Levadiakos,957,11282,Alen Ožbolt,https://media.api-sports.io/football/players/11282.png,58.0,21,F,7.2,False,False,0,0.0,,11.0,7,0,0,0,0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,
1360737,Levadiakos,957,27164,Paschalis Kassos,https://media.api-sports.io/football/players/27164.png,45.0,20,F,6.7,False,True,0,0.0,,21.0,14,0,0,0,0,,2.0,2.0,8.0,4.0,3.0,,,,,,,,1.0,,,,
1360737,Levadiakos,957,111140,Aviv Avraham,https://media.api-sports.io/football/players/111140.png,32.0,51,M,6.7,False,True,0,0.0,,12.0,10,0,0,0,0,,,,4.0,1.0,1.0,,1.0,,,,,,,,,,
1360737,Levadiakos,957,65655,Rodrigo Erramuspe,https://media.api-sports.io/football/players/65655.png,14.0,5,D,6.6,False,True,0,0.0,,5.0,5,0,0,0,0,,,,1.0,1.0,,,,,,,,,,1.0,,,
1360737,Levadiakos,957,303481,Lamarana Jallow,https://media.api-sports.io/football/players/303481.png,14.0,19,M,6.7,False,True,0,0.0,,10.0,9,0,0,0,0,,2.0,,5.0,3.0,1.0,,,,,1.0,1.0,,1.0,,,,
1360737,Levadiakos,957,103743,José Romo,https://media.api-sports.io/football/players/103743.png,1.0,9,F,,False,True,0,0.0,,2.0,2,0,0,0,0,,,,2.0,,,,,,,,,,,,,,
1360737,Levadiakos,957,5622,Ramiro Macagno,https://media.api-sports.io/football/players/5622.png,,12,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Levadiakos,957,27334,Panagiotis Symelidis,https://media.api-sports.io/football/players/27334.png,,31,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Levadiakos,957,27134,Constantinos Plegas,https://media.api-sports.io/football/players/27134.png,,8,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360737,Levadiakos,957,609,Giannis Gianniotas,https://media.api-sports.io/football/players/609.png,,17,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1360739,Lamia,956,45446,Ivan Kostić,https://media.api-sports.io/football/players/45446.png,90.0,12,G,6.3,False,False,1,0.0,1.0,30.0,20,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1360739,Lamia,956,182717,Carles Soria,https://media.api-sports.io/football/players/182717.png,90.0,30,D,7.9,False,False,0,1.0,,61.0,54,0,0,0,0,,1.0,,10.0,5.0,3.0,,4.0,,2.0,,,,2.0,,,,
