fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_committed,tackles_blocks,dribbles_past,fouls_drawn,tackles_interceptions,shots_total,passes_key,offsides,shots_on,goals_total,goals_assists,penalty_won,penalty_commited
1044885,Nice,84,4399,Hicham Boudaoui,https://media.api-sports.io/football/players/4399.png,10.0,28,M,6.6,False,True,0,,9.0,8,0,0,0,0,,,1.0,,,,,,,,,1.0,,,1.0,,,,
1044885,Nice,84,175171,Teddy Boulhendi,https://media.api-sports.io/football/players/175171.png,,77,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Nice,84,325141,Ayoub Amraoui,https://media.api-sports.io/football/players/325141.png,,38,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Nice,84,333116,Reda Belahyane,https://media.api-sports.io/football/players/333116.png,,37,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Nice,84,334879,Badredine Bouanani,https://media.api-sports.io/football/players/334879.png,,22,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Lille,79,162453,Lucas Chevalier,https://media.api-sports.io/football/players/162453.png,90.0,30,G,6.9,False,False,0,2.0,49.0,40,0,0,0,0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1044885,Lille,79,379329,Tiago Santos,https://media.api-sports.io/football/players/379329.png,90.0,22,D,7.5,False,False,0,,43.0,35,0,0,0,0,,4.0,14.0,9.0,7.0,5.0,1.0,,2.0,,2.0,1.0,1.0,,,,,,
1044885,Lille,79,22136,Bafodé Diakité,https://media.api-sports.io/football/players/22136.png,90.0,18,D,8.2,False,False,0,,113.0,111,0,0,0,0,,3.0,8.0,6.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,
1044885,Lille,79,142691,Alexsandro Ribeiro,https://media.api-sports.io/football/players/142691.png,90.0,4,D,7.2,False,False,0,,79.0,73,0,0,0,0,,2.0,6.0,5.0,,,,1.0,1.0,1.0,,,,,,,,,
1044885,Lille,79,679,Ismaily,https://media.api-sports.io/football/players/679.png,90.0,31,D,6.9,False,False,0,,42.0,35,0,0,0,0,,2.0,14.0,7.0,2.0,,1.0,,3.0,3.0,1.0,,,,,,,,
1044885,Lille,79,356041,Carlos Baleba,https://media.api-sports.io/football/players/356041.png,61.0,35,M,6.9,False,False,0,,41.0,37,0,0,0,0,,4.0,11.0,6.0,,,2.0,,1.0,2.0,2.0,1.0,,,1.0,,,,
1044885,Lille,79,2204,Benjamin André,https://media.api-sports.io/football/players/2204.png,90.0,21,M,7.2,True,False,0,,70.0,59,0,0,0,0,,4.0,11.0,6.0,1.0,,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,
1044885,Lille,79,271572,Alan Virginius,https://media.api-sports.io/football/players/271572.png,67.0,26,M,6.6,False,False,0,,12.0,10,0,0,0,0,,,5.0,2.0,3.0,2.0,,,1.0,,,,1.0,,,,,,
1044885,Lille,79,22093,Rémy Cabella,https://media.api-sports.io/football/players/22093.png,80.0,10,M,6.9,False,False,0,,43.0,32,0,0,0,0,,3.0,14.0,6.0,5.0,2.0,,,4.0,1.0,,1.0,3.0,,1.0,,,,
1044885,Lille,79,67889,Hakon Arnar Haraldsson,https://media.api-sports.io/football/players/67889.png,80.0,7,M,7.2,False,False,0,,30.0,24,0,0,0,0,,,13.0,4.0,4.0,3.0,1.0,,6.0,1.0,,,2.0,,,,,,
1044885,Lille,79,8489,Jonathan David,https://media.api-sports.io/football/players/8489.png,90.0,9,F,7,False,False,0,,15.0,13,0,0,0,0,,,7.0,2.0,1.0,1.0,,,2.0,1.0,,2.0,1.0,1.0,2.0,,,,
1044885,Lille,79,896,Angel Gomes,https://media.api-sports.io/football/players/896.png,29.0,8,M,7.2,False,True,0,,25.0,25,0,0,0,0,,2.0,3.0,2.0,,,,,1.0,,,,1.0,,,,1.0,,
1044885,Lille,79,48392,Edon Zhegrova,https://media.api-sports.io/football/players/48392.png,23.0,23,M,6.6,False,True,0,,9.0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Lille,79,47969,Gabriel Gudmundsson,https://media.api-sports.io/football/players/47969.png,10.0,5,D,6.3,False,True,0,,4.0,4,0,0,0,0,,1.0,3.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,
1044885,Lille,79,49888,Yusuf Yazıcı,https://media.api-sports.io/football/players/49888.png,10.0,12,M,6.5,False,True,0,,7.0,6,0,0,0,0,,,2.0,,,,1.0,,,,,,,,,,,,
1044885,Lille,79,22219,Adam Jakubech,https://media.api-sports.io/football/players/22219.png,,16,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Lille,79,275368,Tom Negrel,https://media.api-sports.io/football/players/275368.png,,40,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Lille,79,342970,Leny Yoro,https://media.api-sports.io/football/players/342970.png,,15,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Lille,79,351888,Ousmane Touré,https://media.api-sports.io/football/players/351888.png,,36,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044885,Lille,79,349947,Aaron Malouda,https://media.api-sports.io/football/players/349947.png,,34,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1044884,Marseille,81,1557,Pau López,https://media.api-sports.io/football/players/1557.png,90.0,16,G,6.9,False,False,1,3.0,39.0,23,0,0,0,0,0.0,,1.0,1.0,,,,,,1.0,,,,,,,,,
1044884,Marseille,81,25008,Jonathan Clauss,https://media.api-sports.io/football/players/25008.png,90.0,7,D,7.2,False,False,0,,36.0,29,0,0,0,0,,4.0,7.0,4.0,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,
1044884,Marseille,81,1775,Samuel Gigot,https://media.api-sports.io/football/players/1775.png,90.0,4,D,7.5,False,False,0,,32.0,24,0,0,0,0,,2.0,9.0,5.0,,,1.0,1.0,,1.0,3.0,1.0,,,1.0,,,,
1044884,Marseille,81,375,Chancel Mbemba,https://media.api-sports.io/football/players/375.png,90.0,99,D,7,False,False,0,,32.0,25,0,0,0,0,,2.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,
1044884,Marseille,81,10122,Renan Lodi,https://media.api-sports.io/football/players/10122.png,90.0,12,D,6.6,False,False,0,,23.0,16,1,0,0,0,,1.0,12.0,6.0,2.0,1.0,3.0,,1.0,3.0,2.0,1.0,,,1.0,,,,
1044884,Marseille,81,387533,François Régis Mughe,https://media.api-sports.io/football/players/387533.png,51.0,24,M,6.6,False,False,0,,8.0,5,0,0,0,0,,,9.0,6.0,2.0,1.0,,,,3.0,,,,,,,,,
1044884,Marseille,81,21102,Valentin Rongier,https://media.api-sports.io/football/players/21102.png,67.0,21,M,7.3,True,False,0,,25.0,24,0,0,0,0,,3.0,6.0,4.0,,,1.0,,,,4.0,,1.0,,,,,,
1044884,Marseille,81,926,Geoffrey Kondogbia,https://media.api-sports.io/football/players/926.png,90.0,19,M,7,False,False,0,,24.0,23,0,0,0,0,,1.0,9.0,7.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,
1044884,Marseille,81,129678,Azzedine Ounahi,https://media.api-sports.io/football/players/129678.png,83.0,8,M,7.3,False,False,0,,24.0,19,0,0,0,0,,,6.0,1.0,2.0,,,,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,
1044884,Marseille,81,281408,Vitinha,https://media.api-sports.io/football/players/281408.png,83.0,9,F,7.9,False,False,0,,14.0,12,0,0,0,0,,,13.0,7.0,4.0,4.0,,,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,,,
1044884,Marseille,81,18592,Iliman Ndiaye,https://media.api-sports.io/football/players/18592.png,67.0,29,F,6.9,False,False,0,,13.0,9,0,0,0,0,,,5.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,
1044884,Marseille,81,2218,Ismaïla Sarr,https://media.api-sports.io/football/players/2218.png,39.0,23,F,7.2,False,True,0,,13.0,11,0,0,0,0,,,5.0,3.0,2.0,1.0,,,1.0,2.0,,1.0,2.0,,,,1.0,,
