fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
958518,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,10,10,25,5,20,5,16,9,1,57%,2,,3,489,376,77%,
958521,4268,Waldhof Mannheim,https://media.api-sports.io/football/teams/4268.png,1,6,9,2,7,2,14,5,3,52%,3,,3,413,307,74%,
958521,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,3,7,11,1,9,2,9,2,3,48%,3,,1,397,285,72%,
958519,12868,Stuttgarter Kickers,https://media.api-sports.io/football/teams/12868.png,1,3,6,2,3,3,12,1,1,37%,2,,2,362,260,72%,
958519,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,4,4,9,1,8,1,14,2,2,63%,1,,1,627,495,79%,
958528,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,11,9,26,6,14,12,11,10,3,62%,0,,3,453,380,84%,
958528,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,4,5,11,2,6,5,13,4,2,38%,3,,6,276,211,76%,
958533,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,4,9,15,2,10,5,19,8,1,43%,4,,3,344,236,69%,
958533,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,5,3,9,1,6,3,10,6,1,57%,1,,2,466,361,77%,
958522,744,Eintracht Braunschweig,https://media.api-sports.io/football/teams/744.png,5,10,22,7,14,8,14,11,2,39%,4,,2,286,189,66%,
958522,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,4,9,19,6,11,8,11,6,3,61%,4,,4,472,364,77%,
958520,1660,SV Elversberg,https://media.api-sports.io/football/teams/1660.png,1,6,10,3,6,4,17,6,3,44%,3,,3,334,207,62%,
958520,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,4,6,14,4,7,7,19,5,2,56%,2,,1,430,315,73%,
958524,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,6,13,23,4,17,6,7,8,3,66%,1,,4,784,626,80%,
958524,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,5,7,13,1,6,7,16,2,1,34%,7,,4,397,264,66%,
958523,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,7,4,14,3,10,4,20,7,2,42%,2,0,5,362,253,70%,
958523,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,6,9,18,3,9,9,7,5,2,58%,2,1,7,531,424,80%,
958530,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,9,8,19,2,14,5,14,7,1,42%,3,,7,484,362,75%,
958530,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,9,7,21,5,14,7,16,7,4,58%,3,,7,682,553,81%,
958527,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,4,5,15,6,6,9,17,2,0,38%,4,,5,404,285,71%,
958527,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,7,8,17,2,9,8,18,6,3,62%,5,,3,665,509,77%,
958526,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,3,3,8,2,6,2,11,2,3,33%,1,,10,277,154,56%,
958526,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,15,10,28,3,26,2,4,4,4,67%,0,,1,582,462,79%,
958529,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,12,2,16,2,10,6,8,7,3,73%,1,,3,816,751,92%,
958529,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,3,1,6,2,0,6,9,2,1,27%,2,,6,295,217,74%,
958532,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,4,8,18,6,10,8,11,5,1,58%,1,,5,499,402,81%,
958532,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,8,2,10,0,6,4,13,2,2,42%,0,,4,368,276,75%,
958531,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,8,7,19,4,15,4,8,8,1,59%,1,,1,538,415,77%,
958531,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,1,3,7,3,2,5,12,5,3,41%,2,,5,377,256,68%,
968255,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,0,1,1,0,1,0,10,0,2,28%,2,,3,275,182,66%,
968255,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,5,7,22,10,11,11,5,17,0,72%,4,,0,686,590,86%,
968256,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,6,4,10,0,6,4,15,3,3,46%,3,1,2,395,312,79%,
968256,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,3,2,7,2,6,1,8,6,0,54%,3,0,3,471,376,80%,
968260,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,6,1,11,4,6,5,12,5,5,65%,0,0,0,651,555,85%,
968260,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,1,1,3,1,3,0,9,0,2,35%,4,1,3,355,259,73%,
968259,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,1,5,11,5,6,5,14,2,0,32%,3,1,4,317,199,63%,
968259,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,9,7,21,5,15,6,6,6,1,68%,1,0,1,704,594,84%,
968254,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,2,2,9,5,8,1,16,3,0,31%,0,,1,265,152,57%,
968254,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,3,10,16,3,13,3,9,6,1,69%,1,,2,586,490,84%,
968257,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,5,6,13,2,11,2,12,4,2,60%,4,,2,647,537,83%,
968257,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,4,8,13,1,7,6,11,4,1,40%,5,,1,431,320,74%,
968261,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,7,6,17,4,14,3,21,5,4,53%,2,1,2,597,473,79%,
968261,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,4,7,15,4,11,4,19,6,2,47%,1,0,6,528,406,77%,
968258,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,5,4,15,6,7,8,13,3,3,47%,4,,6,351,231,66%,
968258,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,8,7,18,3,10,8,14,5,1,53%,0,,4,415,293,71%,
1008960,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,4,9,2,6,3,9,6,1,61%,,,2,597,502,84%,
1008960,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,2,5,12,5,3,9,13,6,2,39%,,,1,369,273,74%,
1008961,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,4,8,16,4,13,3,15,9,4,67%,4,,2,637,535,84%,
1008961,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,4,2,10,4,4,6,10,1,3,33%,2,,2,309,215,70%,
1008959,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,1,3,6,2,2,4,9,2,1,39%,3,,8,369,270,73%,
1008959,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,9,5,17,3,10,7,8,5,0,61%,3,,1,575,488,85%,
1008958,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,11,6,20,3,12,8,9,9,2,45%,2,,1,493,389,79%,
1008958,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,1,1,2,0,1,1,7,1,0,55%,4,,9,596,499,84%,
1021522,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,2,6,10,2,5,5,16,3,0,53%,2,0,1,448,356,79%,
1021522,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,6,4,12,2,8,4,16,3,1,47%,3,1,1,410,317,77%,
1021523,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,7,3,13,3,5,8,18,3,4,54%,6,1,1,512,428,84%,
1021523,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,4,6,11,1,9,2,14,6,0,46%,4,0,5,435,350,80%,
