fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,offsides,goals_total,goals_assists,penalty_won,penalty_commited
571474,Dijon,89,18991,Bruno Ecuele Manga,https://media.api-sports.io/football/players/18991.png,90.0,25,D,7.4,True,False,0.0,0.0,0,,78.0,0.0,94%,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,,2.0,,,,,,
571474,Dijon,89,21700,Wesley Lautoa,https://media.api-sports.io/football/players/21700.png,90.0,24,D,7.6,False,False,0.0,0.0,0,,63.0,0.0,92%,1.0,4.0,8.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,,4.0,1.0,,,,,
571474,Dijon,89,3024,Ngonda Muzinga,https://media.api-sports.io/football/players/3024.png,45.0,3,D,6.8,False,False,1.0,1.0,0,,11.0,0.0,78%,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0,,1.0,,,,,,
571474,Dijon,89,21710,Jordan Marié,https://media.api-sports.io/football/players/21710.png,68.0,14,M,6.4,False,False,1.0,0.0,0,,26.0,0.0,92%,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,,,1.0,,,,,
571474,Dijon,89,660,Pape Cheikh,https://media.api-sports.io/football/players/660.png,90.0,6,M,6.8,False,False,0.0,0.0,0,,68.0,1.0,89%,0.0,0.0,9.0,5.0,1.0,1.0,2.0,3.0,0,0,0,0,,,1.0,,,,,
571474,Dijon,89,21504,Didier N'Dong,https://media.api-sports.io/football/players/21504.png,90.0,22,M,7.0,False,False,0.0,0.0,0,,74.0,1.0,91%,0.0,0.0,8.0,4.0,1.0,1.0,0.0,2.0,0,0,0,0,,2.0,2.0,,,,,
571474,Dijon,89,90594,Eric Junior Dina Ebimbe,https://media.api-sports.io/football/players/90594.png,90.0,8,F,6.7,False,False,3.0,0.0,0,,16.0,1.0,66%,0.0,0.0,8.0,3.0,3.0,2.0,0.0,1.0,0,0,0,0,,,2.0,,,,,
571474,Dijon,89,20733,Aurelien Scheidler,https://media.api-sports.io/football/players/20733.png,77.0,27,F,6.6,False,False,3.0,0.0,0,,6.0,1.0,75%,0.0,0.0,10.0,3.0,3.0,0.0,1.0,3.0,0,0,0,0,,,,2.0,,,,
571474,Dijon,89,20675,Mounir Chouiar,https://media.api-sports.io/football/players/20675.png,77.0,21,F,7.2,False,False,0.0,0.0,0,,23.0,4.0,85%,0.0,0.0,10.0,6.0,3.0,3.0,1.0,1.0,0,0,0,0,,1.0,,,,,,
571474,Dijon,89,129693,Rayan Philippe,https://media.api-sports.io/football/players/129693.png,13.0,23,M,6.5,False,True,0.0,0.0,0,,0.0,0.0,0%,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,,,,,,,,
571474,Dijon,89,18047,Mihai Alexandru Dobre,https://media.api-sports.io/football/players/18047.png,13.0,29,M,6.4,False,True,0.0,0.0,0,,5.0,0.0,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,
571474,Dijon,89,21705,Romain Amalfitano,https://media.api-sports.io/football/players/21705.png,45.0,20,M,7.0,False,True,1.0,0.0,0,,36.0,0.0,94%,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0,0,0,0,,1.0,,,,,,
571474,Dijon,89,21711,Frédéric Sammaritano,https://media.api-sports.io/football/players/21711.png,22.0,7,M,6.0,False,True,0.0,0.0,0,,5.0,0.0,83%,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,,,1.0,,,,,
571474,Angers,77,21425,Paul Bernardoni,https://media.api-sports.io/football/players/21425.png,90.0,1,G,7.1,False,False,0.0,0.0,0,1.0,13.0,0.0,68%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,
571474,Angers,77,3234,Abdoulaye Bamba,https://media.api-sports.io/football/players/3234.png,90.0,25,D,7.5,False,False,0.0,0.0,0,,30.0,2.0,75%,0.0,1.0,7.0,4.0,0.0,0.0,1.0,1.0,0,0,0,0,,2.0,1.0,,,,,
571474,Angers,77,3237,Ismaël Traoré,https://media.api-sports.io/football/players/3237.png,90.0,8,D,7.7,True,False,2.0,1.0,0,,44.0,0.0,91%,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,,1.0,,,1.0,,,
571474,Angers,77,21144,Romain Thomas,https://media.api-sports.io/football/players/21144.png,90.0,24,D,7.7,False,False,0.0,0.0,0,,52.0,0.0,92%,1.0,1.0,8.0,5.0,0.0,0.0,1.0,1.0,0,0,0,0,,4.0,,,,,,
571474,Angers,77,2198,Souleyman Doumbia,https://media.api-sports.io/football/players/2198.png,67.0,3,D,7.5,False,False,0.0,0.0,0,,44.0,0.0,89%,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0,0,0,0,,1.0,,,,,,
571474,Angers,77,21153,Baptiste Santamaria,https://media.api-sports.io/football/players/21153.png,90.0,18,M,7.2,False,False,1.0,1.0,0,,37.0,0.0,84%,0.0,0.0,13.0,8.0,1.0,1.0,2.0,1.0,0,0,0,0,,3.0,3.0,1.0,,,,
571474,Angers,77,2996,Sada Thioub,https://media.api-sports.io/football/players/2996.png,90.0,22,M,7.0,False,False,4.0,0.0,0,,25.0,1.0,86%,0.0,1.0,12.0,6.0,5.0,3.0,3.0,1.0,0,0,0,0,,,2.0,,,,,
571474,Angers,77,21146,Angelo Fulgini,https://media.api-sports.io/football/players/21146.png,89.0,10,M,6.9,False,False,2.0,1.0,0,,34.0,3.0,94%,0.0,2.0,10.0,4.0,1.0,0.0,4.0,0.0,0,0,0,0,,,,,,,,
571474,Angers,77,21148,Thomas Mangani,https://media.api-sports.io/football/players/21148.png,76.0,5,M,7.2,False,False,0.0,0.0,0,,61.0,2.0,93%,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,,,1.0,,,,,
571474,Angers,77,20780,Mathias Pereira Lage,https://media.api-sports.io/football/players/20780.png,77.0,27,M,6.1,False,False,1.0,0.0,0,,14.0,0.0,82%,0.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,,,4.0,,,,,
571474,Angers,77,21155,Wilfried Kanga,https://media.api-sports.io/football/players/21155.png,68.0,11,F,6.0,False,False,1.0,1.0,0,,4.0,0.0,66%,0.0,0.0,9.0,1.0,1.0,0.0,1.0,2.0,0,0,0,0,,,,,,,,
571474,Angers,77,20656,Enzo Ebosse,https://media.api-sports.io/football/players/20656.png,23.0,6,D,7.1,False,False,0.0,0.0,0,,8.0,1.0,100%,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,
571474,Angers,77,3177,Farid El Melali,https://media.api-sports.io/football/players/3177.png,13.0,28,M,6.3,False,False,1.0,0.0,0,,2.0,0.0,50%,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,,,,,,,,
