fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,fouls_drawn,passes_key,tackles_blocks,dribbles_past,fouls_committed,penalty_commited,shots_total,shots_on,goals_total,tackles_interceptions,dribbles_success,offsides,penalty_won
1223975,Bayer Leverkusen,168,343316,Jeanuël Belocian,https://media.api-sports.io/football/players/343316.png,,44,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1223975,Bayer Leverkusen,168,352375,Arthur,https://media.api-sports.io/football/players/352375.png,,13,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1223975,Bayer Leverkusen,168,48119,Odilon Kossounou,https://media.api-sports.io/football/players/48119.png,,6,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1223975,Bayer Leverkusen,168,231029,Nathan Tella,https://media.api-sports.io/football/players/231029.png,,19,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1223975,Bayer Leverkusen,168,794,Patrik Schick,https://media.api-sports.io/football/players/794.png,,14,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1223979,SC Freiburg,160,25905,Florian Müller,https://media.api-sports.io/football/players/25905.png,90.0,21,G,6.2,False,False,1,0.0,1.0,29.0,15,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1223979,SC Freiburg,160,26239,Lukas Kübler,https://media.api-sports.io/football/players/26239.png,82.0,17,D,8.3,False,False,0,0.0,,20.0,13,0,0,0,0,,2.0,4.0,4.0,,1.0,,,,,,2.0,2.0,2.0,,,,
1223979,SC Freiburg,160,202919,Maximilian Rosenfelder,https://media.api-sports.io/football/players/202919.png,90.0,37,D,6.7,False,False,0,0.0,,31.0,29,0,0,0,0,,2.0,4.0,3.0,1.0,,,,,,,,,,,,,
1223979,SC Freiburg,160,26240,Philipp Lienhart,https://media.api-sports.io/football/players/26240.png,90.0,3,D,6.7,False,False,0,0.0,,54.0,48,1,0,0,0,,1.0,4.0,1.0,1.0,,,,,2.0,,,,,2.0,,,
1223979,SC Freiburg,160,26236,Christian Günter,https://media.api-sports.io/football/players/26236.png,90.0,30,D,6.6,True,False,0,0.0,,20.0,15,0,0,0,0,,1.0,2.0,2.0,,1.0,1.0,,,,,1.0,,,2.0,,,
1223979,SC Freiburg,160,2917,Maximilian Eggestein,https://media.api-sports.io/football/players/2917.png,73.0,8,M,6.6,False,False,0,0.0,,23.0,17,0,0,0,0,,2.0,3.0,2.0,,,,,,,,,,,3.0,,,
1223979,SC Freiburg,160,163022,Patrick Osterhage,https://media.api-sports.io/football/players/163022.png,90.0,6,M,7.2,False,False,0,0.0,,27.0,22,0,0,0,0,,2.0,9.0,6.0,,2.0,1.0,,2.0,1.0,,1.0,,,2.0,,1.0,
1223979,SC Freiburg,160,2598,Ritsu Doan,https://media.api-sports.io/football/players/2598.png,73.0,42,M,7.2,False,False,0,0.0,,18.0,14,0,0,0,0,,1.0,10.0,4.0,2.0,2.0,,,1.0,1.0,,3.0,3.0,1.0,,1.0,,
1223979,SC Freiburg,160,202854,Merlin Röhl,https://media.api-sports.io/football/players/202854.png,63.0,34,M,6.5,False,False,0,0.0,,19.0,14,0,0,0,0,,,5.0,3.0,1.0,,,,,,,1.0,1.0,,,1.0,,
