fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,passes_total,passes_accuracy,duels_total,fouls_committed,cards_yellow,cards_red,penalty_commited,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,dribbles_past,goals_total,penalty_won,goals_assists,goals_saves,tackles_blocks,offsides
871820,Ajaccio,98,193639,Ghjuvanni Quilichini,https://media.api-sports.io/football/players/193639.png,,30,G,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Ajaccio,98,20939,Cedric Avinel,https://media.api-sports.io/football/players/20939.png,,21,D,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Ajaccio,98,334869,Lebas da Silva,https://media.api-sports.io/football/players/334869.png,,32,M,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Ajaccio,98,21005,Cyrille Bayala,https://media.api-sports.io/football/players/21005.png,,14,F,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Rennes,94,1897,Steve Mandanda,https://media.api-sports.io/football/players/1897.png,90.0,30,G,7,False,False,0,36.0,28,,,0,0,,0,0,0.0,,,,,,,,,,,,,,,,
871820,Rennes,94,2202,Hamari Traore,https://media.api-sports.io/football/players/2202.png,90.0,27,D,7.6,True,False,0,59.0,50,6.0,,0,0,,0,0,,,,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,2.0,,,
871820,Rennes,94,162265,Warmed Omari,https://media.api-sports.io/football/players/162265.png,90.0,23,D,7.2,False,False,0,81.0,78,4.0,,0,0,,0,0,,,,,,,4.0,,,1.0,,,,,,,
871820,Rennes,94,19321,Joe Rodon,https://media.api-sports.io/football/players/19321.png,90.0,2,D,7.3,False,False,0,74.0,72,8.0,1.0,0,0,,0,0,,,,,1.0,,6.0,2.0,2.0,2.0,,,,,,,
871820,Rennes,94,343316,Jeanuel Belocian,https://media.api-sports.io/football/players/343316.png,64.0,18,D,6.9,False,False,0,17.0,15,10.0,2.0,1,0,,0,0,,,,,2.0,1.0,6.0,1.0,1.0,1.0,,,,,,,
871820,Rennes,94,21153,Baptiste Santamaria,https://media.api-sports.io/football/players/21153.png,90.0,8,M,7.7,False,False,0,60.0,53,10.0,2.0,0,0,,0,0,,1.0,1.0,,1.0,1.0,5.0,,,1.0,,1.0,,,,,
871820,Rennes,94,1422,Jeremy Doku,https://media.api-sports.io/football/players/1422.png,63.0,10,M,7.7,False,False,0,16.0,16,19.0,3.0,0,0,,0,0,,1.0,1.0,,2.0,,11.0,9.0,7.0,2.0,,1.0,,,,,
871820,Rennes,94,2206,Benjamin Bourigeaud,https://media.api-sports.io/football/players/2206.png,72.0,14,M,7.2,False,False,0,42.0,33,2.0,1.0,0,0,,0,0,,2.0,1.0,3.0,,1.0,,,,,1.0,,,,,,
871820,Rennes,94,1321,Lovro Majer,https://media.api-sports.io/football/players/1321.png,90.0,21,M,8.2,False,False,0,45.0,40,11.0,2.0,0,0,,0,0,,,,5.0,4.0,2.0,6.0,2.0,2.0,,1.0,,,2.0,,,1.0
871820,Rennes,94,85041,Amine Gouiri,https://media.api-sports.io/football/players/85041.png,72.0,19,M,9.2,False,False,0,15.0,8,6.0,1.0,0,0,,0,0,,4.0,3.0,,2.0,1.0,4.0,1.0,1.0,,1.0,3.0,,,,,1.0
871820,Rennes,94,1709,Karl Toko Ekambi,https://media.api-sports.io/football/players/1709.png,79.0,17,F,7,False,False,0,14.0,10,10.0,1.0,0,0,,0,0,,2.0,1.0,2.0,,,5.0,2.0,2.0,1.0,,,,1.0,,,
871820,Rennes,94,375000,Ibrahim Salah,https://media.api-sports.io/football/players/375000.png,27.0,34,F,6.3,False,True,0,14.0,12,5.0,,0,0,,0,0,,1.0,,,,,2.0,5.0,2.0,,,,,,,,
871820,Rennes,94,180731,Lorenz Assignon,https://media.api-sports.io/football/players/180731.png,26.0,22,D,6.7,False,True,0,15.0,11,3.0,1.0,1,0,,0,0,,,,,,,2.0,,,,,,,,,,
871820,Rennes,94,21154,Flavien Tait,https://media.api-sports.io/football/players/21154.png,18.0,20,M,6.7,False,True,0,20.0,19,2.0,,0,0,,0,0,,1.0,,1.0,,,,,,,,,,,,,
871820,Rennes,94,147831,Arnaud Kalimuendo,https://media.api-sports.io/football/players/147831.png,18.0,9,F,6.5,False,True,0,6.0,5,1.0,,0,0,,0,0,,,,,,,,1.0,,,,,,,,,
871820,Rennes,94,343027,Désiré Doué,https://media.api-sports.io/football/players/343027.png,11.0,33,M,6.3,False,True,0,7.0,4,2.0,,0,0,,0,0,,,,,,,1.0,2.0,1.0,,,,,,,,
871820,Rennes,94,50104,Doğan Alemdar,https://media.api-sports.io/football/players/50104.png,,1,G,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Rennes,94,129674,Elias Damergy,https://media.api-sports.io/football/players/129674.png,,40,G,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Rennes,94,161747,Guéla Doué,https://media.api-sports.io/football/players/161747.png,,31,D,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871820,Rennes,94,270508,Lesley Ugochukwu,https://media.api-sports.io/football/players/270508.png,,6,M,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
871825,Nice,84,2728,Kasper Schmeichel,https://media.api-sports.io/football/players/2728.png,90.0,1,G,7.5,False,False,0,29.0,22,,,0,0,,0,0,0.0,,,,,,,,,,,,,,3.0,,
871825,Nice,84,3165,Youcef Atal,https://media.api-sports.io/football/players/3165.png,58.0,20,D,6.9,False,False,0,35.0,29,11.0,,0,0,,0,0,,,,1.0,1.0,3.0,5.0,7.0,3.0,,1.0,,,,,,
871825,Nice,84,138,Jean-Clair Todibo,https://media.api-sports.io/football/players/138.png,90.0,25,D,7.7,False,False,0,78.0,72,12.0,1.0,0,0,,0,0,,1.0,,1.0,1.0,1.0,10.0,4.0,4.0,,,,,,,,
871825,Nice,84,22163,Dante,https://media.api-sports.io/football/players/22163.png,90.0,4,D,8.2,True,False,0,76.0,68,10.0,,0,0,,0,0,,,,,2.0,1.0,8.0,1.0,1.0,1.0,1.0,,,,,2.0,
871825,Nice,84,945,Jordan Lotomba,https://media.api-sports.io/football/players/945.png,90.0,23,D,6.6,False,False,0,38.0,35,7.0,,0,0,,0,0,,,,,2.0,,3.0,2.0,,,,,,,,,
871825,Nice,84,240,Pablo Rosario,https://media.api-sports.io/football/players/240.png,75.0,8,M,7.2,False,False,0,22.0,21,8.0,,0,0,,0,0,,1.0,1.0,1.0,3.0,,5.0,2.0,2.0,,,,,,,,
871825,Nice,84,4399,Hicham Boudaoui,https://media.api-sports.io/football/players/4399.png,90.0,28,M,7.3,False,False,0,79.0,72,12.0,1.0,0,0,,0,0,,1.0,1.0,,4.0,3.0,8.0,1.0,1.0,3.0,2.0,,,,,,
871825,Nice,84,156187,Alexis Beka Beka,https://media.api-sports.io/football/players/156187.png,58.0,21,M,6.7,False,False,0,19.0,16,7.0,,1,0,,0,0,,2.0,,1.0,1.0,,3.0,4.0,1.0,1.0,,,,,,,
871825,Nice,84,334879,Badredine Bouanani,https://media.api-sports.io/football/players/334879.png,58.0,35,F,7,False,False,0,17.0,15,10.0,1.0,0,0,,0,0,,1.0,1.0,,1.0,,6.0,4.0,3.0,2.0,1.0,,,,,,
871825,Nice,84,69971,Terem Moffi,https://media.api-sports.io/football/players/69971.png,90.0,9,F,7,False,False,0,18.0,12,13.0,1.0,1,0,,0,0,,4.0,1.0,3.0,,,7.0,3.0,2.0,1.0,,,,,,,
871825,Nice,84,21592,Gaëtan Laborde,https://media.api-sports.io/football/players/21592.png,90.0,24,F,6.7,False,False,0,21.0,17,11.0,1.0,0,0,,0,0,,2.0,1.0,2.0,1.0,,3.0,2.0,1.0,1.0,1.0,,,,,,
871825,Nice,84,162465,Melvin Bard,https://media.api-sports.io/football/players/162465.png,32.0,26,D,6.9,False,True,0,20.0,18,4.0,,0,0,,0,0,,1.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,,,,,,
871825,Nice,84,107,Sofiane Diop,https://media.api-sports.io/football/players/107.png,32.0,10,F,7.9,False,True,0,21.0,18,9.0,,0,0,,0,0,,3.0,1.0,4.0,4.0,1.0,9.0,1.0,1.0,4.0,,,,,,,
871825,Nice,84,19250,Billal Brahimi,https://media.api-sports.io/football/players/19250.png,32.0,14,F,7,False,True,0,14.0,12,8.0,1.0,0,0,,0,0,,,,,,1.0,5.0,6.0,4.0,1.0,,,,,,,
