fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,passes_key,tackles_blocks,offsides,shots_total,shots_on,goals_total,penalty_commited,penalty_won
1208708,Mallorca,798,47514,Valery Fernández,https://media.api-sports.io/football/players/47514.png,1.0,16,D,,False,True,0,0.0,,1.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,47399,Iván Cuéllar,https://media.api-sports.io/football/players/47399.png,,25,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,179139,Leo Román,https://media.api-sports.io/football/players/179139.png,,13,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,335697,David López,https://media.api-sports.io/football/players/335697.png,,32,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,181582,José Copete,https://media.api-sports.io/football/players/181582.png,,6,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,411424,Jan Salas,https://media.api-sports.io/football/players/411424.png,,28,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,195962,Chiquinho,https://media.api-sports.io/football/players/195962.png,,20,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Mallorca,798,46751,Abdón Prats,https://media.api-sports.io/football/players/46751.png,,9,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Las Palmas,534,124,Jasper Cillessen,https://media.api-sports.io/football/players/124.png,90.0,1,G,6.3,False,False,3,0.0,3.0,17.0,9,1.0,1.0,0,0,0,0,0.0,,,,,,,,,,,,,,,
1208708,Las Palmas,534,46854,Viti Rozada,https://media.api-sports.io/football/players/46854.png,71.0,18,D,6.9,False,False,0,1.0,,35.0,28,7.0,4.0,1,0,0,0,,3.0,,,2.0,1.0,,,2.0,,,,,,,
1208708,Las Palmas,534,131535,Alex Suárez,https://media.api-sports.io/football/players/131535.png,45.0,4,D,6.2,True,False,0,0.0,,17.0,16,4.0,1.0,0,0,0,0,,1.0,,,,,,,,1.0,1.0,,,,,
1208708,Las Palmas,534,44811,Scott McKenna,https://media.api-sports.io/football/players/44811.png,90.0,15,D,6.3,False,False,0,0.0,,40.0,36,9.0,3.0,1,0,0,0,,,,,1.0,2.0,,,,,,,,,,
1208708,Las Palmas,534,162475,Mika Mármol,https://media.api-sports.io/football/players/162475.png,90.0,3,D,6.3,False,False,0,0.0,,52.0,43,8.0,3.0,1,0,0,0,,3.0,,,2.0,3.0,1.0,,,1.0,,,,,,
1208708,Las Palmas,534,21709,Enzo Loiodice,https://media.api-sports.io/football/players/21709.png,40.0,12,M,6.3,False,False,0,0.0,,17.0,13,4.0,2.0,1,0,0,0,,1.0,,,,1.0,,,,,,1.0,1.0,,,
1208708,Las Palmas,534,310187,Stefan Bajčetić,https://media.api-sports.io/football/players/310187.png,87.0,21,M,7.3,False,False,0,0.0,,36.0,22,16.0,7.0,0,0,0,0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,
1208708,Las Palmas,534,122230,Manuel Fuster,https://media.api-sports.io/football/players/122230.png,72.0,14,M,6.9,False,False,0,0.0,,35.0,29,5.0,4.0,0,0,0,0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,
