fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,offsides,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,shots_total,fouls_committed,fouls_drawn,shots_on,passes_key,goals_total,goals_assists,penalty_won,penalty_commited
871169,Werder Bremen,162,25314,Marco Friedl,https://media.api-sports.io/football/players/25314.png,90.0,32,D,7.2,True,False,0,,39.0,32,0,0,0,0,,1.0,3.0,,8.0,11.0,7.0,1.0,1.0,3.0,,,2.0,,,,,,
871169,Werder Bremen,162,973,Mitchell Weiser,https://media.api-sports.io/football/players/973.png,75.0,8,M,7.3,False,False,0,,20.0,12,1,0,0,0,,1.0,4.0,,,21.0,11.0,7.0,5.0,4.0,1.0,2.0,1.0,,,,,,
871169,Werder Bremen,162,716,Leonardo Bittencourt,https://media.api-sports.io/football/players/716.png,75.0,10,M,7.5,False,False,0,,26.0,19,0,0,0,0,,,1.0,,2.0,11.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,,,
871169,Werder Bremen,162,88033,Christian Groß,https://media.api-sports.io/football/players/88033.png,90.0,36,M,6.3,False,False,0,,26.0,17,0,0,0,0,,,2.0,,4.0,8.0,2.0,,,2.0,,2.0,,,,,,,
871169,Werder Bremen,162,15592,Jens Stage,https://media.api-sports.io/football/players/15592.png,90.0,6,M,7.5,False,False,0,,26.0,15,0,0,0,0,,,3.0,1.0,4.0,8.0,4.0,,,2.0,,1.0,,,1.0,,1.0,,
871169,Werder Bremen,162,15874,Anthony Jung,https://media.api-sports.io/football/players/15874.png,69.0,3,M,6.5,False,False,0,,34.0,27,0,0,0,0,,,,,1.0,3.0,2.0,,,,,,2.0,,,,,,
871169,Werder Bremen,162,25391,Niclas Füllkrug,https://media.api-sports.io/football/players/25391.png,80.0,11,F,7,False,False,0,,26.0,16,0,0,0,0,,2.0,,,,20.0,10.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,,1.0,,,
871169,Werder Bremen,162,25464,Marvin Ducksch,https://media.api-sports.io/football/players/25464.png,90.0,7,F,7.9,False,False,0,,33.0,23,0,0,0,0,,,,,1.0,7.0,4.0,3.0,2.0,,2.0,,1.0,1.0,4.0,,1.0,,
871169,Werder Bremen,162,7288,Michael Zetterer,https://media.api-sports.io/football/players/7288.png,,30,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,19202,Lee Buchanan,https://media.api-sports.io/football/players/19202.png,21.0,26,D,6.2,False,True,0,,7.0,3,0,0,0,0,,,,,3.0,4.0,1.0,1.0,,,,1.0,,,,,,,
871169,Werder Bremen,162,2916,Niklas Stark,https://media.api-sports.io/football/players/2916.png,,4,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,26319,Felix Agu,https://media.api-sports.io/football/players/26319.png,15.0,27,D,6.2,False,True,0,,7.0,4,0,0,0,0,,,,,,5.0,2.0,1.0,,,,1.0,2.0,,,,,,
871169,Werder Bremen,162,129142,Ilia Gruev,https://media.api-sports.io/football/players/129142.png,,28,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,24843,Nicolai Rapp,https://media.api-sports.io/football/players/24843.png,15.0,23,M,6.5,False,True,0,,9.0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,25533,Niklas Schmidt,https://media.api-sports.io/football/players/25533.png,,22,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,158054,Nick Woltemade,https://media.api-sports.io/football/players/158054.png,,29,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,1124,Oliver Burke,https://media.api-sports.io/football/players/1124.png,10.0,9,F,6.7,False,True,0,,6.0,6,0,0,0,0,,,,,,4.0,2.0,,,,,,,,1.0,,,,
871168,Borussia Monchengladbach,163,2802,Yann Sommer,https://media.api-sports.io/football/players/2802.png,90.0,1,G,6.5,True,False,1,,31.0,26,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
871168,Borussia Monchengladbach,163,50852,Joseph Scally,https://media.api-sports.io/football/players/50852.png,84.0,29,D,6.9,False,False,0,,49.0,42,1,0,0,0,,,1.0,,,5.0,4.0,,,,2.0,1.0,2.0,,,,,,
871168,Borussia Monchengladbach,163,38114,Ko Itakura,https://media.api-sports.io/football/players/38114.png,90.0,3,D,7.2,False,False,0,,103.0,94,0,0,0,0,,,,,1.0,4.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,
