fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited,offsides
157556,Nimes,92,21438,Anthony Briancon,https://media.api-sports.io/football/players/21438.png,90,23,D,7.0,True,False,1,0,0.0,,43,0,89%,2.0,1,0,0,2,0,0,0,0,0,,1.0,1.0,,,,,
157556,Nimes,92,22248,Pablo Martinez,https://media.api-sports.io/football/players/22248.png,90,4,D,6.6,False,False,0,0,0.0,,41,0,71%,0.0,4,0,0,0,2,0,0,0,0,,2.0,,,,,,
157556,Nimes,92,21433,Florian Miguel,https://media.api-sports.io/football/players/21433.png,90,26,D,6.7,False,False,0,0,0.0,,37,1,59%,0.0,4,5,3,3,2,0,0,0,0,,1.0,2.0,,,,,
157556,Nimes,92,3175,Zinedine Ferhat,https://media.api-sports.io/football/players/3175.png,90,10,M,6.8,False,False,3,0,0.0,,19,2,67%,0.0,0,4,1,1,0,0,0,0,0,,,,,,,,
157556,Nimes,92,21435,Theo Valls,https://media.api-sports.io/football/players/21435.png,87,18,M,6.4,False,False,1,0,0.0,,32,1,71%,0.0,1,0,0,3,0,0,0,0,0,,2.0,3.0,,,,,
157556,Nimes,92,21499,Lucas Deaux,https://media.api-sports.io/football/players/21499.png,90,8,M,7.3,False,False,1,0,0.0,,51,0,81%,1.0,1,1,1,1,2,0,0,0,0,,3.0,2.0,,,,,
157556,Nimes,92,20865,Romain Philippoteaux,https://media.api-sports.io/football/players/20865.png,90,7,M,5.9,False,False,0,0,0.0,,23,1,76%,0.0,1,2,0,1,1,1,0,0,0,,1.0,3.0,,,,,
157556,Nimes,92,21451,Renaud Ripart,https://media.api-sports.io/football/players/21451.png,79,20,F,7.3,False,False,3,2,0.0,,13,0,68%,0.0,1,3,1,2,1,0,0,0,0,,,,,1.0,,,
157556,Nimes,92,80233,Vlatko Stojanovski,https://media.api-sports.io/football/players/80233.png,59,11,F,6.9,False,False,0,0,0.0,,8,2,66%,0.0,0,2,2,1,0,0,0,0,0,,2.0,,,,,,
157556,Nimes,92,20642,Sidy Sarr,https://media.api-sports.io/football/players/20642.png,12,6,M,6.9,False,True,2,0,0.0,,4,0,66%,0.0,1,0,0,0,0,0,0,0,0,,,,,,,,
157556,Nimes,92,25130,Haris Duljević,https://media.api-sports.io/football/players/25130.png,31,17,M,7.2,False,True,1,1,0.0,,5,1,62%,0.0,0,2,1,0,0,0,0,0,0,,2.0,,1.0,,,,
157556,Nimes,92,21036,Kevin Denkey,https://media.api-sports.io/football/players/21036.png,11,27,F,6.7,False,True,1,0,0.0,,3,0,75%,0.0,0,0,0,1,3,0,0,0,0,,,,,,,,
157556,Metz,112,20519,Alexandre Oukidja,https://media.api-sports.io/football/players/20519.png,90,16,G,6.7,False,False,0,0,1.0,2.0,6,0,18%,0.0,0,0,0,1,0,0,0,0,0,0.0,,,,,,,
157556,Metz,112,20654,Fabien Centonze,https://media.api-sports.io/football/players/20654.png,90,18,D,7.3,False,False,0,0,0.0,,22,0,66%,0.0,4,2,2,3,0,0,0,0,0,,5.0,1.0,,,,,
157556,Metz,112,20524,Stoppila Sunzu,https://media.api-sports.io/football/players/20524.png,90,13,D,6.9,False,False,0,0,0.0,,23,0,82%,0.0,4,0,0,0,0,0,0,0,0,,1.0,1.0,,,,,
157556,Metz,112,3416,John Boye,https://media.api-sports.io/football/players/3416.png,90,21,D,6.7,False,False,0,0,0.0,,24,0,77%,0.0,3,0,0,1,1,1,0,0,0,,,,,,,,
157556,Metz,112,20525,Matthieu Udol,https://media.api-sports.io/football/players/20525.png,90,3,D,7.2,False,False,0,0,0.0,,17,2,89%,1.0,1,1,1,1,1,0,0,0,0,,2.0,1.0,1.0,,,,
