fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
164267,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,5,6,12,1,9,3,15,2,5,29%,2,,1,257,168,65%
164267,36,Fulham,https://media.api-sports.io/football/teams/36.png,2,5,9,2,6,3,11,5,3,71%,1,,4,632,538,85%
164263,1359,Luton,https://media.api-sports.io/football/teams/1359.png,2,2,6,2,3,3,7,5,0,60%,0,,2,491,405,82%
164263,64,Hull City,https://media.api-sports.io/football/teams/64.png,5,7,15,3,11,4,17,4,1,40%,2,,2,321,246,77%
164268,60,West Brom,https://media.api-sports.io/football/teams/60.png,7,6,17,4,12,5,13,8,0,65%,,,0,503,420,83%
164268,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,2,3,5,0,2,3,9,2,3,35%,,,3,276,180,65%
164274,36,Fulham,https://media.api-sports.io/football/teams/36.png,6,7,21,8,16,5,14,7,0,59%,2,,0,461,398,86%
164274,61,Wigan,https://media.api-sports.io/football/teams/61.png,0,4,5,1,1,4,16,4,4,41%,3,,4,316,231,73%
164280,75,Stoke City,https://media.api-sports.io/football/teams/75.png,8,6,23,9,13,10,9,9,1,57%,0,,1,464,388,84%
164280,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,4,2,6,0,5,1,16,3,0,43%,4,,5,349,271,78%
164279,72,QPR,https://media.api-sports.io/football/teams/72.png,0,4,5,1,1,4,21,4,0,46%,2,1,5,370,278,75%
164279,60,West Brom,https://media.api-sports.io/football/teams/60.png,7,4,15,4,10,5,10,6,3,54%,2,0,0,428,334,78%
164275,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,6,5,15,4,7,8,12,7,2,61%,1,0,3,501,391,78%
164275,58,Millwall,https://media.api-sports.io/football/teams/58.png,4,6,15,5,9,6,12,6,1,39%,2,1,5,314,204,65%
164278,59,Preston,https://media.api-sports.io/football/teams/59.png,3,4,9,2,7,2,11,3,1,60%,1,,4,488,375,77%
164278,56,Bristol City,https://media.api-sports.io/football/teams/56.png,7,4,15,4,11,4,12,5,4,40%,1,,0,315,207,66%
164276,64,Hull City,https://media.api-sports.io/football/teams/64.png,3,3,12,6,4,8,11,5,0,48%,2,,1,334,235,70%
164276,43,Cardiff,https://media.api-sports.io/football/teams/43.png,3,3,8,2,5,3,11,8,2,52%,0,,1,350,217,62%
164271,67,Blackburn,https://media.api-sports.io/football/teams/67.png,2,9,15,4,11,4,11,8,4,66%,1,,3,579,483,83%
164271,1359,Luton,https://media.api-sports.io/football/teams/1359.png,5,1,8,2,5,3,8,1,2,34%,2,,1,309,212,69%
164273,69,Derby,https://media.api-sports.io/football/teams/69.png,4,3,7,0,7,0,9,2,3,50%,3,,4,396,302,76%
164273,54,Birmingham,https://media.api-sports.io/football/teams/54.png,6,4,17,7,10,7,18,9,1,50%,1,,1,376,281,75%
164277,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,2,6,9,1,3,6,10,5,,53%,0,,3,353,270,76%
164277,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,6,4,12,2,10,2,19,6,,47%,3,,1,316,240,76%
164281,76,Swansea,https://media.api-sports.io/football/teams/76.png,4,5,17,8,12,5,8,3,0,49%,0,,4,520,446,86%
164281,53,Reading,https://media.api-sports.io/football/teams/53.png,5,5,12,2,9,3,14,6,3,51%,3,,3,524,450,86%
164272,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,3,0,3,0,2,1,9,2,0,28%,3,,3,217,120,55%
