fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_committed,shots_total,fouls_drawn,dribbles_past,passes_key,tackles_blocks,offsides,shots_on,goals_total,goals_saves,penalty_commited,goals_assists,penalty_won
1099022,Cosenza,10137,30715,Andrea Meroni,https://media.api-sports.io/football/players/30715.png,120.0,13.0,D,5.2,False,False,0,46.0,31,0,0,0,0,,1.0,1.0,12.0,3.0,,,6.0,,,1.0,,1.0,,,,,1.0,,
1099022,Cosenza,10137,56390,Michael Venturi,https://media.api-sports.io/football/players/56390.png,87.0,23.0,D,6.3,False,False,0,36.0,32,0,0,0,0,,,,5.0,,,,,,,3.0,,1.0,,,,,,,
1099022,Cosenza,10137,31327,Tommaso D'Orazio,https://media.api-sports.io/football/players/31327.png,120.0,11.0,D,6.5,True,False,0,29.0,22,0,0,0,0,,2.0,2.0,11.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,
1099022,Cosenza,10137,336639,Federico Zuccon,https://media.api-sports.io/football/players/336639.png,87.0,98.0,M,6.6,False,False,0,36.0,33,1,0,0,0,,4.0,1.0,9.0,5.0,1.0,1.0,2.0,,,2.0,,,,,,,,,
1099022,Cosenza,10137,32011,Giacomo Calò,https://media.api-sports.io/football/players/32011.png,100.0,14.0,M,7,False,False,0,50.0,35,2,1,0,0,,2.0,,8.0,4.0,1.0,,3.0,2.0,2.0,1.0,2.0,,,,,,,1.0,
1099022,Cosenza,10137,26982,Christian D'Urso,https://media.api-sports.io/football/players/26982.png,71.0,10.0,M,6.7,False,False,0,27.0,22,0,0,0,0,,3.0,1.0,11.0,5.0,,,1.0,,1.0,1.0,,,,,,,,,
1099022,Cosenza,10137,48459,Idriz Voca,https://media.api-sports.io/football/players/48459.png,80.0,42.0,M,6.2,False,False,0,13.0,8,0,0,0,0,,1.0,,5.0,1.0,,,1.0,,,,,,,,,,,,
1099022,Cosenza,10137,31123,Simone Mazzocchi,https://media.api-sports.io/football/players/31123.png,120.0,30.0,M,6.7,False,False,0,23.0,17,0,0,0,0,,,,9.0,3.0,3.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,
1099022,Cosenza,10137,31348,Gennaro Tutino,https://media.api-sports.io/football/players/31348.png,80.0,9.0,F,7.2,False,False,0,17.0,13,0,0,1,0,,,1.0,8.0,3.0,1.0,,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0
1099022,Cosenza,10137,31504,Manuel Marras,https://media.api-sports.io/football/players/31504.png,49.0,7.0,F,6.2,False,True,0,9.0,5,0,0,0,0,,1.0,,7.0,1.0,,,,,,5.0,1.0,,,,,,,,
1099022,Cosenza,10137,327581,Massimo Zilli,https://media.api-sports.io/football/players/327581.png,40.0,21.0,F,6.6,False,True,0,8.0,4,0,0,0,0,,2.0,,14.0,7.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,
1099022,Cosenza,10137,40399,Mateusz Praszelik,https://media.api-sports.io/football/players/40399.png,40.0,26.0,M,6.9,False,True,0,15.0,13,1,0,0,0,,2.0,3.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
1099022,Cosenza,10137,327580,Baldovino Cimino,https://media.api-sports.io/football/players/327580.png,33.0,17.0,D,6.2,False,True,0,17.0,16,0,0,0,0,,,,,,,,,,,,1.0,,,,,,,,
1099022,Cosenza,10137,432074,Valerio Crespi,https://media.api-sports.io/football/players/432074.png,33.0,19.0,F,6.2,False,True,0,2.0,2,0,0,0,0,,,,3.0,,,,1.0,,,1.0,,,1.0,,,,,,
1099022,Cosenza,10137,379082,Alessandro Lai,https://media.api-sports.io/football/players/379082.png,,12.0,G,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099022,Cosenza,10137,56305,Leonardo Marson,https://media.api-sports.io/football/players/56305.png,,77.0,G,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099022,Cosenza,10137,31549,Andrea Rispoli,https://media.api-sports.io/football/players/31549.png,,3.0,D,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099022,Cosenza,10137,336704,Alessandro Fontanarosa,https://media.api-sports.io/football/players/336704.png,,6.0,D,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099022,Cosenza,10137,411164,Jahce Tyler Novello,https://media.api-sports.io/football/players/411164.png,,36.0,F,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099022,Sassuolo,488,30516,Andrea Consigli,https://media.api-sports.io/football/players/30516.png,120.0,47.0,G,6.9,True,False,2,34.0,29,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,
1099022,Sassuolo,488,1118,Jeremy Toljan,https://media.api-sports.io/football/players/1118.png,120.0,22.0,D,7.9,False,False,0,74.0,67,0,0,0,0,,3.0,,7.0,6.0,1.0,1.0,,1.0,2.0,,3.0,,,,,,,1.0,
1099022,Sassuolo,488,30827,Martin Erlić,https://media.api-sports.io/football/players/30827.png,120.0,5.0,D,6.9,False,False,0,100.0,89,1,0,0,0,,,2.0,15.0,9.0,,,2.0,2.0,1.0,,,,,2.0,,,,,
1099022,Sassuolo,488,180510,Mattia Viti,https://media.api-sports.io/football/players/180510.png,65.0,21.0,D,6.6,False,False,0,37.0,34,1,0,0,0,,4.0,,12.0,10.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,,
1099022,Sassuolo,488,51572,Matías Viña,https://media.api-sports.io/football/players/51572.png,96.0,17.0,D,6.5,False,False,0,56.0,40,1,0,0,0,,1.0,4.0,5.0,2.0,2.0,,,,,,1.0,,,,,,,,
1099022,Sassuolo,488,10494,Matheus Henrique,https://media.api-sports.io/football/players/10494.png,120.0,7.0,M,7.7,False,False,0,59.0,53,0,0,0,0,,2.0,,11.0,7.0,4.0,3.0,2.0,,2.0,,1.0,,,,,,,1.0,
1099022,Sassuolo,488,1910,Maxime López,https://media.api-sports.io/football/players/1910.png,105.0,27.0,M,6.9,False,False,0,96.0,90,1,0,0,0,,1.0,3.0,7.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,
